card_id,unit,note_id,asset,action,before,question,reason
y9r-020-9e-how-are-metals-recycled-according-to-the-revision-sheet,9E,9E-recycling-methods,assets/webp/9E-recycling-methods-blank.webp,add,,"How are metals recycled, according to the revision sheet?",Blank recycling image supports material-process reasoning without text labels.
y9r-021-9e-how-is-glass-recycled-according-to-the-revision-sheet,9E,9E-recycling-methods,assets/webp/9E-recycling-methods-blank.webp,add,,"How is glass recycled, according to the revision sheet?",Blank recycling image supports material-process reasoning without text labels.
y9r-022-9e-how-is-paper-recycled-according-to-the-revision-sheet,9E,9E-recycling-methods,assets/webp/9E-recycling-methods-blank.webp,add,,"How is paper recycled, according to the revision sheet?",Blank recycling image supports material-process reasoning without text labels.
y9r-024-9e-give-two-reasons-why-recycling-materials-to-use-again-is-useful,9E,9E-environment,assets/webp/9E-recycling-methods-blank.webp,add,,Give two reasons why recycling materials to use again is useful.,Blank recycling image supports material-process reasoning without text labels.
y9cgp-048-E-heating-cooling-what-happens-to-particles-in-a-solid-when-it-is-heated,9E,9E-heating-cooling,assets/webp/9E-heating-cooling-blank.webp,add,,What happens to particles in a solid when it is heated?,Blank heating/cooling image supports particle and state-change questions without note labels.
y9cgp-049-E-heating-cooling-what-happens-to-particles-in-a-hot-object-as-it-cools,9E,9E-heating-cooling,assets/webp/9E-heating-cooling-blank.webp,add,,What happens to particles in a hot object as it cools?,Blank heating/cooling image supports particle and state-change questions without note labels.
y9cgp-050-E-heating-cooling-which-changes-of-state-are-endothermic,9E,9E-heating-cooling,assets/webp/9E-heating-cooling-blank.webp,add,,Which changes of state are endothermic?,Blank heating/cooling image supports particle and state-change questions without note labels.
y9cgp-051-E-heating-cooling-which-changes-of-state-are-exothermic,9E,9E-heating-cooling,assets/webp/9E-heating-cooling-blank.webp,add,,Which changes of state are exothermic?,Blank heating/cooling image supports particle and state-change questions without note labels.
y9cgp-055-E-heating-cooling-what-does-a-cooling-curve-show,9E,9E-heating-cooling,assets/webp/9E-heating-cooling-blank.webp,add,,What does a cooling curve show?,Blank heating/cooling image supports particle and state-change questions without note labels.
y9cgp-056-E-heating-cooling-why-does-a-very-hot-drink-cool-faster-at-first-than-later,9E,9E-heating-cooling,assets/webp/9E-heating-cooling-blank.webp,add,,Why does a very hot drink cool faster at first than later?,Blank heating/cooling image supports particle and state-change questions without note labels.
y9cgp-057-E-heating-cooling-correct-the-misconception-energy-disappears-when-an-object-c,9E,9E-heating-cooling,assets/webp/9E-heating-cooling-blank.webp,add,,Correct the misconception: “Energy disappears when an object cools.”,Blank heating/cooling image supports particle and state-change questions without note labels.
y9x-034-9e-name-common-conductors-and-insulators,9E,9E-polymers,assets/webp/9E-thermal-conductors-insulators-blank.webp,add,,Name common conductors and insulators.,Blank thermal conductor/insulator image supports material comparison without labels.
y9cgp-046-E-heating-cooling-define-thermal-conductor,9E,9E-heating-cooling,assets/webp/9E-thermal-conductors-insulators-blank.webp,add,,Define: thermal conductor,Blank thermal conductor/insulator image supports material comparison without labels.
y9cgp-047-E-heating-cooling-define-thermal-insulator,9E,9E-heating-cooling,assets/webp/9E-thermal-conductors-insulators-blank.webp,add,,Define: thermal insulator,Blank thermal conductor/insulator image supports material comparison without labels.
y9cgp-053-E-heating-cooling-why-does-a-metal-spoon-in-hot-soup-become-hot-quickly,9E,9E-heating-cooling,assets/webp/9E-thermal-conductors-insulators-blank.webp,add,,Why does a metal spoon in hot soup become hot quickly?,Blank thermal conductor/insulator image supports material comparison without labels.
y9cgp-054-E-heating-cooling-why-does-a-plastic-handle-help-protect-your-hand-from-a-hot-,9E,9E-heating-cooling,assets/webp/9E-thermal-conductors-insulators-blank.webp,add,,Why does a plastic handle help protect your hand from a hot pan?,Blank thermal conductor/insulator image supports material comparison without labels.
y9cgp-058-E-heating-cooling-which-material-would-usually-be-best-for-reducing-heat-loss-,9E,9E-heating-cooling,assets/webp/9E-thermal-conductors-insulators-blank.webp,add,,Which material would usually be best for reducing heat loss from a mug?,Blank thermal conductor/insulator image supports material comparison without labels.
y9cgp-059-E-heating-cooling-explain-why-insulation-does-not-make-heat-it-helps-keep-some,9E,9E-heating-cooling,assets/webp/9E-thermal-conductors-insulators-blank.webp,add,,Explain why insulation does not “make heat”; it helps keep something warm.,Blank thermal conductor/insulator image supports material comparison without labels.
y9-068-9f-in-the-periodic-table-elements-are-listed-in-order-of,9F,9F-changes,assets/webp/9F-periodic-table-navigator-blank.webp,add,,"In the periodic table, elements are listed in order of:",Question-safe periodic table reference supports table navigation without app-side notes.
y9-182-9f-define-periodic-table,9F,9F-changes,assets/webp/9F-periodic-table-navigator-blank.webp,add,,Define: periodic table,Question-safe periodic table reference supports table navigation without app-side notes.
y9cgp-060-F-periodic-table-bridge-define-periodic-table,9F,9F-periodic-table-bridge,assets/webp/9F-periodic-table-navigator-blank.webp,add,,Define: periodic table,Question-safe periodic table reference supports table navigation without app-side notes.
y9cgp-064-F-periodic-table-bridge-what-are-groups-and-periods-in-the-periodic-table,9F,9F-periodic-table-bridge,assets/webp/9F-periodic-table-navigator-blank.webp,add,,What are groups and periods in the periodic table?,Question-safe periodic table reference supports table navigation without app-side notes.
y9cgp-065-F-periodic-table-bridge-elements-in-the-same-group-usually-have,9F,9F-periodic-table-bridge,assets/webp/9F-periodic-table-navigator-blank.webp,add,,Elements in the same group usually have:,Question-safe periodic table reference supports table navigation without app-side notes.
y9cgp-066-F-periodic-table-bridge-across-a-period-elements-are-arranged-mainly-by-increasing,9F,9F-periodic-table-bridge,assets/webp/9F-periodic-table-navigator-blank.webp,add,,"Across a period, elements are arranged mainly by increasing:",Question-safe periodic table reference supports table navigation without app-side notes.
y9cgp-067-F-periodic-table-bridge-where-are-metals-usually-found-in-the-periodic-table,9F,9F-periodic-table-bridge,assets/webp/9F-periodic-table-navigator-blank.webp,add,,Where are metals usually found in the periodic table?,Question-safe periodic table reference supports table navigation without app-side notes.
y9cgp-070-F-periodic-table-bridge-which-group-contains-the-alkali-metals,9F,9F-periodic-table-bridge,assets/webp/9F-periodic-table-navigator-blank.webp,add,,Which group contains the alkali metals?,Question-safe periodic table reference supports table navigation without app-side notes.
y9cgp-072-F-periodic-table-bridge-which-group-contains-the-halogens,9F,9F-periodic-table-bridge,assets/webp/9F-periodic-table-navigator-blank.webp,add,,Which group contains the halogens?,Question-safe periodic table reference supports table navigation without app-side notes.
y9-047-9e-some-polymerisation-reactions-are-endothermic-what-does-this-mean,9E,9E-polymers,assets/webp/9F-exothermic-endothermic-blank.webp,add,,Some polymerisation reactions are endothermic. What does this mean?,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9-072-9f-an-exothermic-reaction-is-one-in-which,9F,9F-changes,assets/webp/9F-exothermic-endothermic-blank.webp,add,,An exothermic reaction is one in which:,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,9E-ceramics,assets/webp/9F-exothermic-endothermic-blank.webp,add,,Classify exothermic and endothermic reactions by temperature change and energy transfer.,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9r-013-9e-what-do-exothermic-reactions-do-to-the-surroundings,9E,9E-energy-thermal-peer-review,assets/webp/9F-exothermic-endothermic-blank.webp,add,,What do exothermic reactions do to the surroundings?,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9r-014-9e-what-do-endothermic-reactions-do-to-the-surroundings,9E,9E-energy-thermal-peer-review,assets/webp/9F-exothermic-endothermic-blank.webp,add,,What do endothermic reactions do to the surroundings?,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9cgp-096-F-chemical-energy-bridge-define-exothermic-reaction,9F,9F-chemical-energy-bridge,assets/webp/9F-exothermic-endothermic-blank.webp,add,,Define: exothermic reaction,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9cgp-097-F-chemical-energy-bridge-define-endothermic-reaction,9F,9F-chemical-energy-bridge,assets/webp/9F-exothermic-endothermic-blank.webp,add,,Define: endothermic reaction,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9cgp-098-F-chemical-energy-bridge-what-do-exothermic-reactions-do-to-the-surroundings,9F,9F-chemical-energy-bridge,assets/webp/9F-exothermic-endothermic-blank.webp,add,,What do exothermic reactions do to the surroundings?,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9cgp-099-F-chemical-energy-bridge-what-do-endothermic-reactions-do-to-the-surroundings,9F,9F-chemical-energy-bridge,assets/webp/9F-exothermic-endothermic-blank.webp,add,,What do endothermic reactions do to the surroundings?,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9cgp-102-F-chemical-energy-bridge-why-should-temperature-be-measured-before-and-after-a-reacti,9F,9F-chemical-energy-bridge,assets/webp/9F-exothermic-endothermic-blank.webp,add,,Why should temperature be measured before and after a reaction?,Blank exothermic/endothermic visual supports energy-transfer reasoning without labels.
y9-070-9f-which-products-form-when-a-hydrocarbon-burns-in-plenty-of-air,9F,9F-extraction,assets/webp/9F-combustion-fire-triangle-blank.webp,add,,Which products form when a hydrocarbon burns in plenty of air?,Blank combustion/fire-triangle visual supports combustion questions without text labels.
y9-187-9f-define-combustion,9F,9F-changes,assets/webp/9F-combustion-fire-triangle-blank.webp,add,,Define: combustion,Blank combustion/fire-triangle visual supports combustion questions without text labels.
y9r-038-9f-what-is-the-word-equation-for-complete-combustion-of-a-hydrocarbon,9F,9F-combustion-energy-rates,assets/webp/9F-combustion-fire-triangle-blank.webp,add,,What is the word equation for complete combustion of a hydrocarbon?,Blank combustion/fire-triangle visual supports combustion questions without text labels.
y9r-040-9f-why-is-an-input-of-energy-from-a-flame-or-spark-needed-to-start-combustion,9F,9F-combustion-energy-rates,assets/webp/9F-combustion-fire-triangle-blank.webp,add,,Why is an input of energy from a flame or spark needed to start combustion?,Blank combustion/fire-triangle visual supports combustion questions without text labels.
y9cgp-104-F-chemical-energy-bridge-why-is-combustion-usually-described-as-exothermic,9F,9F-chemical-energy-bridge,assets/webp/9F-combustion-fire-triangle-blank.webp,add,,Why is combustion usually described as exothermic?,Blank combustion/fire-triangle visual supports combustion questions without text labels.
y9r-041-9f-what-increases-the-rate-of-reaction-according-to-the-revision-sheet,9F,9F-combustion-energy-rates,assets/webp/9F-collision-theory-blank.webp,add,,A student wants a reaction to happen faster. Give three changes from the revision sheet that could increase the rate.,Blank particle collision visual supports rate-factor explanation without note text.
y9cgp-006-I-pressure-describe-how-liquid-pressure-changes-with-depth,9I,9I-pressure,assets/webp/9I-liquid-pressure-depth-blank.webp,add,,Describe how liquid pressure changes with depth.,Blank liquid-depth image directly supports pressure-with-depth questions without labels.
y9cgp-007-I-pressure-why-does-a-dam-wall-need-to-be-stronger-near-the-bottom,9I,9I-pressure,assets/webp/9I-liquid-pressure-depth-blank.webp,add,,Why does a dam wall need to be stronger near the bottom?,Blank liquid-depth image directly supports pressure-with-depth questions without labels.
y9cgp-008-I-pressure-a-drawing-shows-arrows-from-water-pushing-sideways-on-a-deep,9I,9I-pressure,assets/webp/9I-liquid-pressure-depth-blank.webp,add,,A drawing shows arrows from water pushing sideways on a deep wall. Which arrows should usually be longest?,Blank liquid-depth image directly supports pressure-with-depth questions without labels.
y9cgp-015-I-pressure-correct-the-misconception-liquid-pressure-at-the-bottom-depe,9I,9I-pressure,assets/webp/9I-liquid-pressure-depth-blank.webp,add,,Correct the misconception: “Liquid pressure at the bottom depends mainly on container width.”,Blank liquid-depth image directly supports pressure-with-depth questions without labels.
y9cgp-010-I-pressure-why-can-a-large-ship-float-even-though-it-is-made-from-dense,9I,9I-pressure,assets/webp/9I-pressure-fluids-blank.webp,add,,Why can a large ship float even though it is made from dense metal?,Blank pressure image supports force/area/upthrust reasoning without definitions.
y9cgp-011-I-pressure-what-does-it-mean-if-an-object-floats,9I,9I-pressure,assets/webp/9I-pressure-fluids-blank.webp,add,,What does it mean if an object floats?,Blank pressure image supports force/area/upthrust reasoning without definitions.
y9cgp-013-I-pressure-why-do-snowshoes-help-a-person-walk-on-soft-snow,9I,9I-pressure,assets/webp/9I-pressure-fluids-blank.webp,add,,Why do snowshoes help a person walk on soft snow?,Blank pressure image supports force/area/upthrust reasoning without definitions.
y9cgp-014-I-pressure-a-block-underwater-has-equal-sized-top-and-bottom-faces-expl,9I,9I-pressure,assets/webp/9I-pressure-fluids-blank.webp,add,,A block underwater has equal-sized top and bottom faces. Explain why water can produce an upward resultant force on it.,Blank pressure image supports force/area/upthrust reasoning without definitions.
y9-205-9i-define-distance-time-graph,9I,9I-speed,assets/webp/9I-distance-time-graph-blank.webp,add,,Define: distance-time graph,Blank distance-time graph supports graph interpretation without answer labels.
y9r-058-9i-on-a-distance-time-graph-what-does-the-gradient-of-a-line-give,9I,9I-speed,assets/webp/9I-distance-time-graph-blank.webp,add,,"On a distance-time graph, what does the gradient of a line give?",Blank distance-time graph supports graph interpretation without answer labels.
y9r-055-9i-what-does-a-speed-time-graph-show,9I,9I-speed-time-graphs,assets/webp/9I-speed-time-graph-blank.webp,add,,What does a speed-time graph show?,Blank speed-time graph supports graph interpretation without notes.
y9r-056-9i-what-do-horizontal-lines-show-on-a-speed-time-graph,9I,9I-speed-time-graphs,assets/webp/9I-speed-time-graph-blank.webp,add,,What do horizontal lines show on a speed-time graph?,Blank speed-time graph supports graph interpretation without notes.
y9r-057-9i-what-do-sloping-lines-show-on-a-speed-time-graph,9I,9I-speed-time-graphs,assets/webp/9I-speed-time-graph-blank.webp,add,,What do sloping lines show on a speed-time graph?,Blank speed-time graph supports graph interpretation without notes.
y9-087-9i-in-which-ways-is-energy-most-often-transferred-as-wasted-energy,9I,9I-energy-work,assets/webp/9I-sankey-efficiency-blank.webp,add,,In which ways is energy most often transferred as wasted energy?,Blank Sankey-style image supports efficiency/energy-transfer questions without quantities or answer labels.
y9-202-9i-define-efficiency,9I,9I-energy-work,assets/webp/9I-sankey-efficiency-blank.webp,add,,Define: efficiency,Blank Sankey-style image supports efficiency/energy-transfer questions without quantities or answer labels.
y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,9J-resistance,assets/webp/9J-wire-resistance-investigation-blank.webp,add,,Describe how to test whether resistance depends on wire length.,Blank real apparatus image supports investigation planning without note labels.
y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance,9J,9J-resistance,assets/webp/9J-wire-resistance-investigation-blank.webp,add,,Plan an investigation into how wire thickness affects resistance.,Blank real apparatus image supports investigation planning without note labels.
y9qb-005-9j-wire-resistance-investigation-variables,9J,9J-resistance,assets/webp/9J-wire-resistance-investigation-blank.webp,add,,"In a wire-resistance investigation, which variables should be controlled if you are testing how length affects resistance?",Blank real apparatus image supports investigation planning without note labels.
