id,origin,sourceCardId,unit,domain,learningObjective,command,section,sectionFocus,marks,hasMedia,question
derived-y9x-040-9e-describe-what-a-composite-material-is,open-answer-card,y9x-040-9e-describe-what-a-composite-material-is,9E,chemistry,9E-composites,describe,Section B,Written reasoning,2,yes,Describe what a composite material is.
derived-y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,open-answer-card,y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,9E,chemistry,9E-environment,explain,Section B,Written reasoning,3,yes,Explain the causes and problems of acid rain and the greenhouse effect.
derived-y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,open-answer-card,y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,chemistry,9E-polymers,describe,Section B,Written reasoning,3,yes,"Link uses of ceramics, polymers and composites to their properties."
derived-y9x-044-9e-describe-how-polymers-are-formed-from-monomers,open-answer-card,y9x-044-9e-describe-how-polymers-are-formed-from-monomers,9E,chemistry,9E-polymers,describe,Section B,Written reasoning,2,yes,Describe how polymers are formed from monomers.
derived-y9x-045-9e-identify-thermal-decomposition-reactions,open-answer-card,y9x-045-9e-identify-thermal-decomposition-reactions,9E,chemistry,9E-ceramics,identify,Section A,Core knowledge,1,yes,Identify thermal decomposition reactions.
derived-y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,open-answer-card,y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,9E,chemistry,9E-environment,explain,Section B,Written reasoning,3,yes,Explain advantages of recycling with specific examples.
derived-y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,open-answer-card,y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,9E,chemistry,9E-polymers,explain,Section B,Written reasoning,2,no,"Justify using a ceramic, polymer or composite for a particular use."
derived-y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,open-answer-card,y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,9E,chemistry,9E-ceramics,explain,Section B,Written reasoning,3,no,Explain how crystal size depends on cooling speed.
derived-y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,open-answer-card,y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,9E,chemistry,9E-ceramics,explain,Section B,Written reasoning,3,no,Explain how properties of a material depend on bonding and structure.
derived-y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,open-answer-card,y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,chemistry,9E-ceramics,identify,Section A,Core knowledge,2,yes,Classify exothermic and endothermic reactions by temperature change and energy transfer.
derived-y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,open-answer-card,y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,9E,chemistry,9E-ceramics,explain,Section B,Written reasoning,3,yes,Explain biomagnification of toxins through food chains.
derived-y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,open-answer-card,y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,chemistry,9E-environment,explain,Section B,Written reasoning,3,yes,Suggest ways to reduce global warming and acid rain impacts.
derived-y9x-053-9f-describe-what-causes-rusting,open-answer-card,y9x-053-9f-describe-what-causes-rusting,9F,chemistry,9F-rusting,describe,Section B,Written reasoning,2,yes,Describe what causes rusting.
derived-y9x-054-9f-describe-one-simple-method-of-preventing-rusting,open-answer-card,y9x-054-9f-describe-one-simple-method-of-preventing-rusting,9F,chemistry,9F-rusting,describe,Section B,Written reasoning,2,yes,Describe one simple method of preventing rusting.
derived-y9x-055-9f-explain-why-rusting-is-a-problem,open-answer-card,y9x-055-9f-explain-why-rusting-is-a-problem,9F,chemistry,9F-rusting,explain,Section B,Written reasoning,3,yes,Explain why rusting is a problem.
derived-y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,open-answer-card,y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,9F,chemistry,9F-rusting,explain,Section B,Written reasoning,3,yes,Use scientific words to explain how iron rusts.
derived-y9x-057-9f-explain-why-iron-or-steel-is-used-for-a-purpose-because-of-its-properties,open-answer-card,y9x-057-9f-explain-why-iron-or-steel-is-used-for-a-purpose-because-of-its-properties,9F,chemistry,9F-extraction,explain,Section B,Written reasoning,3,no,Explain why iron or steel is used for a purpose because of its properties.
derived-y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,open-answer-card,y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,9F,chemistry,9F-extraction,describe,Section B,Written reasoning,2,no,Describe how iron ore is obtained from mining.
derived-y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method,open-answer-card,y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method,9F,chemistry,9F-extraction,explain,Section B,Written reasoning,3,yes,Explain how metal reactivity determines extraction method.
derived-y9x-062-9f-explain-why-energy-needs-and-cost-matter-when-selecting-extraction-methods,open-answer-card,y9x-062-9f-explain-why-energy-needs-and-cost-matter-when-selecting-extraction-methods,9F,chemistry,9F-extraction,explain,Section B,Written reasoning,3,no,Explain why energy needs and cost matter when selecting extraction methods.
derived-y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,open-answer-card,y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,9F,chemistry,9F-rusting,describe,Section B,Written reasoning,2,yes,Describe sacrificial protection for preventing rusting.
derived-y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv,open-answer-card,y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv,9F,chemistry,9F-rusting,explain,Section B,Written reasoning,3,yes,Explain how sacrificial protection prevents rusting and link this to the reactivity series.
derived-y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection,open-answer-card,y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection,9F,chemistry,9F-rusting,explain,Section B,Written reasoning,3,yes,Explain why certain metals are used for sacrificial protection.
derived-y9x-066-9f-explain-other-reactions-taking-place-in-a-blast-furnace,open-answer-card,y9x-066-9f-explain-other-reactions-taking-place-in-a-blast-furnace,9F,chemistry,9F-extraction,explain,Section B,Written reasoning,3,no,Explain other reactions taking place in a blast furnace.
derived-y9x-067-9f-use-balanced-equations-to-represent-reactions,open-answer-card,y9x-067-9f-use-balanced-equations-to-represent-reactions,9F,chemistry,9F-changes,explain,Section C,Data and calculations,2,no,Use balanced equations to represent reactions.
derived-y9x-069-9i-recall-units-for-speed-and-explain-what-speed-means,open-answer-card,y9x-069-9i-recall-units-for-speed-and-explain-what-speed-means,9I,physics,9I-speed,explain,Section C,Data and calculations,3,no,Recall units for speed and explain what speed means.
derived-y9x-070-9i-explain-how-distance-and-time-affect-speed,open-answer-card,y9x-070-9i-explain-how-distance-and-time-affect-speed,9I,physics,9I-speed,explain,Section B,Written reasoning,3,no,Explain how distance and time affect speed.
derived-y9x-072-9i-describe-levers-ramps-and-pulleys-and-how-they-help-move-loads,open-answer-card,y9x-072-9i-describe-levers-ramps-and-pulleys-and-how-they-help-move-loads,9I,physics,9I-moments,describe,Section B,Written reasoning,2,no,"Describe levers, ramps and pulleys and how they help move loads."
derived-y9x-073-9i-explain-how-levers-ramps-or-pulleys-could-raise-or-lift-stones,open-answer-card,y9x-073-9i-explain-how-levers-ramps-or-pulleys-could-raise-or-lift-stones,9I,physics,9I-moments,explain,Section B,Written reasoning,3,no,"Explain how levers, ramps or pulleys could raise or lift stones."
