index,unit,topic,asset_type,decision,repo_path,source_filename,width,height,size_bytes,assessment
22,9J,Wire resistance investigation,blank,integrate,assets/webp/9J-wire-resistance-investigation-blank.webp,"ChatGPT Image May 11, 2026, 03_50_15 PM (2).png",1600,1000,73824,Good question-safe lab setup.
23,9J,Ammeter and voltmeter placement,notes,integrate,assets/webp/9J-meter-placement-notes.webp,"ChatGPT Image May 11, 2026, 04_00_41 PM (1).png",1600,1000,87766,Clean and useful. Confirm lamp/cell symbols remain standard after conversion; otherwise suitable.
24,9J,Ammeter and voltmeter placement,blank,integrate,assets/webp/9J-meter-placement-blank.webp,"ChatGPT Image May 11, 2026, 04_00_42 PM (2).png",1600,1000,16938,Good blank circuit for questions.
25,9F,Periodic table navigator,notes,integrate after mobile check,assets/webp/9F-periodic-table-navigator-notes.webp,"ChatGPT Image May 11, 2026, 04_04_53 PM (1).png",1600,1000,148934,"Good concept, but many tiny callouts. Use for class notes; consider simplifying if unreadable on iPhone."
26,9F,Periodic table navigator,blank,integrate,assets/webp/9F-periodic-table-navigator-blank.webp,"ChatGPT Image May 11, 2026, 04_04_53 PM (2).png",1600,1000,105952,Good blank periodic table for questions/identification.
27,9B,Seed lifecycle,notes,integrate after mobile check,assets/webp/9B-seed-lifecycle-notes.webp,"ChatGPT Image May 11, 2026, 05_29_36 PM (1).png",1600,1000,231386,Good biological sequence; text is a bit small but class-note value is high.
28,9B,Seed lifecycle,blank,integrate,assets/webp/9B-seed-lifecycle-blank.webp,"ChatGPT Image May 11, 2026, 05_29_36 PM (2).png",1600,1000,151562,Good blank sequence for question-safe use.
29,9E,Thermal conductors vs insulators,notes,integrate,assets/webp/9E-thermal-conductors-insulators-notes.webp,"ChatGPT Image May 11, 2026, 05_32_28 PM (1).png",1600,1000,229156,Strong class-note image. Good real-world thermal comparison.
30,9E,Thermal conductors vs insulators,blank,integrate,assets/webp/9E-thermal-conductors-insulators-blank.webp,"ChatGPT Image May 11, 2026, 05_32_28 PM (2).png",1600,1000,166786,Good blank version.
33,9I,Distance-time graph,notes,integrate,assets/webp/9I-distance-time-graph-notes.webp,"ChatGPT Image May 11, 2026, 07_14_27 PM (1).png",1600,1000,77592,Good technical note graphic; graphs can remain image/chart style.
34,9I,Distance-time graph,blank,integrate,assets/webp/9I-distance-time-graph-blank.webp,"ChatGPT Image May 11, 2026, 07_14_27 PM (2).png",1600,1000,49942,Good question-safe graph.
35,9I,Speed-time graph,notes,integrate,assets/webp/9I-speed-time-graph-notes.webp,"ChatGPT Image May 11, 2026, 07_14_29 PM (3).png",1600,1000,85008,Good technical note graphic.
36,9I,Speed-time graph,blank,integrate,assets/webp/9I-speed-time-graph-blank.webp,"ChatGPT Image May 11, 2026, 07_14_30 PM (4).png",1600,1000,45568,Good question-safe graph.
37,9B,Photosynthesis light-intensity graph,notes,integrate,assets/webp/9B-photosynthesis-light-graph-notes.webp,"ChatGPT Image May 11, 2026, 07_14_30 PM (5).png",1600,1000,71116,Good technical graph; improves current SVG feel.
38,9B,Photosynthesis light-intensity graph,blank,integrate,assets/webp/9B-photosynthesis-light-graph-blank.webp,"ChatGPT Image May 11, 2026, 07_14_31 PM (6).png",1600,1000,49666,Good blank graph for questions.
39,9J,Current-voltage graphs,notes,integrate,assets/webp/9J-current-voltage-graphs-notes.webp,"ChatGPT Image May 11, 2026, 07_14_32 PM (7).png",1600,1000,113188,"Good class-note graph showing ohmic resistor, filament lamp and diode."
40,9J,Current-voltage graphs,blank,integrate,assets/webp/9J-current-voltage-graphs-blank.webp,"ChatGPT Image May 11, 2026, 07_14_33 PM (8).png",1600,1000,41688,Good question-safe graph set.
41,9J,Common circuit symbols,notes,integrate,assets/webp/9J-circuit-symbols-notes.webp,"ChatGPT Image May 11, 2026, 07_14_33 PM (9).png",1600,1000,58176,Good reference chart. Keep for class notes or label-matching prep.
42,9J,Circuit symbols matching,blank,integrate,assets/webp/9J-circuit-symbols-matching-blank.webp,"ChatGPT Image May 11, 2026, 07_14_34 PM (10).png",1600,1000,54234,Good question-safe matching graphic.
43,Mixed,Calculation formula guide,notes,integrate cautiously,assets/webp/science-formula-rearrange-guide-notes.webp,"ChatGPT Image May 11, 2026, 07_29_56 PM (1).png",1600,1000,112736,"Useful study support, but more cross-unit/math-support than class-note concept image. Keep in calculation/support notes."
44,Mixed,Calculation diagram blanks,blank,integrate cautiously,assets/webp/science-calculation-diagram-blank.webp,"ChatGPT Image May 11, 2026, 07_29_57 PM (2).png",1600,1000,28980,"Useful for calculation-builder prompts, less useful as class-note visual."
45,9I,Sankey diagram / efficiency,notes,integrate,assets/webp/9I-sankey-efficiency-notes.webp,"ChatGPT Image May 11, 2026, 07_30_00 PM (3).png",1600,1000,92356,Good technical note image; clear energy flow and wasted/useful energy.
46,9I,Sankey diagram / efficiency,blank,integrate,assets/webp/9I-sankey-efficiency-blank.webp,"ChatGPT Image May 11, 2026, 07_30_01 PM (4).png",1600,1000,27220,Good question-safe Sankey.
