id,origin,source_card_id,unit,unit_title,learning_objective,learning_objective_title,command,marks,has_media,question
derived-y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,derived-open-answer-card,y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,9E,9E Making materials,9E-ceramics,"Ceramics, crystals and materials properties",explain,3,no,Explain how properties of ceramics link to bonding and structure.
derived-y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,derived-open-answer-card,y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,9E Making materials,9E-composites,Composites and material choice,explain,3,yes,Explain why composites often have better properties than their separate materials.
derived-y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,derived-open-answer-card,y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,9E,9E Making materials,9E-environment,Environmental impacts and recycling,explain,3,no,Explain one environmental problem caused by making materials.
derived-y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,derived-open-answer-card,y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,9F,9F Reactivity and extraction,9F-extraction,Metal extraction and reduction,explain,3,no,Why is a metal oxide reduced when carbon extracts a metal?
derived-y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,derived-open-answer-card,y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,9F,9F Reactivity and extraction,9F-extraction,Metal extraction and reduction,explain,3,no,Explain why aluminium is extracted by electrolysis rather than carbon reduction.
derived-y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,derived-open-answer-card,y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,9F Reactivity and extraction,9F-rusting,Rusting and corrosion protection,explain,3,yes,Explain why rusting is a problem and name two prevention methods.
derived-y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,derived-open-answer-card,y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,9I,9I Forces and motion,9I-moments,"Levers, pivots and moments",describe,2,yes,"Describe how to raise a large upright stone using levers, moments and ramps."
derived-y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,derived-open-answer-card,y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,9I,9I Forces and motion,9I-energy-work,"Energy, work and simple machines",explain,3,no,Explain why a shallow ramp needs less force but more distance.
derived-y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,derived-open-answer-card,y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,9I,9I Forces and motion,9I-forces,"Forces, drag and terminal velocity",calculate,2,no,Calculate the weight of a 54 kg person on Earth where g = 10 N/kg.
derived-y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,derived-open-answer-card,y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,9I,9I Forces and motion,9I-forces,"Forces, drag and terminal velocity",calculate,2,no,A 96 kg person is on a planet where g = 14 N/kg. Calculate weight.
derived-y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,derived-open-answer-card,y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,9I,9I Forces and motion,9I-forces,"Forces, drag and terminal velocity",calculate,2,no,A person weighs 1220 N on Earth where g = 10 N/kg. Calculate mass.
derived-y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,derived-open-answer-card,y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,9J Force fields and electromagnets,9J-electromagnets,"Electromagnets, relays and motors",explain,3,yes,How can the strength of an electromagnet be increased?
derived-y9-265-9j-describe-the-difference-between-current-and-voltage,derived-open-answer-card,y9-265-9j-describe-the-difference-between-current-and-voltage,9J,9J Force fields and electromagnets,9J-static,Static electricity and charge,describe,2,yes,Describe the difference between current and voltage / potential difference.
derived-y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,derived-open-answer-card,y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,9J,9J Force fields and electromagnets,9J-resistance,Resistance and Ohm’s law,explain,3,no,Explain why plastic handles are safe on electrical wires.
derived-y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,derived-open-answer-card,y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,9J Force fields and electromagnets,9J-resistance,Resistance and Ohm’s law,describe,2,yes,Describe how to test whether resistance depends on wire length.
derived-y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,derived-open-answer-card,y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,9I,9I Forces and motion,9I-energy-work,"Energy, work and simple machines",calculate,2,no,A force of 40 N moves a box 3 m. Calculate work done.
derived-y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,derived-open-answer-card,y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,9I,9I Forces and motion,9I-moments,"Levers, pivots and moments",calculate,2,no,A 5 N force acts 0.4 m from a pivot. Calculate the moment.
derived-y9x-002-9a-outline-why-dinosaurs-became-extinct,derived-open-answer-card,y9x-002-9a-outline-why-dinosaurs-became-extinct,9A,9A Genetics and evolution,9A-variation,Variation and classification,explain,3,no,Outline why dinosaurs became extinct.
derived-y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,derived-open-answer-card,y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,9A,9A Genetics and evolution,9A-evolution,"Adaptation, natural selection and evolution",explain,3,no,"Use evidence to explain how scientists can infer something about Triceratops, such as whether it was prey."
derived-y9x-004-9a-identify-examples-of-environmental-variation,derived-open-answer-card,y9x-004-9a-identify-examples-of-environmental-variation,9A,9A Genetics and evolution,9A-variation,Variation and classification,identify,1,no,Identify examples of environmental variation.
derived-y9x-005-9a-identify-examples-of-inherited-variation,derived-open-answer-card,y9x-005-9a-identify-examples-of-inherited-variation,9A,9A Genetics and evolution,9A-inheritance,"Inheritance, DNA and genes",identify,1,no,Identify examples of inherited variation.
derived-y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,derived-open-answer-card,y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,9A,9A Genetics and evolution,9A-biodiversity,"Biodiversity, conservation and extinction",explain,3,yes,Explain how changes in an ecosystem can cause extinction.
derived-y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,derived-open-answer-card,y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,9A,9A Genetics and evolution,9A-evolution,"Adaptation, natural selection and evolution",identify,1,yes,Identify adaptations of Triceratops that could be labelled on a model.
derived-y9x-008-9a-explain-how-environmental-variation-is-caused,derived-open-answer-card,y9x-008-9a-explain-how-environmental-variation-is-caused,9A,9A Genetics and evolution,9A-variation,Variation and classification,explain,3,no,Explain how environmental variation is caused.
derived-y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,derived-open-answer-card,y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,9A,9A Genetics and evolution,9A-inheritance,"Inheritance, DNA and genes",describe,2,no,Outline how some variation is inherited from parents.
derived-y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,derived-open-answer-card,y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,9A,9A Genetics and evolution,9A-evolution,"Adaptation, natural selection and evolution",explain,3,no,Explain how Triceratops adaptations helped survival.
derived-y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,derived-open-answer-card,y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,9A,9A Genetics and evolution,9A-evolution,"Adaptation, natural selection and evolution",explain,3,yes,Identify and explain Triceratops adaptations beyond the obvious labels.
derived-y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,derived-open-answer-card,y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,9A,9A Genetics and evolution,9A-inheritance,"Inheritance, DNA and genes",describe,2,yes,"Describe the relationship between cells, nuclei, chromosomes, genes, DNA and genetic information."
derived-y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,derived-open-answer-card,y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,9A,9A Genetics and evolution,9A-inheritance,"Inheritance, DNA and genes",describe,2,no,Describe how variation in adaptations affects survival within a species.
derived-y9x-015-9a-explain-how-natural-selection-works,derived-open-answer-card,y9x-015-9a-explain-how-natural-selection-works,9A,9A Genetics and evolution,9A-inheritance,"Inheritance, DNA and genes",explain,3,no,Explain how natural selection works.
derived-y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,derived-open-answer-card,y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,9B,9B Plant growth,9B-photosynthesis,Photosynthesis and respiration,describe,2,no,"Describe photosynthesis in terms of reactants, products and energy source."
derived-y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,derived-open-answer-card,y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,9B,9B Plant growth,9B-plant-transport,Plant transport and specialised cells,explain,3,yes,"Explain how leaves, roots and stems help photosynthesis."
derived-y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,derived-open-answer-card,y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,9B,9B Plant growth,9B-plant-products,"Plant products, seeds and food production",explain,3,yes,Explain how fertilisers help crop plants grow well.
derived-y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,derived-open-answer-card,y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,9B,9B Plant growth,9B-plant-transport,Plant transport and specialised cells,explain,3,no,Explain what happens when plants lack water or mineral salts.
derived-y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,derived-open-answer-card,y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,9B,9B Plant growth,9B-photosynthesis,Photosynthesis and respiration,explain,3,no,Explain that chlorophyll traps energy transferred by light.
derived-y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,derived-open-answer-card,y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,9B,9B Plant growth,9B-plant-products,"Plant products, seeds and food production",explain,3,yes,Explain how farming can change the carbon cycle.
derived-y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,derived-open-answer-card,y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,9B,9B Plant growth,9B-plant-products,"Plant products, seeds and food production",explain,3,no,"Explain problems caused by fertilisers, including effects on fish in lakes."
derived-y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,derived-open-answer-card,y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,9B,9B Plant growth,9B-food-webs,"Food webs, biodiversity and ecosystems",explain,3,no,"Explain problems caused by pesticides, including persistent insecticides."
derived-y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,derived-open-answer-card,y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,9B,9B Plant growth,9B-photosynthesis,Photosynthesis and respiration,describe,2,yes,Describe how limiting factors stop photosynthesis rate increasing.
derived-y9x-034-9e-name-common-conductors-and-insulators,derived-open-answer-card,y9x-034-9e-name-common-conductors-and-insulators,9E,9E Making materials,9E-polymers,Polymers and polymerisation,state,1,yes,Name common conductors and insulators.
derived-y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,derived-open-answer-card,y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,9E,9E Making materials,9E-polymers,Polymers and polymerisation,state,1,no,"Name examples of ceramic, polymer and composite materials."
derived-y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,derived-open-answer-card,y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,9E,9E Making materials,9E-polymers,Polymers and polymerisation,describe,2,no,Describe the difference between biodegradable and non-biodegradable polymers.
derived-y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,derived-open-answer-card,y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,9E,9E Making materials,9E-environment,Environmental impacts and recycling,describe,2,no,Describe pollution problems caused by burning fossil fuels.
derived-y9x-040-9e-describe-what-a-composite-material-is,derived-open-answer-card,y9x-040-9e-describe-what-a-composite-material-is,9E,9E Making materials,9E-composites,Composites and material choice,describe,2,yes,Describe what a composite material is.
derived-y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,derived-open-answer-card,y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,9E,9E Making materials,9E-environment,Environmental impacts and recycling,explain,3,yes,Explain the causes and problems of acid rain and the greenhouse effect.
derived-y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,derived-open-answer-card,y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,9E Making materials,9E-polymers,Polymers and polymerisation,describe,3,yes,"Link uses of ceramics, polymers and composites to their properties."
derived-y9x-044-9e-describe-how-polymers-are-formed-from-monomers,derived-open-answer-card,y9x-044-9e-describe-how-polymers-are-formed-from-monomers,9E,9E Making materials,9E-polymers,Polymers and polymerisation,describe,2,yes,Describe how polymers are formed from monomers.
derived-y9x-045-9e-identify-thermal-decomposition-reactions,derived-open-answer-card,y9x-045-9e-identify-thermal-decomposition-reactions,9E,9E Making materials,9E-ceramics,"Ceramics, crystals and materials properties",identify,1,yes,Identify thermal decomposition reactions.
derived-y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,derived-open-answer-card,y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,9E,9E Making materials,9E-environment,Environmental impacts and recycling,explain,3,yes,Explain advantages of recycling with specific examples.
derived-y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,derived-open-answer-card,y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,9E,9E Making materials,9E-polymers,Polymers and polymerisation,explain,2,no,"Justify using a ceramic, polymer or composite for a particular use."
derived-y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,derived-open-answer-card,y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,9E,9E Making materials,9E-ceramics,"Ceramics, crystals and materials properties",explain,3,no,Explain how crystal size depends on cooling speed.
derived-y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,derived-open-answer-card,y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,9E,9E Making materials,9E-ceramics,"Ceramics, crystals and materials properties",explain,3,no,Explain how properties of a material depend on bonding and structure.
derived-y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,derived-open-answer-card,y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,9E Making materials,9E-ceramics,"Ceramics, crystals and materials properties",identify,2,yes,Classify exothermic and endothermic reactions by temperature change and energy transfer.
derived-y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,derived-open-answer-card,y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,9E,9E Making materials,9E-ceramics,"Ceramics, crystals and materials properties",explain,3,yes,Explain biomagnification of toxins through food chains.
derived-y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,derived-open-answer-card,y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,9E Making materials,9E-environment,Environmental impacts and recycling,explain,3,yes,Suggest ways to reduce global warming and acid rain impacts.
derived-y9x-053-9f-describe-what-causes-rusting,derived-open-answer-card,y9x-053-9f-describe-what-causes-rusting,9F,9F Reactivity and extraction,9F-rusting,Rusting and corrosion protection,describe,2,yes,Describe what causes rusting.
derived-y9x-054-9f-describe-one-simple-method-of-preventing-rusting,derived-open-answer-card,y9x-054-9f-describe-one-simple-method-of-preventing-rusting,9F,9F Reactivity and extraction,9F-rusting,Rusting and corrosion protection,describe,2,yes,Describe one simple method of preventing rusting.
derived-y9x-055-9f-explain-why-rusting-is-a-problem,derived-open-answer-card,y9x-055-9f-explain-why-rusting-is-a-problem,9F,9F Reactivity and extraction,9F-rusting,Rusting and corrosion protection,explain,3,yes,Explain why rusting is a problem.
derived-y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,derived-open-answer-card,y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,9F,9F Reactivity and extraction,9F-rusting,Rusting and corrosion protection,explain,3,yes,Use scientific words to explain how iron rusts.
derived-y9x-057-9f-explain-why-iron-or-steel-is-used-for-a-purpose-because-of-its-properties,derived-open-answer-card,y9x-057-9f-explain-why-iron-or-steel-is-used-for-a-purpose-because-of-its-properties,9F,9F Reactivity and extraction,9F-extraction,Metal extraction and reduction,explain,3,no,Explain why iron or steel is used for a purpose because of its properties.
derived-y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,derived-open-answer-card,y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,9F,9F Reactivity and extraction,9F-extraction,Metal extraction and reduction,describe,2,no,Describe how iron ore is obtained from mining.
derived-y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method,derived-open-answer-card,y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method,9F,9F Reactivity and extraction,9F-extraction,Metal extraction and reduction,explain,3,yes,Explain how metal reactivity determines extraction method.
derived-y9x-062-9f-explain-why-energy-needs-and-cost-matter-when-selecting-extraction-methods,derived-open-answer-card,y9x-062-9f-explain-why-energy-needs-and-cost-matter-when-selecting-extraction-methods,9F,9F Reactivity and extraction,9F-extraction,Metal extraction and reduction,explain,3,no,Explain why energy needs and cost matter when selecting extraction methods.
derived-y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,derived-open-answer-card,y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,9F,9F Reactivity and extraction,9F-rusting,Rusting and corrosion protection,describe,2,yes,Describe sacrificial protection for preventing rusting.
derived-y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv,derived-open-answer-card,y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv,9F,9F Reactivity and extraction,9F-rusting,Rusting and corrosion protection,explain,3,yes,Explain how sacrificial protection prevents rusting and link this to the reactivity series.
derived-y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection,derived-open-answer-card,y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection,9F,9F Reactivity and extraction,9F-rusting,Rusting and corrosion protection,explain,3,yes,Explain why certain metals are used for sacrificial protection.
