id,unit,old_question,new_question,old_command,new_command,old_marks,new_marks,action,source_quality,source
y9x-154-9j-use-the-charge-transfer-diagram-what-particle-has-moved-and-what-charge-does-the-rod-gain,9J,"Use the charge-transfer diagram. What particle has moved, and what overall charge does the rod gain?",Identify the particle that has moved in the charge-transfer diagram and state the charge gained by the rod.,state,identify,2,2,promoted from written-review to written-main,source-style-redraw,9Jb Static-Electricity PPT / 9J summary sheet - charging by rubbing visual practice
y9x-155-9j-use-the-electromagnet-diagram-match-labels-a-to-d-to-the-coil-core-cell-and-switch,9J,"Use the electromagnet diagram. Match labels A–D to the coil of wire, iron core, cell/battery and switch.",Identify labels A–D on the electromagnet diagram.,state,identify,2,4,promoted from written-review to written-main,source-style-redraw,9Je Electromagnets PPT / 9J summary sheet - electromagnet parts visual practice
y9x-157-9j-use-the-relay-diagram-match-labels-a-to-d-to-control-circuit-electromagnet-switch-and-load,9J,"Use the relay diagram. Match labels A–D to the control circuit, electromagnet, switch contacts and load/lamp.",Identify labels A–D on the relay diagram.,state,identify,2,4,promoted from written-review to written-main,source-style-redraw,9Je Electromagnets PPT / 9J summary sheet - relay diagram visual practice
y9r-003-9b-what-problem-can-be-caused-by-clearing-hedges-and-trees,9B,What problem can be caused by clearing hedges and trees?,State two problems caused by clearing hedges and trees.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9B Summary sheet p2 Farming table
y9r-005-9b-what-problem-can-pesticides-cause,9B,What problem can pesticides cause?,State two problems that pesticides can cause in an ecosystem.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9B Summary sheet p2 Farming table
y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers,9B,Fertiliser washes from a field into a stream. What problem can this cause?,Explain why fertiliser washing into a stream can harm organisms living there.,state,explain,2,2,promoted from written-review to written-main,exact-source-answer,9B Summary sheet p2 Farming table
y9r-012-9b-where-does-most-photosynthesis-happen-in-leaves,9B,Where does most photosynthesis happen in leaves?,Identify where most photosynthesis happens in a leaf.,state,identify,2,2,promoted from written-review to written-main,exact-source-answer,9B Summary sheet p1 Getting light
y9r-013-9e-what-do-exothermic-reactions-do-to-the-surroundings,9E,What do exothermic reactions do to the surroundings?,State what exothermic reactions do to the surroundings.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9E Summary sheet p2 Endothermic and exothermic reactions
y9r-014-9e-what-do-endothermic-reactions-do-to-the-surroundings,9E,What do endothermic reactions do to the surroundings?,State what endothermic reactions do to the surroundings.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9E Summary sheet p2 Endothermic and exothermic reactions
y9r-018-9e-in-peer-review-what-do-scientists-check-in-a-paper,9E,"In peer review, what do scientists check in a paper?",State three things scientists check during peer review.,state,state,2,3,promoted from written-review to written-main,exact-source-answer,9E Summary sheet p2 Peer review
y9r-019-9e-after-peer-review-what-can-a-paper-be-recommended-for,9E,"After peer review, what can a paper be recommended for?",State the three possible recommendations after peer review.,state,state,2,3,promoted from written-review to written-main,exact-source-answer,9E Summary sheet p2 Peer review
y9r-027-9f-what-do-the-large-numbers-in-an-equation-show,9F,What do the large numbers in an equation show?,Identify what the large numbers in a chemical equation show.,state,identify,2,1,promoted from written-review to written-main,exact-source-answer,9F Summary sheet p1 Reactions and equations
y9r-028-9f-what-do-the-letters-in-brackets-in-an-equation-show,9F,What do the letters in brackets in an equation show?,Identify what the letters in brackets in a chemical equation show.,state,identify,2,2,promoted from written-review to written-main,exact-source-answer,9F Summary sheet p1 Reactions and equations
y9r-034-9f-what-do-metals-that-react-with-water-produce,9F,What do metals that react with water produce?,State the products formed when reactive metals react with water.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9F Summary sheet p1 The reactivity series
y9r-035-9f-what-do-metals-that-react-with-dilute-acids-produce,9F,What do metals that react with dilute acids produce?,State the products formed when metals react with dilute acids.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9F Summary sheet p1 The reactivity series
y9r-043-9f-where-do-most-metals-occur,9F,Where do most metals occur?,State how most metals occur naturally in the Earth’s crust.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9F Summary sheet p3 Extracting metals
y9r-047-9i-what-can-forces-make-objects-do,9I,What can forces make objects do?,State three ways a force can change the motion of an object.,state,state,2,3,promoted from written-review to written-main,exact-source-answer,9I Summary sheet p1 Forces and motion
y9r-050-9i-what-has-happened-when-a-falling-object-reaches-terminal-velocity,9I,A falling object is moving at terminal velocity. What has happened to air resistance and weight?,Explain what has happened to air resistance and weight when a falling object reaches terminal velocity.,state,explain,2,2,promoted from written-review to written-main,exact-source-answer,9I Summary sheet p1 Forces and motion
y9r-068-9j-in-an-electric-field-diagram-what-do-the-arrows-show,9J,"In an electric field diagram, what do the arrows show?",Identify what the arrows show in an electric-field diagram.,state,identify,2,1,promoted from written-review to written-main,exact-source-answer,9J Summary sheet p1 Static electricity
y9r-073-9j-if-resistance-stays-the-same-what-happens-when-voltage-is-higher,9J,"A component has the same resistance, but the voltage across it is increased. What happens to the current?",Explain what happens to current when voltage increases but resistance stays the same.,state,explain,2,2,promoted from written-review to written-main,exact-source-answer,9J Summary sheet p2 Resistance
y9r-074-9j-if-voltage-stays-the-same-what-happens-when-resistance-is-higher,9J,"A circuit has the same voltage, but the resistance is increased. What happens to the current?",Explain what happens to current when resistance increases but voltage stays the same.,state,explain,2,2,promoted from written-review to written-main,exact-source-answer,9J Summary sheet p2 Resistance
y9r-075-9j-what-three-things-does-the-resistance-of-a-wire-depend-on,9J,What three things does the resistance of a wire depend on?,State three factors that affect the resistance of a wire.,state,state,2,3,promoted from written-review to written-main,exact-source-answer,9J Summary sheet p2 Resistance
y9r-080-9j-when-is-an-electromagnet-magnetic,9J,When is an electromagnet magnetic?,State when an electromagnet is magnetic.,state,state,2,1,promoted from written-review to written-main,exact-source-answer,9J Summary sheet p2 Electromagnets
y9r-084-9j-what-makes-the-coil-in-an-electric-motor-turn,9J,What makes the coil in an electric motor turn?,Explain what makes the coil in an electric motor turn.,state,explain,2,2,promoted from written-review to written-main,exact-source-answer,9J Summary sheet p3 Motors
y9p-005-9a-what-forms-an-ecosystem,9A,What forms an ecosystem?,State what forms an ecosystem.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9A Summary sheet p1 Environmental variation
y9p-014-9f-what-energy-supply-do-thermal-decomposition-reactions-need-to-keep-going,9F,What energy supply do thermal decomposition reactions need to keep going?,State what energy supply thermal-decomposition reactions need to keep going.,state,state,2,1,promoted from written-review to written-main,exact-source-answer,9F Summary sheet p3 Hydrocarbons
y9p-017-9f-when-has-a-substance-been-reduced,9F,When has a substance been reduced?,State what it means when a substance has been reduced.,state,state,2,1,promoted from written-review to written-main,exact-source-answer,9F Word sheet 9Fe Extracting metals
y9p-025-9j-in-the-number-3-407-how-many-decimal-places-are-there,9J,"In the number 3.407, how many decimal places are there?",Calculate how many decimal places are in 3.407.,calculate,calculate,2,1,promoted from written-review to written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-026-9j-in-the-number-0-0632-what-is-the-first-significant-figure,9J,"In the number 0.0632, what is the first significant figure?",Identify the first significant figure in 0.0632.,calculate,identify,2,1,promoted from written-review to written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-027-9j-round-42-786-to-one-decimal-place,9J,Round 42.786 to one decimal place.,Round 42.786 to one decimal place.,calculate,calculate,2,1,promoted from written-review to written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-028-9j-round-42-786-to-two-decimal-places,9J,Round 42.786 to two decimal places.,Round 42.786 to two decimal places.,calculate,calculate,2,1,promoted from written-review to written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-029-9j-round-0-0632-to-one-significant-figure,9J,Round 0.0632 to one significant figure.,Round 0.0632 to one significant figure.,calculate,calculate,2,1,promoted from written-review to written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-030-9j-round-0-0632-to-two-significant-figures,9J,Round 0.0632 to two significant figures.,Round 0.0632 to two significant figures.,calculate,calculate,2,1,promoted from written-review to written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9cgp-015-I-pressure-correct-the-misconception-liquid-pressure-at-the-bottom-depe,9I,Correct the misconception: “Liquid pressure at the bottom depends mainly on container width.”,Explain why liquid pressure at the bottom does not depend mainly on container width.,explain,explain,2,2,promoted from written-review to written-main,new-cgp-bridge-derived,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons
y9cgp-057-E-heating-cooling-correct-the-misconception-energy-disappears-when-an-object-c,9E,Correct the misconception: “Energy disappears when an object cools.”,Explain what happens to energy when an object cools.,explain,explain,2,2,promoted from written-review to written-main,new-cgp-bridge-derived,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons
y9cgp-067-F-periodic-table-bridge-where-are-metals-usually-found-in-the-periodic-table,9F,Where are metals usually found in the periodic table?,Identify where metals are usually found in the periodic table.,state,identify,2,1,promoted from written-review to written-main,new-cgp-bridge-derived,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons
y9cgp-076-E-climate-bridge-what-causes-the-natural-greenhouse-effect,9E,What causes the natural greenhouse effect?,Explain what causes the natural greenhouse effect.,state,explain,2,2,promoted from written-review to written-main,new-cgp-bridge-derived,9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons
y9cgp-098-F-chemical-energy-bridge-what-do-exothermic-reactions-do-to-the-surroundings,9F,What do exothermic reactions do to the surroundings?,State what exothermic reactions do to the surroundings.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson
y9cgp-099-F-chemical-energy-bridge-what-do-endothermic-reactions-do-to-the-surroundings,9F,What do endothermic reactions do to the surroundings?,State what endothermic reactions do to the surroundings.,state,state,2,2,promoted from written-review to written-main,exact-source-answer,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson
y9cgp-105-F-chemical-energy-bridge-correct-the-misconception-a-cold-reaction-makes-cold-energy,9F,Correct the misconception: “A cold reaction makes cold energy.”,Explain why “cold energy” is not a correct scientific idea for an endothermic reaction.,explain,explain,2,2,promoted from written-review to written-main,new-cgp-bridge-derived,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson
y9-253a-9f-describe-how-iron-is-extracted-from-iron-ore,9F,,Describe how iron is extracted from iron ore.,,describe,,3,new split prompt promoted to written-main,progress-check-derived,9F assess yourself - split from extraction/rusting talk prompt
y9-253b-9f-explain-two-ways-rusting-can-be-prevented,9F,,Explain two ways rusting can be prevented.,,explain,,3,new split prompt promoted to written-main,progress-check-derived,9F assess yourself - split from extraction/rusting talk prompt
