asset,note_refs,card_refs,notes,cards
assets/webp/9E-thermal-conductors-insulators-blank.webp,0,7,,y9x-034-9e-name-common-conductors-and-insulators; y9cgp-046-E-heating-cooling-define-thermal-conductor; y9cgp-047-E-heating-cooling-define-thermal-insulator; y9cgp-053-E-heating-cooling-why-does-a-metal-spoon-in-hot-soup-become-hot-quickly; y9cgp-054-E-heating-cooling-why-does-a-plastic-handle-help-protect-your-hand-from-a-hot-; y9cgp-058-E-heating-cooling-which-material-would-usually-be-best-for-reducing-heat-loss-; y9cgp-059-E-heating-cooling-explain-why-insulation-does-not-make-heat-it-helps-keep-some
assets/webp/9E-thermal-conductors-insulators-notes.webp,1,0,9E-heating-cooling,
assets/webp/9E-vulcanisation-crosslinks-base.webp,1,1,9E-polymers,y9-048-9e-vulcanisation-adds-cross-links-in-rubber-how-does-this-change-natural-
assets/webp/9F-acids-alkalis-ph-scale-blank-v3.webp,0,2,,y9-065-9f-which-salt-is-formed-when-magnesium-reacts-with-dilute-nitric-acid; y9r-035-9f-what-do-metals-that-react-with-dilute-acids-produce
assets/webp/9F-acids-alkalis-ph-scale-notes-v3.webp,1,0,9F-changes,
assets/webp/9F-balancing-equations-notes-v3.webp,1,0,9F-changes,
assets/webp/9F-blast-furnace-process-v2.webp,1,2,9F-extraction,y9x-074-9f-use-the-blast-furnace-diagram-which-label-shows-the-hot-air-blast; y9x-075-9f-use-the-blast-furnace-diagram-which-label-shows-molten-material-being-tapped-out
assets/webp/9F-chemical-formulae-counting-atoms-blank-v2.webp,0,1,,y9-064-9f-in-h2-what-tells-you-that-a-hydrogen-molecule-contains-2-atoms
assets/webp/9F-chemical-formulae-counting-atoms-notes-v2.webp,1,0,9F-periodic-table-bridge,
assets/webp/9F-chromatography-distillation-notes-v3.webp,1,0,9F-changes,
assets/webp/9F-collision-theory-blank.webp,1,1,9F-combustion-energy-rates,y9r-041-9f-what-increases-the-rate-of-reaction-according-to-the-revision-sheet
assets/webp/9F-combustion-fire-triangle-blank.webp,0,5,,y9-070-9f-which-products-form-when-a-hydrocarbon-burns-in-plenty-of-air; y9-187-9f-define-combustion; y9r-038-9f-what-is-the-word-equation-for-complete-combustion-of-a-hydrocarbon; y9r-040-9f-why-is-an-input-of-energy-from-a-flame-or-spark-needed-to-start-combustion; y9cgp-104-F-chemical-energy-bridge-why-is-combustion-usually-described-as-exothermic
assets/webp/9F-combustion-fire-triangle-notes.webp,1,0,9F-combustion-energy-rates,
assets/webp/9F-displacement-reaction-clean-v2.webp,1,0,9F-reactivity,
assets/webp/9F-elements-compounds-mixtures-notes-v3.webp,1,0,9F-periodic-table-bridge,
assets/webp/9F-exothermic-endothermic-blank.webp,0,10,,y9-047-9e-some-polymerisation-reactions-are-endothermic-what-does-this-mean; y9-072-9f-an-exothermic-reaction-is-one-in-which; y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t; y9r-013-9e-what-do-exothermic-reactions-do-to-the-surroundings; y9r-014-9e-what-do-endothermic-reactions-do-to-the-surroundings; y9cgp-096-F-chemical-energy-bridge-define-exothermic-reaction; y9cgp-097-F-chemical-energy-bridge-define-endothermic-reaction; y9cgp-098-F-chemical-energy-bridge-what-do-exothermic-reactions-do-to-the-surroundings
assets/webp/9F-exothermic-endothermic-notes.webp,1,0,9F-chemical-energy-bridge,
assets/webp/9F-extraction-methods-2panel.webp,0,4,,y9x-072-9f-use-the-extraction-diagram-which-process-is-needed-for-a-metal-above-carbon; y9x-073-9f-use-the-extraction-diagram-which-process-can-often-extract-a-metal-below-carbon; y9x-076-9f-use-the-process-diagram-which-process-uses-electricity; y9x-077-9f-use-the-process-diagram-in-carbon-reduction-what-is-removed-from-the-metal-oxide
assets/webp/9F-group1-alkali-metals-notes-v2.webp,1,0,9F-periodic-table-bridge,
assets/webp/9F-group7-halogens-notes-v2.webp,1,0,9F-periodic-table-bridge,
assets/webp/9F-heating-metal-oxide.webp,1,0,9F-changes,
assets/webp/9F-metal-extraction-methods-blank-v3.webp,0,5,,y9-077-9f-metals-are-usually-extracted-from; y9-080-9f-which-metal-can-only-be-extracted-using-electrolysis; y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method; y9r-044-9f-which-metals-can-be-extracted-from-their-ores-by-heating-with-carbon; y9r-045-9f-which-metals-need-electrolysis-to-extract-them-from-their-ores
assets/webp/9F-metal-extraction-methods-notes-v3.webp,1,0,9F-extraction,
assets/webp/9F-neutralisation-reactions-blank-v3.webp,0,1,,y9p-009-9f-what-is-neutralisation
assets/webp/9F-neutralisation-reactions-notes-v3.webp,1,0,9F-changes,
assets/webp/9F-periodic-table-navigator-blank.webp,0,9,,y9-068-9f-in-the-periodic-table-elements-are-listed-in-order-of; y9-182-9f-define-periodic-table; y9cgp-060-F-periodic-table-bridge-define-periodic-table; y9cgp-064-F-periodic-table-bridge-what-are-groups-and-periods-in-the-periodic-table; y9cgp-065-F-periodic-table-bridge-elements-in-the-same-group-usually-have; y9cgp-066-F-periodic-table-bridge-across-a-period-elements-are-arranged-mainly-by-increasing; y9cgp-067-F-periodic-table-bridge-where-are-metals-usually-found-in-the-periodic-table; y9cgp-070-F-periodic-table-bridge-which-group-contains-the-alkali-metals
assets/webp/9F-periodic-table-navigator-notes.webp,1,0,9F-periodic-table-bridge,
assets/webp/9F-physical-change-chemical-reaction-blank-v2.webp,0,3,,y9-061-9f-which-of-these-describes-a-physical-change; y9-178-9f-define-physical-change; y9r-026-9f-in-reactions-and-physical-changes-what-happens-to-the-number-of-atoms
assets/webp/9F-physical-change-chemical-reaction-notes-v2.webp,1,0,9F-changes,
assets/webp/9F-reactivity-series-notes-medium-v2.webp,1,0,9F-reactivity,
assets/webp/9F-reactivity-series-question-safe-v2.webp,0,2,,y9x-069-9f-use-the-reactivity-series-which-metal-is-most-reactive; y9x-070-9f-use-the-reactivity-series-which-metal-is-least-reactive
assets/webp/9F-rusting-conditions-prevention-blank-v2.webp,0,5,,y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods; y9x-053-9f-describe-what-causes-rusting; y9x-054-9f-describe-one-simple-method-of-preventing-rusting; y9x-055-9f-explain-why-rusting-is-a-problem; y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts
assets/webp/9F-rusting-conditions-prevention-notes-v2.webp,1,0,9F-rusting,
assets/webp/9F-sacrificial-protection-iron-blank-v2.webp,0,3,,y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting; y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv; y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection
assets/webp/9F-sacrificial-protection-iron-notes-v2.webp,1,0,9F-rusting,
assets/webp/9F-thermal-decomposition-gas-tests-blank-v2.webp,0,2,,y9-171-9e-define-thermal-decomposition; y9x-045-9e-identify-thermal-decomposition-reactions
assets/webp/9F-thermal-decomposition-gas-tests-notes-v2.webp,1,0,9F-changes,
assets/webp/9I-distance-time-graph-blank.webp,0,2,,y9-205-9i-define-distance-time-graph; y9r-058-9i-on-a-distance-time-graph-what-does-the-gradient-of-a-line-give
assets/webp/9I-distance-time-graph-notes.webp,1,0,9I-speed,
assets/webp/9I-falling-forces-base.webp,0,1,,y9-081-9i-for-a-falling-object-which-labels-best-match-the-forces-weight-downwar
assets/webp/9I-falling-forces-parachutist-base.webp,1,0,9I-forces,
assets/webp/9I-forces-terminal-velocity-sequence.webp,1,0,9I-forces,
assets/webp/9I-lever-comparison-three-setups.webp,1,0,9I-moments,
assets/webp/9I-lever-moment-context.webp,1,0,9I-moments,
assets/webp/9I-lever-pivot-moment-notes-v2.webp,1,0,9I-moments,
assets/webp/9I-liquid-pressure-depth-blank.webp,0,4,,y9cgp-006-I-pressure-describe-how-liquid-pressure-changes-with-depth; y9cgp-007-I-pressure-why-does-a-dam-wall-need-to-be-stronger-near-the-bottom; y9cgp-008-I-pressure-a-drawing-shows-arrows-from-water-pushing-sideways-on-a-deep; y9cgp-015-I-pressure-correct-the-misconception-liquid-pressure-at-the-bottom-depe
assets/webp/9I-pressure-fluids-blank.webp,0,4,,y9cgp-010-I-pressure-why-can-a-large-ship-float-even-though-it-is-made-from-dense; y9cgp-011-I-pressure-what-does-it-mean-if-an-object-floats; y9cgp-013-I-pressure-why-do-snowshoes-help-a-person-walk-on-soft-snow; y9cgp-014-I-pressure-a-block-underwater-has-equal-sized-top-and-bottom-faces-expl
assets/webp/9I-pressure-fluids-notes.webp,1,0,9I-pressure,
assets/webp/9I-sankey-efficiency-base.webp,0,1,,y9-088-9i-which-machine-is-more-efficient-in-a-sankey-diagram
assets/webp/9I-sankey-efficiency-blank.webp,0,2,,y9-087-9i-in-which-ways-is-energy-most-often-transferred-as-wasted-energy; y9-202-9i-define-efficiency
assets/webp/9I-sankey-efficiency-notes.webp,1,0,9I-energy-work,
assets/webp/9I-speed-time-graph-blank.webp,0,3,,y9r-055-9i-what-does-a-speed-time-graph-show; y9r-056-9i-what-do-horizontal-lines-show-on-a-speed-time-graph; y9r-057-9i-what-do-sloping-lines-show-on-a-speed-time-graph
assets/webp/9I-speed-time-graph-notes.webp,1,0,9I-speed-time-graphs,
assets/webp/9J-circuit-symbols-grid-blank-v2.webp,0,7,,y9x-138-9j-match-common-circuit-symbols-to-their-component-names; y9x-139-9j-which-label-shows-an-open-switch; y9x-140-9j-which-label-shows-a-closed-switch; y9x-141-9j-which-label-shows-a-resistor; y9x-142-9j-which-label-shows-a-voltmeter; y9x-143-9j-which-label-shows-an-ammeter; y9x-144-9j-which-label-shows-a-motor
assets/webp/9J-circuit-symbols-grid-notes-v2.webp,1,0,9J-circuits,
assets/webp/9J-current-voltage-graphs-notes.webp,1,0,9J-resistance,
assets/webp/9J-current-voltage-resistors-ab-blank-v2.webp,0,1,,y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan
assets/webp/9J-electromagnet-relay-motor-overview-base.webp,1,0,9J-electromagnets,
assets/webp/9J-electromagnet-strength-variables-blank-v3.webp,0,6,,y9-117-9j-which-change-will-make-an-electromagnet-stronger; y9-226-9j-define-electromagnet; y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased; y9r-079-9j-what-is-an-electromagnet; y9r-080-9j-when-is-an-electromagnet-magnetic; y9r-081-9j-give-three-ways-to-make-an-electromagnet-stronger
assets/webp/9J-electromagnet-strength-variables-notes-v3.webp,1,0,9J-electromagnets,
assets/webp/9J-magnetic-field-bar-magnet-blank-v3.webp,0,2,,y9-212-9j-define-magnetic-field; y9x-117-9j-explain-the-difference-between-an-electromagnet-and-a-bar-magnet
assets/webp/9J-magnetic-field-bar-magnet-notes-v3.webp,1,0,9J-fields,
assets/webp/9J-meter-placement-candidates-blank-v2.webp,0,2,,y9x-149-9j-where-should-an-ammeter-go-to-measure-current-through-the-lamp; y9x-150-9j-where-should-a-voltmeter-go-to-measure-potential-difference-across-the-lamp
assets/webp/9J-meter-placement-candidates-notes-v2.webp,1,0,9J-circuits,
assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,0,8,,y9-119-9j-a-wire-carrying-a-current-in-a-magnetic-field-experiences-a-force-how-; y9-120-9j-which-list-shows-the-parts-of-an-electric-motor; y9-228-9j-define-motor-effect; y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect; y9r-082-9j-what-is-the-motor-effect; y9r-083-9j-what-does-an-electric-motor-consist-of; y9r-084-9j-what-makes-the-coil-in-an-electric-motor-turn; y9r-085-9j-how-can-the-speed-of-the-motor-or-the-force-it-provides-be-increased
assets/webp/9J-motor-effect-simple-motor-notes-v3.webp,1,0,9J-electromagnets,
assets/webp/9J-potential-difference-series-parallel-blank-v2.webp,0,3,,y9-265-9j-describe-the-difference-between-current-and-voltage; y9x-115-9j-describe-how-current-behaves-in-series-and-parallel-circuits; y9x-116-9j-describe-how-voltage-behaves-in-series-and-parallel-circuits
assets/webp/9J-potential-difference-series-parallel-notes-v2.webp,1,0,9J-circuits,
assets/webp/9J-real-components-vs-symbols.webp,1,0,9J-circuits,
assets/webp/9J-relay-base.webp,0,2,,y9x-157-9j-use-the-relay-diagram-match-labels-a-to-d-to-control-circuit-electromagnet-switch-and-load; y9x-158-9j-use-the-relay-diagram-explain-why-a-relay-is-useful
assets/webp/9J-series-parallel-circuits-symbols-base.webp,0,4,,y9x-145-9j-which-circuit-is-parallel; y9x-146-9j-in-which-circuit-is-current-the-same-everywhere; y9x-147-9j-in-which-circuit-does-current-split-between-branches; y9x-148-9j-compare-current-and-voltage-in-the-two-circuits
assets/webp/9J-series-parallel-current-voltage.webp,1,0,9J-circuits,
assets/webp/9J-static-electricity-charge-transfer-blank-v3.webp,0,6,,y9-106-9j-an-object-has-a-negative-charge-which-statement-is-correct; y9-107-9j-why-can-we-not-detect-static-charge-if-we-rub-a-metal-rod; y9-219-9j-define-static-electricity; y9x-103-9j-explain-why-only-negative-charges-transfer-onto-an-insulating-material; y9x-104-9j-explain-why-a-rubbed-polythene-rod-has-an-overall-negative-charge; y9x-105-9j-describe-how-charged-objects-attract-or-repel-each-other
assets/webp/9J-static-electricity-charge-transfer-notes-v3.webp,1,0,9J-static,
assets/webp/9J-static-electricity-hair-attraction-notes-v3.webp,1,0,9J-static,
assets/webp/9J-wire-resistance-investigation-blank.webp,0,3,,y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length; y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance; y9qb-005-9j-wire-resistance-investigation-variables
assets/webp/9J-wire-resistance-investigation-notes.webp,1,0,9J-wire-resistance-investigation,
assets/webp/science-formula-rearrange-guide-notes.webp,1,0,9J-rounding-numbers,
