source_index,source_filename,topic,purpose,repo_path,width,height,integrated_mode,purpose_fit,question_safety
23,"ChatGPT Image May 12, 2026, 08_34_51 AM (1).png",Diffusion in liquids and gases,notes,assets/webp/9E-diffusion-liquids-gases-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
24,"ChatGPT Image May 12, 2026, 08_34_51 AM (2).png",Diffusion in liquids and gases,blank,assets/webp/9E-diffusion-liquids-gases-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
49,"ChatGPT Image May 12, 2026, 12_06_58 AM (1).png","Lever, pivot and moment",notes,assets/webp/9I-lever-pivot-moment-notes-v2.webp,1600,1000,note:9I-moments,class-note annotated version,not question-safe unless used only after reveal
50,"ChatGPT Image May 12, 2026, 12_17_52 AM.png","Lever, pivot and moment",blank,assets/webp/9I-lever-pivot-moment-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
51,"ChatGPT Image May 12, 2026, 12_27_13 AM (1).png",Real-world examples of moments,notes,assets/webp/9I-moments-real-world-context-notes-v2.webp,1600,1000,note:9I-moments,class-note annotated version,not question-safe unless used only after reveal
52,"ChatGPT Image May 12, 2026, 12_27_13 AM (2).png",Real-world examples of moments,blank,assets/webp/9I-moments-real-world-context-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
53,"ChatGPT Image May 12, 2026, 12_28_25 AM (1).png",Electromagnet strength variables,notes,assets/webp/9J-electromagnet-strength-variables-notes-v2.webp,1600,1000,note:9J-electromagnets,class-note annotated version,not question-safe unless used only after reveal
54,"ChatGPT Image May 12, 2026, 12_28_25 AM (2).png",Electromagnet strength variables,blank,assets/webp/9J-electromagnet-strength-variables-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
55,"ChatGPT Image May 12, 2026, 12_30_12 AM (1).png",Magnetic field around a bar magnet,notes,assets/webp/9J-magnetic-field-bar-magnet-notes-v2.webp,1600,1000,note:9J-fields,class-note annotated version,not question-safe unless used only after reveal
56,"ChatGPT Image May 12, 2026, 12_30_12 AM (2).png",Magnetic field around a bar magnet,blank,assets/webp/9J-magnetic-field-bar-magnet-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
57,"ChatGPT Image May 12, 2026, 12_32_09 AM (1).png",Static electricity and charge transfer,notes,assets/webp/9J-static-electricity-charge-transfer-v2-notes-v2.webp,1600,1000,note:9J-static,class-note annotated version,not question-safe unless used only after reveal
58,"ChatGPT Image May 12, 2026, 12_32_09 AM (2).png",Static electricity and charge transfer,blank,assets/webp/9J-static-electricity-charge-transfer-v2-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
59,"ChatGPT Image May 12, 2026, 12_33_33 AM (1).png",Motor effect and simple electric motor,notes,assets/webp/9J-motor-effect-simple-motor-notes-v2.webp,1600,1000,note:9J-electromagnets,class-note annotated version,not question-safe unless used only after reveal
60,"ChatGPT Image May 12, 2026, 12_33_33 AM (2).png",Motor effect and simple electric motor,blank,assets/webp/9J-motor-effect-simple-motor-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
61,"ChatGPT Image May 12, 2026, 12_36_09 AM (1).png",Thermal decomposition and gas tests,notes,assets/webp/9F-thermal-decomposition-gas-tests-notes-v2.webp,1600,1000,note:9F-changes,class-note annotated version,not question-safe unless used only after reveal
62,"ChatGPT Image May 12, 2026, 12_36_09 AM (2).png",Thermal decomposition and gas tests,blank,assets/webp/9F-thermal-decomposition-gas-tests-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
63,"ChatGPT Image May 12, 2026, 12_36_52 AM (1).png","Particle model of solids, liquids and gases",notes,assets/webp/9E-particle-model-states-notes-v2.webp,1600,1000,note:9E-heating-cooling,class-note annotated version,not question-safe unless used only after reveal
64,"ChatGPT Image May 12, 2026, 12_36_53 AM (2).png","Particle model of solids, liquids and gases",blank,assets/webp/9E-particle-model-states-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
25,"ChatGPT Image May 12, 2026, 08_38_10 AM (1).png",Neutralisation reactions,notes,assets/webp/9F-neutralisation-reactions-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
26,"ChatGPT Image May 12, 2026, 08_38_11 AM (2).png",Neutralisation reactions,blank,assets/webp/9F-neutralisation-reactions-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
27,"ChatGPT Image May 12, 2026, 08_38_37 AM (1).png","Acids, alkalis and pH scale",notes,assets/webp/9F-acids-alkalis-ph-scale-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
28,"ChatGPT Image May 12, 2026, 08_38_37 AM (2).png","Acids, alkalis and pH scale",blank,assets/webp/9F-acids-alkalis-ph-scale-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
29,"ChatGPT Image May 12, 2026, 08_41_00 AM (1).png",Quadrat ecosystem sampling,notes,assets/webp/9B-quadrat-ecosystem-sampling-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
30,"ChatGPT Image May 12, 2026, 08_41_01 AM (2).png",Quadrat ecosystem sampling,blank,assets/webp/9B-quadrat-ecosystem-sampling-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
31,"ChatGPT Image May 12, 2026, 08_41_36 AM (1).png",Seed dispersal mechanisms,notes,assets/webp/9B-seed-dispersal-mechanisms-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
32,"ChatGPT Image May 12, 2026, 08_41_36 AM (2).png",Seed dispersal mechanisms,blank,assets/webp/9B-seed-dispersal-mechanisms-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
33,"ChatGPT Image May 12, 2026, 08_52_45 AM (1).png",Bioaccumulation in a food chain,notes,assets/webp/9B-bioaccumulation-food-chain-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
34,"ChatGPT Image May 12, 2026, 08_52_46 AM (2).png",Bioaccumulation in a food chain,blank,assets/webp/9B-bioaccumulation-food-chain-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
35,"ChatGPT Image May 12, 2026, 08_53_09 AM (1).png",Potential difference in series and parallel circuits,notes,assets/webp/9J-potential-difference-series-parallel-notes-v2.webp,1600,1000,note:9J-circuits,class-note annotated version,not question-safe unless used only after reveal
36,"ChatGPT Image May 12, 2026, 08_53_09 AM (2).png",Potential difference in series and parallel circuits,blank,assets/webp/9J-potential-difference-series-parallel-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
37,"ChatGPT Image May 12, 2026, 08_56_46 AM (1).png","Elements, compounds and mixtures",notes,assets/webp/9F-elements-compounds-mixtures-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
38,"ChatGPT Image May 12, 2026, 08_56_46 AM (2).png","Elements, compounds and mixtures",blank,assets/webp/9F-elements-compounds-mixtures-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
39,"ChatGPT Image May 12, 2026, 08_57_32 AM (1).png",Physical changes vs chemical reactions,notes,assets/webp/9F-physical-change-chemical-reaction-notes-v2.webp,1600,1000,note:9F-changes,class-note annotated version,not question-safe unless used only after reveal
40,"ChatGPT Image May 12, 2026, 08_57_32 AM (2).png",Physical changes vs chemical reactions,blank,assets/webp/9F-physical-change-chemical-reaction-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
41,"ChatGPT Image May 12, 2026, 09_03_04 AM (1).png",Chromatography and simple distillation,notes,assets/webp/9F-chromatography-distillation-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
42,"ChatGPT Image May 12, 2026, 09_03_05 AM (2).png",Chromatography and simple distillation,blank,assets/webp/9F-chromatography-distillation-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
43,"ChatGPT Image May 12, 2026, 09_03_23 AM (1).png",Metal extraction methods,notes,assets/webp/9F-metal-extraction-methods-notes-v2.webp,1600,1000,note:9F-extraction,class-note annotated version,not question-safe unless used only after reveal
44,"ChatGPT Image May 12, 2026, 09_03_23 AM (2).png",Metal extraction methods,blank,assets/webp/9F-metal-extraction-methods-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
45,"ChatGPT Image May 12, 2026, 09_06_03 AM (1).png",Group 1 alkali metals,notes,assets/webp/9F-group1-alkali-metals-notes-v2.webp,1600,1000,note:9F-periodic-table-bridge,class-note annotated version,not question-safe unless used only after reveal
46,"ChatGPT Image May 12, 2026, 09_06_03 AM (2).png",Group 1 alkali metals,blank,assets/webp/9F-group1-alkali-metals-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
47,"ChatGPT Image May 12, 2026, 09_08_09 AM (1).png",Group 7 halogens,notes,assets/webp/9F-group7-halogens-notes-v2.webp,1600,1000,note:9F-periodic-table-bridge,class-note annotated version,not question-safe unless used only after reveal
48,"ChatGPT Image May 12, 2026, 09_08_10 AM (2).png",Group 7 halogens,blank,assets/webp/9F-group7-halogens-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
