card_id,unit,exam_pool,question_unchanged,previous_exam_command,exam_command,previous_answer_format_hint,answer_format_hint,answer_format_steps,source,source_fidelity
y9-238-9a-describe-natural-selection,9A,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A revision worksheet,progress-check-derived
y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,9B,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B Plant Growth PPT progress check slide 14,progress-check-derived
y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,9B,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B Plant Growth PPT progress check slide 14,progress-check-derived
y9-241-9b-describe-what-a-limiting-factor-is,9B,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B Plant Growth PPT progress check slide 14,progress-check-derived
y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,written-main,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B Plant Growth PPT progress check slide 14,progress-check-derived
y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,9B,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B Plant Growth PPT progress check slide 43,progress-check-derived
y9-244-9b-explain-the-structure-of-xylem-vessels,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B Plant Growth PPT progress check slide 43,progress-check-derived
y9-245-9b-state-the-cells-that-control-gas-exchange-in-leaves,9B,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B Plant Growth PPT progress check slide 48,progress-check-derived
y9-246-9b-suggest-why-stomata-shut-at-night,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B Plant Growth PPT progress check slide 48,progress-check-derived
y9-247-9b-draw-or-describe-the-relationship-between-glucose-and-starch,9B,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B Plant Growth PPT progress check slide 62,progress-check-derived
y9-248-9b-suggest-why-seeds-need-starch,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B Plant Growth PPT progress check slide 62,progress-check-derived
y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,9E,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9E assess yourself,progress-check-derived
y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,9E,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9E assess yourself,progress-check-derived
y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9E assess yourself,progress-check-derived
y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,9E,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9E summary sheet / assess yourself,progress-check-derived
y9-253-9f-prepare-a-talk-what-should-be-included-on-extracting-iron-and-preventi,9F,written-main,True,describe,describe,Use a compact checklist or short linked sentences. Include both extraction and rusting prevention.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9F assess yourself,progress-check-derived
y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,9F,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9F summary sheet / assess yourself,progress-check-derived
y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,9F,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9F quick quiz / summary sheet,progress-check-derived
y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9F assess yourself,progress-check-derived
y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,9I,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9I assess yourself,progress-check-derived
y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,9I,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9I assess yourself / simple machines,progress-check-derived
y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,9I,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation,progress-check-derived
y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,9I,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation,progress-check-derived
y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,9I,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation,progress-check-derived
y9-262-9j-describe-what-an-electromagnet-is-and-how-its-magnetic-field-is-shaped,9J,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9Je Electromagnets PPT,progress-check-derived
y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9Je Electromagnets PPT,progress-check-derived
y9-264-9j-explain-how-a-relay-works,9J,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9Je Electromagnets PPT / word sheet,progress-check-derived
y9-265-9j-describe-the-difference-between-current-and-voltage,9J,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9Jc Current Electricity PPT,progress-check-derived
y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,9J,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9Jd Resistance PPT progress check,progress-check-derived
y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9Jd Resistance PPT exam-style question,progress-check-derived
y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,9J,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation,calculation-practice-derived
y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,9J,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation,calculation-practice-derived
y9-270-9j-a-component-has-voltage-10-v-and-current-0-5-a-calculate-resistance,9J,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Jd Resistance PPT modelled answer,calculation-practice-derived
y9-271-9j-a-resistor-has-voltage-6-v-and-current-0-2-a-calculate-resistance,9J,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Jd Resistance formula practice,calculation-practice-derived
y9-272-9i-a-cyclist-travels-12-km-in-0-5-h-calculate-mean-speed,9I,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9I speed summary / quick quiz style,calculation-practice-derived
y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,9I,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9I simple machines / work done,calculation-practice-derived
y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,9I,written-main,True,calculate,calculate,"Write formula, substitution, answer and unit where possible.","Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9I moments quick quiz style,calculation-practice-derived
y9x-001-9a-state-what-variation-is,9A,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A assess-yourself success criterion 01,success-criterion-derived
y9x-002-9a-outline-why-dinosaurs-became-extinct,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 02,success-criterion-derived
y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 03,success-criterion-derived
y9x-004-9a-identify-examples-of-environmental-variation,9A,written-main,True,identify,identify,Use the diagram labels or names only. Do not add a long explanation unless it helps clarity.,"Use the labels, diagram or question clue to name the correct item(s). Keep the answer concise.","Look carefully at the label, diagram or clue. | Name the correct item(s), part(s) or feature(s). | Use letters/names clearly if the diagram uses labels.",9A assess-yourself success criterion 04,success-criterion-derived
y9x-005-9a-identify-examples-of-inherited-variation,9A,written-main,True,identify,identify,Use the diagram labels or names only. Do not add a long explanation unless it helps clarity.,"Use the labels, diagram or question clue to name the correct item(s). Keep the answer concise.","Look carefully at the label, diagram or clue. | Name the correct item(s), part(s) or feature(s). | Use letters/names clearly if the diagram uses labels.",9A assess-yourself success criterion 05,success-criterion-derived
y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 06,success-criterion-derived
y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,9A,written-main,True,identify,identify,Use the diagram labels or names only. Do not add a long explanation unless it helps clarity.,"Use the labels, diagram or question clue to name the correct item(s). Keep the answer concise.","Look carefully at the label, diagram or clue. | Name the correct item(s), part(s) or feature(s). | Use letters/names clearly if the diagram uses labels.",9A assess-yourself success criterion 07,success-criterion-derived
y9x-008-9a-explain-how-environmental-variation-is-caused,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 08,success-criterion-derived
y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,9A,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A assess-yourself success criterion 09,success-criterion-derived
y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 10,success-criterion-derived
y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 11,success-criterion-derived
y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,9A,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A assess-yourself success criterion 12,success-criterion-derived
y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,9A,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A assess-yourself success criterion 13,success-criterion-derived
y9x-014-9a-state-what-evolution-is,9A,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A assess-yourself success criterion 14,success-criterion-derived
y9x-015-9a-explain-how-natural-selection-works,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 15,success-criterion-derived
y9x-016-9b-name-some-common-crop-plants,9B,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B assess-yourself success criterion 01,success-criterion-derived
y9x-017-9b-explain-why-it-is-important-to-look-after-crop-plants,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 02,success-criterion-derived
y9x-018-9b-state-that-plants-make-their-own-food,9B,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B assess-yourself success criterion 03,success-criterion-derived
y9x-019-9b-recall-the-resources-plants-need-to-grow-well,9B,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B assess-yourself success criterion 04,success-criterion-derived
y9x-020-9b-list-chemical-substances-farmers-may-apply-to-crops,9B,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B assess-yourself success criterion 05,success-criterion-derived
y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,9B,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B assess-yourself success criterion 06,success-criterion-derived
y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 07,success-criterion-derived
y9x-023-9b-explain-why-insecticides-and-fungicides-are-used-on-crop-plants,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 08,success-criterion-derived
y9x-024-9b-explain-why-herbicides-or-weedkillers-are-used-on-crop-plants,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 09,success-criterion-derived
y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 10,success-criterion-derived
y9x-026-9b-use-word-equations-for-photosynthesis-and-aerobic-respiration,9B,written-main,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B assess-yourself success criterion 11,success-criterion-derived
y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 12,success-criterion-derived
y9x-028-9b-describe-substances-made-in-plants-and-their-uses,9B,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B assess-yourself success criterion 13,success-criterion-derived
y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 14,success-criterion-derived
y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 15,success-criterion-derived
y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 16,success-criterion-derived
y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,9B,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B assess-yourself success criterion 17,success-criterion-derived
y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,9B,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B assess-yourself success criterion 18,success-criterion-derived
y9x-034-9e-name-common-conductors-and-insulators,9E,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9E assess-yourself success criterion 01,success-criterion-derived
y9x-035-9e-explain-what-a-landfill-site-is-and-why-it-can-cause-problems,9E,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9E assess-yourself success criterion 02,success-criterion-derived
y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,9E,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9E assess-yourself success criterion 03,success-criterion-derived
y9x-037-9e-name-the-main-source-of-raw-materials-for-making-polymers,9E,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9E assess-yourself success criterion 04,success-criterion-derived
