id,origin,sourceCardId,unit,domain,command,section,sectionFocus,marks,question,modelAnswer,formatSupport,retainedInWrittenExam
we-phys-explain-wire-resistance-investigation,curated-visual-bank,,9J,physics,describe,Section B,Written reasoning,4,Use the practical setup. Describe how to investigate how wire length affects resistance.,"Set up the wire with an ammeter in series and a voltmeter in parallel across the test length. Change the length of the wire using the crocodile clips. Keep the wire material, thickness and temperature the same. Measure voltage and current, then calculate resistance using resistance = voltage ÷ current.",curated,yes
we-phys-compare-current-voltage-resistance,curated-visual-bank,,9J,physics,explain,Section C,Data and calculations,3,Use the current-voltage graph. Explain which component has the greater resistance.,"For the same potential difference, the component with the smaller current has the greater resistance. Line B has a smaller current than line A at the same voltage, so line B has the greater resistance.",curated,yes
we-phys-explain-static-charge-transfer,curated-visual-bank,,9J,physics,explain,Section B,Written reasoning,3,Use the static-charge diagram. Explain how one object becomes negatively charged after rubbing.,Electrons are transferred from one object to the other during rubbing. The object that gains electrons becomes negatively charged. The other object loses electrons and becomes positively charged.,curated,yes
we-phys-describe-electromagnet-strength,curated-visual-bank,,9J,physics,describe,Section B,Written reasoning,3,Use the electromagnet diagram. Describe two ways to make the electromagnet stronger and explain one of them.,"The electromagnet can be made stronger by increasing the current, adding more turns to the coil or adding an iron core. More turns or a larger current produce a stronger magnetic field, and an iron core makes the field stronger inside the coil.",curated,yes
derived-y9-093-9i-for-a-lever-the-pivot-is-also-called-the,open-answer-card,y9-093-9i-for-a-lever-the-pivot-is-also-called-the,9I,physics,identify,Section A,Core knowledge,1,"In the labelled lever diagram, what is label Y also called?",fulcrum,label-or-feature,yes
derived-y9-229-9a-describe-what-environmental-variation-is,open-answer-card,y9-229-9a-describe-what-environmental-variation-is,9A,biology,describe,Section B,Written reasoning,2,Describe what environmental variation is.,"Environmental variation is variation caused by conditions in the environment, such as light, diet, exercise, disease or climate.",linked-description,yes
derived-y9-232-9a-define-classification,open-answer-card,y9-232-9a-define-classification,9A,biology,explain,Section B,Written reasoning,3,Why do scientists classify organisms using similarities and differences?,"Classification sorts organisms into groups based on similarities and differences, so organisms can be identified and compared more clearly.",cause-effect,yes
derived-y9-233-9a-define-species,open-answer-card,y9-233-9a-define-species,9A,biology,explain,Section B,Written reasoning,3,"Two animals can mate, but their offspring are not fertile. Why would scientists not count them as the same species?",They would not count them as the same species because members of the same species must reproduce to produce fertile offspring.,cause-effect,yes
derived-y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,open-answer-card,y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,9A,biology,explain,Section B,Written reasoning,3,Explain how environmental variation can cause problems with classification.,"Environmental factors can make organisms of the same species look different, so appearance alone may not show true relationships.",cause-effect,yes
derived-y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,open-answer-card,y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,9A,biology,describe,Section B,Written reasoning,2,Describe what happens during fertilisation and what is formed.,A male gamete fuses with a female gamete. Their nuclei combine and a zygote is formed.,linked-description,yes
derived-y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,open-answer-card,y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,biology,describe,Section B,Written reasoning,2,"Describe how chromosomes, DNA and genes are linked together.",Chromosomes are found in the nucleus and are made from DNA. Genes are short sections of DNA that code for characteristics.,linked-description,yes
derived-y9-237-9a-state-three-ways-we-can-preserve-biodiversity,open-answer-card,y9-237-9a-state-three-ways-we-can-preserve-biodiversity,9A,biology,state,Section A,Core knowledge,1,State three ways we can preserve biodiversity.,"Possible ways include nature reserves, captive breeding, seed/gene banks, habitat protection, and banning trade in endangered organisms.",short-fact,yes
derived-y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,open-answer-card,y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,9B,biology,state,Section A,Core knowledge,1,State where a plant gets the reactants it needs for photosynthesis.,Carbon dioxide enters from the air through stomata; water is absorbed by roots; light comes from the Sun or lamp.,short-fact,yes
derived-y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,open-answer-card,y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,9B,biology,describe,Section B,Written reasoning,2,Describe what happens to the products of photosynthesis.,"Oxygen may diffuse out of the leaf; glucose can be used in respiration or converted to starch, cellulose, lipids or proteins.",linked-description,yes
derived-y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,open-answer-card,y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,biology,state,Section A,Core knowledge,2,Suggest when photosynthesis might occur in plants.,"Photosynthesis occurs when light is available and the plant has carbon dioxide, water and chlorophyll.",short-fact,yes
derived-y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,open-answer-card,y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,9B,biology,describe,Section B,Written reasoning,2,Describe the route water takes from soil to a leaf.,"Water is absorbed by root hair cells, passes into root tissues, travels up xylem vessels, and enters leaf cells.",linked-description,yes
derived-y9-248-9b-suggest-why-seeds-need-starch,open-answer-card,y9-248-9b-suggest-why-seeds-need-starch,9B,biology,explain,Section B,Written reasoning,3,Suggest why seeds need starch.,Seeds need starch as an energy store. During germination it is digested to glucose for respiration and growth.,cause-effect,yes
derived-y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,open-answer-card,y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,9E,chemistry,state,Section A,Core knowledge,1,"Design-poster prompt: list what a Year 9 poster on ceramics, polymers and composites should include.","It should include examples, properties, uses, links between properties and structure/bonding, environmental problems, and recycling/disposal options.",short-fact,yes
derived-y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,open-answer-card,y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,9E,chemistry,explain,Section B,Written reasoning,3,Explain how properties of ceramics link to bonding and structure.,"Strong bonds in a rigid lattice give high melting points and hardness, but the structure can be brittle when layers crack or defects spread.",cause-effect,yes
derived-y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,open-answer-card,y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,chemistry,explain,Section B,Written reasoning,3,Explain why composites often have better properties than their separate materials.,"A composite combines materials so one provides strength or stiffness while another binds, protects or adds flexibility.",cause-effect,yes
derived-y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,open-answer-card,y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,9E,chemistry,explain,Section B,Written reasoning,3,Explain one environmental problem caused by making materials.,"Making materials can burn fossil fuels, releasing carbon dioxide; some processes also release toxins or sulfur dioxide.",cause-effect,yes
derived-y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,open-answer-card,y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,9F,chemistry,explain,Section B,Written reasoning,3,Why is a metal oxide reduced when carbon extracts a metal?,"The metal oxide loses oxygen to carbon, forming the metal and carbon dioxide or carbon monoxide.",cause-effect,yes
derived-y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,open-answer-card,y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,9F,chemistry,explain,Section B,Written reasoning,3,Explain why aluminium is extracted by electrolysis rather than carbon reduction.,"Aluminium is more reactive than carbon, so carbon cannot displace it from its oxide; electrolysis is needed.",cause-effect,yes
derived-y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,open-answer-card,y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,chemistry,explain,Section B,Written reasoning,3,Explain why rusting is a problem and name two prevention methods.,"Rust weakens iron/steel. Prevention methods include painting, oiling/greasing, galvanising, coating with plastic, or sacrificial protection.",cause-effect,yes
derived-y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,open-answer-card,y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,9I,physics,describe,Section B,Written reasoning,2,"Describe how to raise a large upright stone using levers, moments and ramps.","Use levers to create a larger turning moment, move the stone gradually, and use ramps to reduce the force needed by increasing the distance moved.",linked-description,yes
derived-y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,open-answer-card,y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,9I,physics,explain,Section B,Written reasoning,3,Explain why a shallow ramp needs less force but more distance.,"The same work is spread over a longer distance, so a smaller force is needed, ignoring friction.",cause-effect,yes
derived-y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,open-answer-card,y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,9I,physics,calculate,Section C,Data and calculations,2,Calculate the weight of a 54 kg person on Earth where g = 10 N/kg.,Weight = mass × g = 54 × 10 = 540 N.,calculation-method,yes
derived-y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,open-answer-card,y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,9I,physics,calculate,Section C,Data and calculations,2,A 96 kg person is on a planet where g = 14 N/kg. Calculate weight.,Weight = mass × g = 96 × 14 = 1344 N.,calculation-method,yes
derived-y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,open-answer-card,y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,9I,physics,calculate,Section C,Data and calculations,2,A person weighs 1220 N on Earth where g = 10 N/kg. Calculate mass.,Mass = weight / g = 1220 / 10 = 122 kg.,calculation-method,yes
derived-y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,open-answer-card,y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,physics,explain,Section B,Written reasoning,3,How can the strength of an electromagnet be increased?,"Increase the current, increase the number of coils, or use an iron core.",cause-effect,yes
derived-y9-265-9j-describe-the-difference-between-current-and-voltage,open-answer-card,y9-265-9j-describe-the-difference-between-current-and-voltage,9J,physics,describe,Section B,Written reasoning,2,Describe the difference between current and voltage / potential difference.,"Current is the rate of flow of charge around a circuit. Voltage, or potential difference, is the energy transferred per unit charge.",linked-description,yes
derived-y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,open-answer-card,y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,9J,physics,explain,Section B,Written reasoning,3,Explain why plastic handles are safe on electrical wires.,"Plastic has very high resistance and is an insulator, so current cannot easily flow through it to your body.",cause-effect,yes
derived-y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,open-answer-card,y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,physics,describe,Section B,Written reasoning,2,Describe how to test whether resistance depends on wire length.,Use wires of the same material and thickness but different lengths; measure current and voltage for each and calculate resistance.,linked-description,yes
derived-y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,open-answer-card,y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,9J,physics,calculate,Section C,Data and calculations,2,Calculate weight: mass = 34 kg and gravitational field strength = 6.8 N/kg.,231.2 N,calculation-method,yes
derived-y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,open-answer-card,y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,9J,physics,calculate,Section C,Data and calculations,2,A person has weight 686 N and mass 56 kg. Calculate gravitational field strength.,12.25 N/kg,calculation-method,yes
derived-y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,open-answer-card,y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,9I,physics,calculate,Section C,Data and calculations,2,A force of 40 N moves a box 3 m. Calculate work done.,120 J,calculation-method,yes
derived-y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,open-answer-card,y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,9I,physics,calculate,Section C,Data and calculations,2,A 5 N force acts 0.4 m from a pivot. Calculate the moment.,2 N m,calculation-method,yes
derived-y9x-002-9a-outline-why-dinosaurs-became-extinct,open-answer-card,y9x-002-9a-outline-why-dinosaurs-became-extinct,9A,biology,explain,Section B,Written reasoning,3,Outline why dinosaurs became extinct.,"Dinosaurs became extinct after major environmental change, probably linked to an asteroid impact and climate change, which disrupted food chains and habitats.",cause-effect,yes
derived-y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,open-answer-card,y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,9A,biology,explain,Section B,Written reasoning,3,"Use evidence to explain how scientists can infer something about Triceratops, such as whether it was prey.","Scientists use fossil evidence such as bones, bite marks, fossil position, skull shape and defensive structures to infer how Triceratops lived and interacted with predators.",cause-effect,yes
derived-y9x-004-9a-identify-examples-of-environmental-variation,open-answer-card,y9x-004-9a-identify-examples-of-environmental-variation,9A,biology,identify,Section A,Core knowledge,1,Identify examples of environmental variation.,"Examples include suntan, scars, language spoken, fitness after training, plant height affected by light, and leaf size affected by water supply.",label-or-feature,yes
derived-y9x-005-9a-identify-examples-of-inherited-variation,open-answer-card,y9x-005-9a-identify-examples-of-inherited-variation,9A,biology,identify,Section A,Core knowledge,1,Identify examples of inherited variation.,"Examples include blood group, natural eye colour, natural hair colour, earlobe type and inherited body features controlled by genes.",label-or-feature,yes
derived-y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,open-answer-card,y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,9A,biology,explain,Section B,Written reasoning,3,Explain how changes in an ecosystem can cause extinction.,"If food, habitat, climate, predators, competitors or disease pressures change too much, a species may fail to survive and reproduce, causing extinction.",cause-effect,yes
derived-y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,open-answer-card,y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,9A,biology,identify,Section A,Core knowledge,1,Identify adaptations of Triceratops that could be labelled on a model.,"Likely adaptations include horns for defence, a frill for protection or display, a strong beak for tough plants, grinding teeth, and powerful legs.",label-or-feature,yes
derived-y9x-008-9a-explain-how-environmental-variation-is-caused,open-answer-card,y9x-008-9a-explain-how-environmental-variation-is-caused,9A,biology,explain,Section B,Written reasoning,3,Explain how environmental variation is caused.,"Environmental variation is caused by surroundings and experiences, such as diet, climate, light, water, exercise, disease or injury.",cause-effect,yes
derived-y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,open-answer-card,y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,9A,biology,describe,Section B,Written reasoning,2,Outline how some variation is inherited from parents.,Inherited variation is caused by genetic information passed from parents to offspring in gametes during reproduction.,linked-description,yes
derived-y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,open-answer-card,y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,9A,biology,explain,Section B,Written reasoning,3,Explain how Triceratops adaptations helped survival.,"Horns and frill could reduce predation risk, a beak and teeth helped feeding on tough plants, and strong legs supported a large body.",cause-effect,yes
derived-y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,open-answer-card,y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,9A,biology,explain,Section B,Written reasoning,3,Identify and explain Triceratops adaptations beyond the obvious labels.,"A large body could deter predators, eyes placed for awareness could help detect danger, and a strong neck could support the heavy skull and frill.",cause-effect,yes
derived-y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,open-answer-card,y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,9A,biology,describe,Section B,Written reasoning,2,"Describe the relationship between cells, nuclei, chromosomes, genes, DNA and genetic information.",Cells contain nuclei. Nuclei contain chromosomes. Chromosomes are made of DNA. Genes are sections of DNA that carry genetic information.,linked-description,yes
derived-y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,open-answer-card,y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,9A,biology,describe,Section B,Written reasoning,2,Describe how variation in adaptations affects survival within a species.,"Individuals with better-suited adaptations are more likely to survive, reproduce and pass on their genes than less well-adapted individuals.",linked-description,yes
derived-y9x-015-9a-explain-how-natural-selection-works,open-answer-card,y9x-015-9a-explain-how-natural-selection-works,9A,biology,explain,Section B,Written reasoning,3,Explain how natural selection works.,Individuals vary; some inherited variations give an advantage; those individuals survive and reproduce more; useful genes become more common over generations.,cause-effect,yes
derived-y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,open-answer-card,y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,9B,biology,describe,Section B,Written reasoning,2,"Describe photosynthesis in terms of reactants, products and energy source.",Photosynthesis uses carbon dioxide and water to make glucose and oxygen. Light energy powers the reaction and chlorophyll absorbs the light.,linked-description,yes
derived-y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,open-answer-card,y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,9B,biology,explain,Section B,Written reasoning,3,"Explain how leaves, roots and stems help photosynthesis.","Leaves absorb light and exchange gases, roots absorb water and mineral ions, and stems/xylem transport water to the leaves.",cause-effect,yes
derived-y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,open-answer-card,y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,9B,biology,explain,Section B,Written reasoning,3,Explain how fertilisers help crop plants grow well.,"Fertilisers add mineral ions such as nitrates, phosphates and potassium compounds, which plants need for growth and making useful substances.",cause-effect,yes
derived-y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,open-answer-card,y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,9B,biology,explain,Section B,Written reasoning,3,Explain what happens when plants lack water or mineral salts.,"Lack of water causes wilting and poor transport. Lack of mineral ions causes poor growth, yellow leaves or weak plants depending on the missing ion.",cause-effect,yes
derived-y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,open-answer-card,y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,9B,biology,explain,Section B,Written reasoning,3,Explain that chlorophyll traps energy transferred by light.,"Chlorophyll absorbs light energy, which is transferred to the chemical reactions of photosynthesis.",cause-effect,yes
derived-y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,open-answer-card,y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,9B,biology,explain,Section B,Written reasoning,3,Explain how farming can change the carbon cycle.,"Clearing land, burning fuels, livestock, soil disturbance and harvesting can release carbon dioxide or reduce carbon stored in plants and soils.",cause-effect,yes
derived-y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,open-answer-card,y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,9B,biology,explain,Section B,Written reasoning,3,"Explain problems caused by fertilisers, including effects on fish in lakes.","Fertilisers can wash into lakes, causing algal blooms. Decomposition uses oxygen, so fish and other animals may suffocate.",cause-effect,yes
derived-y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,open-answer-card,y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,9B,biology,explain,Section B,Written reasoning,3,"Explain problems caused by pesticides, including persistent insecticides.",Pesticides can kill non-target organisms. Persistent insecticides may remain in food chains and build up in predators.,cause-effect,yes
