id,unit,domain,type,command,marks,pool,source_action,question,source,source_fidelity,has_media
y9x-018-9b-state-that-plants-make-their-own-food,9B,biology,Assess check,state,1,written-recall,promote to recall pool,State that plants make their own food.,9B assess-yourself success criterion 03,success-criterion-derived,False
y9x-019-9b-recall-the-resources-plants-need-to-grow-well,9B,biology,Assess check,state,1,written-recall,promote to recall pool,Recall the resources plants need to grow well.,9B assess-yourself success criterion 04,success-criterion-derived,False
y9x-020-9b-list-chemical-substances-farmers-may-apply-to-crops,9B,biology,Assess check,state,1,written-recall,promote to recall pool,List chemical substances farmers may apply to crops.,9B assess-yourself success criterion 05,success-criterion-derived,False
y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,9B,biology,Assess check,describe,2,written-main,promote now,"Describe photosynthesis in terms of reactants, products and energy source.",9B assess-yourself success criterion 06,success-criterion-derived,False
y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,9B,biology,Assess check,explain,3,written-main,promote now,"Explain how leaves, roots and stems help photosynthesis.",9B assess-yourself success criterion 07,success-criterion-derived,True
y9x-023-9b-explain-why-insecticides-and-fungicides-are-used-on-crop-plants,9B,biology,Assess check,explain,3,written-main,promote now,Explain why insecticides and fungicides are used on crop plants.,9B assess-yourself success criterion 08,success-criterion-derived,False
y9x-024-9b-explain-why-herbicides-or-weedkillers-are-used-on-crop-plants,9B,biology,Assess check,explain,3,written-main,promote now,Explain why herbicides or weedkillers are used on crop plants.,9B assess-yourself success criterion 09,success-criterion-derived,False
y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,9B,biology,Assess check,explain,3,written-main,promote now,Explain how fertilisers help crop plants grow well.,9B assess-yourself success criterion 10,success-criterion-derived,True
y9x-026-9b-use-word-equations-for-photosynthesis-and-aerobic-respiration,9B,biology,Assess check,state,2,written-main,source-style wording polished and promoted in v1.56.0,Write the word equations for photosynthesis and aerobic respiration.,9B assess-yourself success criterion 11,success-criterion-derived,False
y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,9B,biology,Assess check,explain,3,written-main,promote now,Explain what happens when plants lack water or mineral salts.,9B assess-yourself success criterion 12,success-criterion-derived,False
y9x-028-9b-describe-substances-made-in-plants-and-their-uses,9B,biology,Assess check,describe,2,written-main,promote now,Describe substances made in plants and their uses.,9B assess-yourself success criterion 13,success-criterion-derived,False
y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,9B,biology,Assess check,explain,3,written-main,promote now,Explain that chlorophyll traps energy transferred by light.,9B assess-yourself success criterion 14,success-criterion-derived,False
y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,9B,biology,Assess check,explain,3,written-main,promote now,Explain how farming can change the carbon cycle.,9B assess-yourself success criterion 15,success-criterion-derived,True
y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,9B,biology,Assess check,explain,3,written-main,promote now,"Explain problems caused by fertilisers, including effects on fish in lakes.",9B assess-yourself success criterion 16,success-criterion-derived,False
y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,9B,biology,Assess check,explain,3,written-main,promote now,"Explain problems caused by pesticides, including persistent insecticides.",9B assess-yourself success criterion 17,success-criterion-derived,False
y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,9B,biology,Assess check,describe,2,written-main,promote now,Describe how limiting factors stop photosynthesis rate increasing.,9B assess-yourself success criterion 18,success-criterion-derived,True
y9x-034-9e-name-common-conductors-and-insulators,9E,chemistry,Assess check,state,1,written-recall,promote to recall pool,Name common conductors and insulators.,9E assess-yourself success criterion 01,success-criterion-derived,True
y9x-035-9e-explain-what-a-landfill-site-is-and-why-it-can-cause-problems,9E,chemistry,Assess check,explain,3,written-main,promote now,Explain what a landfill site is and why it can cause problems.,9E assess-yourself success criterion 02,success-criterion-derived,False
y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,9E,chemistry,Assess check,state,1,written-recall,promote to recall pool,"Name examples of ceramic, polymer and composite materials.",9E assess-yourself success criterion 03,success-criterion-derived,False
y9x-037-9e-name-the-main-source-of-raw-materials-for-making-polymers,9E,chemistry,Assess check,state,1,written-recall,promote to recall pool,Name the main source of raw materials for making polymers.,9E assess-yourself success criterion 04,success-criterion-derived,False
y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,9E,chemistry,Assess check,describe,2,written-main,promote now,Describe the difference between biodegradable and non-biodegradable polymers.,9E assess-yourself success criterion 05,success-criterion-derived,False
y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,9E,chemistry,Assess check,describe,2,written-main,promote now,Describe pollution problems caused by burning fossil fuels.,9E assess-yourself success criterion 06,success-criterion-derived,False
y9x-040-9e-describe-what-a-composite-material-is,9E,chemistry,Assess check,describe,2,written-main,promote now,Describe what a composite material is.,9E assess-yourself success criterion 07,success-criterion-derived,True
y9x-041-9e-describe-problems-caused-by-disposal-of-artificial-polymers,9E,chemistry,Assess check,describe,2,written-main,promote now,Describe problems caused by disposal of artificial polymers.,9E assess-yourself success criterion 08,success-criterion-derived,False
y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,9E,chemistry,Assess check,explain,3,written-main,promote now,Explain the causes and problems of acid rain and the greenhouse effect.,9E assess-yourself success criterion 09,success-criterion-derived,True
y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,chemistry,Assess check,describe,3,written-main,source-style wording polished and promoted in v1.56.0,"Describe how the properties of ceramics, polymers and composites affect their uses.",9E assess-yourself success criterion 10,success-criterion-derived,True
y9x-044-9e-describe-how-polymers-are-formed-from-monomers,9E,chemistry,Assess check,describe,2,written-main,promote now,Describe how polymers are formed from monomers.,9E assess-yourself success criterion 11,success-criterion-derived,True
y9x-045-9e-identify-thermal-decomposition-reactions,9E,chemistry,Assess check,identify,1,written-main,promote now,Identify thermal decomposition reactions.,9E assess-yourself success criterion 12,success-criterion-derived,True
y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,9E,chemistry,Assess check,explain,3,written-main,promote now,Explain advantages of recycling with specific examples.,9E assess-yourself success criterion 13,success-criterion-derived,True
y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,9E,chemistry,Assess check,explain,2,written-main,source-style wording polished and promoted in v1.56.0,"Explain why a named ceramic, polymer or composite is suitable for a particular use.",9E assess-yourself success criterion 14,success-criterion-derived,False
y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,9E,chemistry,Assess check,explain,3,written-main,promote now,Explain how crystal size depends on cooling speed.,9E assess-yourself success criterion 15,success-criterion-derived,False
y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,9E,chemistry,Assess check,explain,3,written-main,promote now,Explain how properties of a material depend on bonding and structure.,9E assess-yourself success criterion 16,success-criterion-derived,False
y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,chemistry,Assess check,identify,2,written-main,source-style wording polished and promoted in v1.56.0,Identify whether each reaction is exothermic or endothermic from the temperature change and energy transfer shown.,9E assess-yourself success criterion 17,success-criterion-derived,True
y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,9E,chemistry,Assess check,explain,3,written-main,promote now,Explain biomagnification of toxins through food chains.,9E assess-yourself success criterion 18,success-criterion-derived,True
y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,chemistry,Assess check,explain,3,written-main,source-style wording polished and promoted in v1.56.0,"State two ways to reduce global warming or acid-rain impacts, then explain one of them.",9E assess-yourself success criterion 19,success-criterion-derived,True
y9x-053-9f-describe-what-causes-rusting,9F,chemistry,Assess check,describe,2,written-main,promote now,Describe what causes rusting.,9F assess-yourself success criterion 01,success-criterion-derived,True
y9x-054-9f-describe-one-simple-method-of-preventing-rusting,9F,chemistry,Assess check,describe,2,written-main,promote now,Describe one simple method of preventing rusting.,9F assess-yourself success criterion 02,success-criterion-derived,True
y9x-055-9f-explain-why-rusting-is-a-problem,9F,chemistry,Assess check,explain,3,written-main,promote now,Explain why rusting is a problem.,9F assess-yourself success criterion 03,success-criterion-derived,True
y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,9F,chemistry,Assess check,explain,3,written-main,promote now,Use scientific words to explain how iron rusts.,9F assess-yourself success criterion 04,success-criterion-derived,True
y9x-057-9f-explain-why-iron-or-steel-is-used-for-a-purpose-because-of-its-properties,9F,chemistry,Assess check,explain,3,written-main,promote now,Explain why iron or steel is used for a purpose because of its properties.,9F assess-yourself success criterion 05,success-criterion-derived,False
y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,9F,chemistry,Assess check,describe,2,written-main,promote now,Describe how iron ore is obtained from mining.,9F assess-yourself success criterion 06,success-criterion-derived,False
y9x-059-9f-use-word-equations-to-describe-reactions,9F,chemistry,Assess check,describe,2,written-main,promote now,Use word equations to describe reactions.,9F assess-yourself success criterion 07,success-criterion-derived,False
y9x-060-9f-describe-the-reactivity-series-and-the-position-of-iron,9F,chemistry,Assess check,describe,2,written-main,promote now,Describe the reactivity series and the position of iron.,9F assess-yourself success criterion 08,success-criterion-derived,False
y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method,9F,chemistry,Assess check,explain,3,written-main,promote now,Explain how metal reactivity determines extraction method.,9F assess-yourself success criterion 09,success-criterion-derived,True
y9x-062-9f-explain-why-energy-needs-and-cost-matter-when-selecting-extraction-methods,9F,chemistry,Assess check,explain,3,written-main,promote now,Explain why energy needs and cost matter when selecting extraction methods.,9F assess-yourself success criterion 10,success-criterion-derived,False
y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,9F,chemistry,Assess check,describe,2,written-main,promote now,Describe sacrificial protection for preventing rusting.,9F assess-yourself success criterion 11,success-criterion-derived,True
y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv,9F,chemistry,Assess check,explain,3,written-main,promote now,Explain how sacrificial protection prevents rusting and link this to the reactivity series.,9F assess-yourself success criterion 12,success-criterion-derived,True
y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection,9F,chemistry,Assess check,explain,3,written-main,promote now,Explain why certain metals are used for sacrificial protection.,9F assess-yourself success criterion 13,success-criterion-derived,True
y9x-066-9f-explain-other-reactions-taking-place-in-a-blast-furnace,9F,chemistry,Assess check,explain,3,written-main,promote now,Explain other reactions taking place in a blast furnace.,9F assess-yourself success criterion 14,success-criterion-derived,False
y9x-067-9f-use-balanced-equations-to-represent-reactions,9F,chemistry,Assess check,explain,2,written-main,source-style wording polished and promoted in v1.56.0,Explain what a balanced chemical equation shows about atoms on each side of the equation.,9F assess-yourself success criterion 15,success-criterion-derived,False
y9x-068-9f-describe-the-formation-of-stainless-steel,9F,chemistry,Assess check,describe,2,written-main,promote now,Describe the formation of stainless steel.,9F assess-yourself success criterion 16,success-criterion-derived,False
y9x-069-9i-recall-units-for-speed-and-explain-what-speed-means,9I,physics,Assess check,explain,3,written-main,promote now,Recall units for speed and explain what speed means.,9I assess-yourself success criterion 01,success-criterion-derived,False
y9x-070-9i-explain-how-distance-and-time-affect-speed,9I,physics,Assess check,explain,3,written-main,promote now,Explain how distance and time affect speed.,9I assess-yourself success criterion 02,success-criterion-derived,False
y9x-071-9i-use-the-formula-relating-speed-distance-and-time,9I,physics,Assess check,calculate,2,written-main,promote now,"Use the formula relating speed, distance and time.",9I assess-yourself success criterion 03,success-criterion-derived,False
y9x-072-9i-describe-levers-ramps-and-pulleys-and-how-they-help-move-loads,9I,physics,Assess check,describe,2,written-main,promote now,"Describe levers, ramps and pulleys and how they help move loads.",9I assess-yourself success criterion 04,success-criterion-derived,False
y9x-073-9i-explain-how-levers-ramps-or-pulleys-could-raise-or-lift-stones,9I,physics,Assess check,explain,3,written-main,promote now,"Explain how levers, ramps or pulleys could raise or lift stones.",9I assess-yourself success criterion 05,success-criterion-derived,False
y9x-074-9i-state-what-a-moment-is-and-when-something-balances,9I,physics,Assess check,state,1,written-recall,promote to recall pool,State what a moment is and when something balances.,9I assess-yourself success criterion 06,success-criterion-derived,False
y9x-075-9i-explain-why-simple-machines-do-not-mean-less-energy-is-needed,9I,physics,Assess check,explain,3,written-main,promote now,Explain why simple machines do not mean less energy is needed.,9I assess-yourself success criterion 07,success-criterion-derived,False
y9x-076-9i-represent-part-of-a-journey-on-a-distance-time-graph,9I,physics,Assess check,graph,3,written-main,promote now,Represent part of a journey on a distance-time graph.,9I assess-yourself success criterion 08,success-criterion-derived,True
y9x-077-9i-use-the-formula-for-moment-force-and-perpendicular-distance,9I,physics,Assess check,calculate,2,written-main,promote now,"Use the formula for moment, force and perpendicular distance.",9I assess-yourself success criterion 09,success-criterion-derived,False
y9x-078-9i-explain-the-effect-of-friction-on-force-needed-to-move-a-load,9I,physics,Assess check,explain,3,written-main,promote now,Explain the effect of friction on force needed to move a load.,9I assess-yourself success criterion 10,success-criterion-derived,False
y9x-079-9i-explain-why-friction-usually-means-more-energy-is-needed-with-a-simple-machine,9I,physics,Assess check,explain,3,written-main,promote now,Explain why friction usually means more energy is needed with a simple machine.,9I assess-yourself success criterion 11,success-criterion-derived,False
y9x-080-9i-explain-how-ramp-angle-affects-friction-and-required-force-using-force-component,9I,physics,Assess check,explain,3,written-main,promote now,Explain how ramp angle affects friction and required force using force components.,9I assess-yourself success criterion 12,success-criterion-derived,False
y9x-081-9b-describe-what-gas-exchange-is-and-why-it-needs-to-occur-in-plants,9B,biology,Progress check,explain,3,written-main,promote now,Describe what gas exchange is and why it needs to occur in plants.,9B Plant Growth PPT slide 48 progress check,progress-check-derived,False
y9x-082-9b-describe-how-a-leaf-is-adapted-so-palisade-cells-get-the-resources-they-need,9B,biology,Progress check,describe,2,written-main,promote now,Describe how a leaf is adapted so palisade cells get the resources they need.,9B Plant Growth PPT slide 48 progress check,progress-check-derived,False
y9x-083-9b-describe-why-starch-in-chloroplasts-is-broken-down,9B,biology,Progress check,explain,3,written-main,promote now,Describe why starch in chloroplasts is broken down.,9B Plant Growth PPT slide 62 progress check,progress-check-derived,False
