qid,legacy_id,unit,qid_type,card_type,level,question,source
9A-MCQ-15,y9-015-9a-which-feature-of-an-animal-suggests-that-it-is-prey-for-larger-animals,9A,MCQ,Quick quiz,2,"Using the feature options, which feature suggests that an animal is prey for larger animals?",9A quick quiz 9Ad Q3 - source-style visual support added
9A-MCQ-16,y9-016-9a-which-of-these-would-you-expect-to-find-in-a-gene-bank,9A,MCQ,Quick quiz,2,Which of these would you expect to find in a gene bank?,9A quick quiz 9Ad Q4
9A-MCQ-17,y9-017-9a-adult-birds-of-the-same-species-have-slightly-different-beak-lengths-w,9A,MCQ,Quick quiz,2,"Adult birds of the same species have slightly different beak lengths. With plenty of food and no disease, the cause of the difference is most likely to be:",9A quick quiz 9Ae Q1
9A-MCQ-18,y9-018-9a-if-there-is-plenty-of-food-what-will-happen-to-the-number-of-longer-be,9A,MCQ,Quick quiz,3,"If there is plenty of food, what will happen to the number of longer-beaked birds compared with shorter-beaked birds?",9A quick quiz 9Ae Q2
9A-MCQ-19,y9-019-9a-evolution-is,9A,MCQ,Quick quiz,1,Evolution is:,9A quick quiz 9Ae Q3
9A-MCQ-20,y9-020-9a-the-theory-of-evolution-that-most-scientists-believe-today-was-put-for,9A,MCQ,Quick quiz,1,The theory of evolution that most scientists believe today was put forward by:,9A quick quiz 9Ae Q4
9B-MCQ-01,y9-021-9b-where-does-photosynthesis-occur-in-a-plant,9B,MCQ,Quick quiz,1,"Using the labelled plant diagram, where does photosynthesis occur?",9B quick quiz 9Ba Q1 - source-style diagram redraw
9B-MCQ-02,y9-022-9b-in-the-summary-of-aerobic-respiration-glucose-oxygen-carbon-dioxide-x-,9B,MCQ,Quick quiz,1,"In the summary of aerobic respiration, glucose + oxygen -> carbon dioxide + X, what is X?",9B quick quiz 9Ba Q2
9B-MCQ-03,y9-023-9b-what-does-a-photosynthesis-rate-graph-usually-show-as-light-intensity-,9B,MCQ,Quick quiz,2,What does a photosynthesis-rate graph usually show as light intensity increases?,9B quick quiz 9Ba Q3 - text reconstruction of graph question
9B-MCQ-04,y9-024-9b-which-sentence-best-describes-what-chlorophyll-does,9B,MCQ,Quick quiz,1,Which sentence best describes what chlorophyll does?,9B quick quiz 9Ba Q4
9B-MCQ-05,y9-025-9b-leaves-are-often-wide-so-that-they,9B,MCQ,Quick quiz,1,Leaves are often wide so that they:,9B quick quiz 9Bb Q1
9B-MCQ-06,y9-026-9b-roots-are-adapted-to-their-function-by,9B,MCQ,Quick quiz,1,Roots are adapted to their function by:,9B quick quiz 9Bb Q2
9B-MCQ-07,y9-027-9b-if-plants-do-not-get-enough-water-they-start-to,9B,MCQ,Quick quiz,1,If plants do not get enough water they start to:,9B quick quiz 9Bb Q3
9B-MCQ-08,y9-028-9b-the-specialised-cell-with-a-long-projection-for-absorbing-water-from-s,9B,MCQ,Quick quiz,1,The specialised cell with a long projection for absorbing water from soil is a:,9B quick quiz 9Bb Q4 - text reconstruction of drawing question
9B-MCQ-09,y9-029-9b-the-substance-used-to-test-for-starch-is,9B,MCQ,Quick quiz,1,The substance used to test for starch is:,9B quick quiz 9Bc Q1
9B-MCQ-10,y9-030-9b-in-which-part-of-a-plant-would-you-expect-to-find-the-most-starch,9B,MCQ,Quick quiz,2,In which part of a plant would you expect to find the most starch?,9B quick quiz 9Bc Q2
9B-MCQ-11,y9-031-9b-glucose-is-used-to-make-a-polymer-found-in-cell-walls-this-polymer-is-,9B,MCQ,Quick quiz,1,Glucose is used to make a polymer found in cell walls. This polymer is called:,9B quick quiz 9Bc Q3
9B-MCQ-12,y9-032-9b-plants-use-nitrate-mineral-salts-to-make,9B,MCQ,Quick quiz,1,Plants use nitrate mineral salts to make:,9B quick quiz 9Bc Q4
9B-MCQ-13,y9-033-9b-plants-are-cross-bred-in-order-to,9B,MCQ,Quick quiz,2,Plants are cross-bred in order to:,9B quick quiz 9Bd Q1
9B-MCQ-14,y9-034-9b-selective-breeding-is,9B,MCQ,Quick quiz,2,Selective breeding is:,9B quick quiz 9Bd Q2
9B-MCQ-15,y9-035-9b-plants-cannot-survive-long-without-soil-nutrients-containing,9B,MCQ,Quick quiz,1,Plants cannot survive long without soil nutrients containing:,9B quick quiz 9Bd Q3
9B-MCQ-16,y9-036-9b-herbicides-are,9B,MCQ,Quick quiz,1,Herbicides are:,9B quick quiz 9Bd Q4
9B-MCQ-17,y9-037-9b-if-insecticide-is-sprayed-in-a-food-web-with-insects-eaten-by-wrens-wh,9B,MCQ,Quick quiz,3,"If insecticide is sprayed in a food web with insects eaten by wrens, what is a likely effect?",9B quick quiz 9Be Q1 - text reconstruction of food-web question
9B-MCQ-18,y9-038-9b-an-increase-in-which-organism-could-control-aphids,9B,MCQ,Quick quiz,2,An increase in which organism could control aphids?,9B quick quiz 9Be Q2
9B-MCQ-19,y9-039-9b-the-carbon-cycle,9B,MCQ,Quick quiz,1,The carbon cycle:,9B quick quiz 9Be Q3
9B-MCQ-20,y9-040-9b-plants-are-important-in-keeping-the-amount-of-carbon-in-balance-becaus,9B,MCQ,Quick quiz,2,Plants are important in keeping the amount of carbon in balance because:,9B quick quiz 9Be Q4
9E-MCQ-01,y9-041-9e-which-of-the-following-is-a-ceramic-material,9E,MCQ,Quick quiz,1,Which of the following is a ceramic material?,9E quick quiz 9Ea Q1
9E-MCQ-02,y9-042-9e-pottery-and-china-are-suitable-for-making-tea-pots-because-they-are,9E,MCQ,Quick quiz,1,Pottery and china are suitable for making tea pots because they are:,9E quick quiz 9Ea Q2
9E-MCQ-03,y9-043-9e-which-statement-about-the-formation-of-solid-crystals-is-correct,9E,MCQ,Quick quiz,2,Which statement about the formation of solid crystals is correct?,9E quick quiz 9Ea Q3
9E-MCQ-04,y9-044-9e-a-substance-with-a-high-melting-point-but-brittle-structure-is-best-re,9E,MCQ,Quick quiz,3,Which particle diagram best represents a substance with a high melting point but brittle structure?,9E quick quiz 9Ea Q4 - source-style diagram redraw
9E-MCQ-05,y9-045-9e-which-of-the-following-is-a-synthetic-polymer,9E,MCQ,Quick quiz,1,Which of the following is a synthetic polymer?,9E quick quiz 9Eb Q1
9E-MCQ-06,y9-046-9e-a-polymer-is-formed-when,9E,MCQ,Quick quiz,1,A polymer is formed when:,9E quick quiz 9Eb Q2
9E-MCQ-07,y9-047-9e-some-polymerisation-reactions-are-endothermic-what-does-this-mean,9E,MCQ,Quick quiz,2,Some polymerisation reactions are endothermic. What does this mean?,9E quick quiz 9Eb Q3
9E-MCQ-08,y9-048-9e-vulcanisation-adds-cross-links-in-rubber-how-does-this-change-natural-,9E,MCQ,Quick quiz,2,Vulcanisation adds cross-links in rubber. How does this change natural rubber?,9E quick quiz 9Eb Q4 - source-style cross-link diagram added
9E-MCQ-09,y9-049-9e-which-of-the-following-is-a-composite-material,9E,MCQ,Quick quiz,1,Which of the following is a composite material?,9E quick quiz 9Ec Q1
9E-MCQ-10,y9-050-9e-why-is-concrete-described-as-a-composite-material,9E,MCQ,Quick quiz,1,Why is concrete described as a composite material?,9E quick quiz 9Ec Q2
9E-MCQ-11,y9-051-9e-glass-reinforced-plastic-is-used-for-building-boats-because-it-is,9E,MCQ,Quick quiz,2,Glass reinforced plastic is used for building boats because it is:,9E quick quiz 9Ec Q3
9E-MCQ-12,y9-052-9e-what-happens-during-the-decomposition-of-calcium-carbonate-to-make-cal,9E,MCQ,Quick quiz,2,What happens during the decomposition of calcium carbonate to make calcium oxide?,9E quick quiz 9Ec Q4
9E-MCQ-13,y9-053-9e-which-substance-is-thought-to-be-one-of-the-main-greenhouse-gases,9E,MCQ,Quick quiz,1,Which substance is thought to be one of the main greenhouse gases?,9E quick quiz 9Ed Q1
9E-MCQ-14,y9-054-9e-what-is-a-non-biodegradable-polymer,9E,MCQ,Quick quiz,1,What is a non-biodegradable polymer?,9E quick quiz 9Ed Q2
9E-MCQ-15,y9-055-9e-why-can-low-toxin-levels-released-into-the-sea-cause-serious-problems-,9E,MCQ,Quick quiz,3,Why can low toxin levels released into the sea cause serious problems to humans?,9E quick quiz 9Ed Q3
9E-MCQ-16,y9-056-9e-which-would-help-reduce-the-possibility-of-global-warming,9E,MCQ,Quick quiz,2,Which would help reduce the possibility of global warming?,9E quick quiz 9Ed Q4
9E-MCQ-17,y9-057-9e-how-are-landfill-sites-used-to-deal-with-waste-materials,9E,MCQ,Quick quiz,1,How are landfill sites used to deal with waste materials?,9E quick quiz 9Ee Q1
9E-MCQ-18,y9-058-9e-recycling-a-metal-helps-us-use-that-metal-further-into-the-future-beca,9E,MCQ,Quick quiz,2,Recycling a metal helps us use that metal further into the future because:,9E quick quiz 9Ee Q2
9E-MCQ-19,y9-059-9e-which-material-is-recycled-by-crushing-and-grading-to-make-aggregate-f,9E,MCQ,Quick quiz,1,Which material is recycled by crushing and grading to make aggregate for foundations?,9E quick quiz 9Ee Q3
9E-MCQ-20,y9-060-9e-the-most-important-reason-for-recycling-glass-is-that-it-saves-large-a,9E,MCQ,Quick quiz,2,The most important reason for recycling glass is that it saves large amounts of:,9E quick quiz 9Ee Q4
9F-MCQ-01,y9-061-9f-which-of-these-describes-a-physical-change,9F,MCQ,Quick quiz,1,Which of these describes a physical change?,9F quick quiz 9Fa Q1
9F-MCQ-02,y9-062-9f-gas-pressure-is-caused-by-gas-particles,9F,MCQ,Quick quiz,1,Gas pressure is caused by gas particles:,9F quick quiz 9Fa Q2
9F-MCQ-03,y9-063-9f-the-pressure-of-a-gas-increases-as-temperature-increases-because,9F,MCQ,Quick quiz,1,The pressure of a gas increases as temperature increases because:,9F quick quiz 9Fa Q3
9F-MCQ-04,y9-064-9f-in-h2-what-tells-you-that-a-hydrogen-molecule-contains-2-atoms,9F,MCQ,Quick quiz,1,"In H2, what tells you that a hydrogen molecule contains 2 atoms?",9F quick quiz 9Fa Q4
9F-MCQ-05,y9-065-9f-which-salt-is-formed-when-magnesium-reacts-with-dilute-nitric-acid,9F,MCQ,Quick quiz,1,Which salt is formed when magnesium reacts with dilute nitric acid?,9F quick quiz 9Fb Q1
9F-MCQ-06,y9-066-9f-magnesium-reacts-slowly-with-cold-water-calcium-more-quickly-potassium,9F,MCQ,Quick quiz,1,"Magnesium reacts slowly with cold water, calcium more quickly, potassium catches fire. The order of reactivity, most reactive first, is:",9F quick quiz 9Fb Q2
9F-MCQ-07,y9-067-9f-the-two-subatomic-particles-found-in-the-nucleus-are,9F,MCQ,Quick quiz,1,The two subatomic particles found in the nucleus are:,9F quick quiz 9Fb Q3
9F-MCQ-08,y9-068-9f-in-the-periodic-table-elements-are-listed-in-order-of,9F,MCQ,Quick quiz,1,"In the periodic table, elements are listed in order of:",9F quick quiz 9Fb Q4
9F-MCQ-09,y9-069-9f-the-test-for-oxygen-is-that-it,9F,MCQ,Quick quiz,1,The test for oxygen is that it:,9F quick quiz 9Fc Q1
9F-MCQ-10,y9-070-9f-which-products-form-when-a-hydrocarbon-burns-in-plenty-of-air,9F,MCQ,Quick quiz,1,Which products form when a hydrocarbon burns in plenty of air?,9F quick quiz 9Fc Q2
9F-MCQ-11,y9-071-9f-which-reaction-needs-an-input-of-energy-to-start-it,9F,MCQ,Quick quiz,2,Which reaction needs an input of energy to start it?,9F quick quiz 9Fc Q3
9F-MCQ-12,y9-072-9f-an-exothermic-reaction-is-one-in-which,9F,MCQ,Quick quiz,1,An exothermic reaction is one in which:,9F quick quiz 9Fc Q4
9F-MCQ-13,y9-073-9f-which-of-these-is-a-displacement-reaction,9F,MCQ,Quick quiz,2,Which of these is a displacement reaction?,9F quick quiz 9Fd Q1
9F-MCQ-14,y9-074-9f-what-is-seen-when-magnesium-reacts-fully-with-copper-sulfate-solution,9F,MCQ,Quick quiz,3,What is seen when magnesium reacts fully with copper sulfate solution?,9F quick quiz 9Fd Q2
9F-MCQ-15,y9-075-9f-given-z-displaces-x-y-displaces-x-and-y-displaces-z-what-is-the-reacti,9F,MCQ,Quick quiz,3,"Given Z displaces X, Y displaces X, and Y displaces Z, what is the reactivity order, most reactive first?",9F quick quiz 9Fd Q3
9F-MCQ-16,y9-076-9f-aluminium-reacts-with-iron-oxide-to-form-aluminium-oxide-and-iron-whic,9F,MCQ,Quick quiz,2,Aluminium reacts with iron oxide to form aluminium oxide and iron. Which is correct?,9F quick quiz 9Fd Q4
9F-MCQ-17,y9-077-9f-metals-are-usually-extracted-from,9F,MCQ,Quick quiz,1,Metals are usually extracted from:,9F quick quiz 9Fe Q1
9F-MCQ-18,y9-078-9f-which-metal-was-first-extracted-most-recently-in-history,9F,MCQ,Quick quiz,2,Which metal was first extracted most recently in history?,9F quick quiz 9Fe Q2
9F-MCQ-19,y9-079-9f-what-is-reduced-in-zinc-oxide-carbon-zinc-carbon-dioxide,9F,MCQ,Quick quiz,2,What is reduced in: zinc oxide + carbon -> zinc + carbon dioxide?,9F quick quiz 9Fe Q3
9F-MCQ-20,y9-080-9f-which-metal-can-only-be-extracted-using-electrolysis,9F,MCQ,Quick quiz,2,Which metal can only be extracted using electrolysis?,9F quick quiz 9Fe Q4
9I-MCQ-01,y9-081-9i-for-a-falling-object-which-labels-best-match-the-forces-weight-downwar,9I,MCQ,Quick quiz,1,"For a falling object, which labels best match the forces: weight downward and air resistance upward?",9I quick quiz 9Ia Q1 - source-style diagram redraw
9I-MCQ-02,y9-082-9i-balanced-forces,9I,MCQ,Quick quiz,1,Balanced forces:,9I quick quiz 9Ia Q2
9I-MCQ-03,y9-083-9i-a-boat-has-a-forwards-force-of-500-n-and-water-resistance-of-400-n-whi,9I,MCQ,Quick quiz,2,A boat has a forwards force of 500 N and water resistance of 400 N. Which statement is true?,9I quick quiz 9Ia Q3
9I-MCQ-04,y9-084-9i-all-vehicles-have-a-top-speed-this-is-when,9I,MCQ,Quick quiz,2,All vehicles have a top speed. This is when:,9I quick quiz 9Ia Q4
9I-MCQ-05,y9-085-9i-which-of-these-is-not-a-way-in-which-energy-is-stored,9I,MCQ,Quick quiz,1,Which of these is not a way in which energy is stored?,9I quick quiz 9Ib Q1
9I-MCQ-06,y9-086-9i-which-of-these-is-a-way-in-which-energy-can-be-transferred,9I,MCQ,Quick quiz,1,Which of these is a way in which energy can be transferred?,9I quick quiz 9Ib Q2
9I-MCQ-07,y9-087-9i-in-which-ways-is-energy-most-often-transferred-as-wasted-energy,9I,MCQ,Quick quiz,1,In which ways is energy most often transferred as wasted energy?,9I quick quiz 9Ib Q3
9I-MCQ-08,y9-088-9i-which-machine-is-more-efficient-in-a-sankey-diagram,9I,MCQ,Quick quiz,3,Which machine is more efficient in a Sankey diagram?,9I quick quiz 9Ib Q4 - diagram reconstructed
9I-MCQ-09,y9-089-9i-the-speed-of-a-car-is-a-measure-of-how,9I,MCQ,Quick quiz,1,The speed of a car is a measure of how:,9I quick quiz 9Ic Q1
9I-MCQ-10,y9-090-9i-a-bus-travelled-20-km-in-2-hours-its-speed-was,9I,MCQ,Quick quiz,2,A bus travelled 20 km in 2 hours. Its speed was:,9I quick quiz 9Ic Q2
9I-MCQ-11,y9-091-9i-the-mean-speed-of-something-is,9I,MCQ,Quick quiz,1,The mean speed of something is:,9I quick quiz 9Ic Q3
9I-MCQ-12,y9-092-9i-on-a-distance-time-graph-which-section-shows-where-a-car-has-stopped,9I,MCQ,Quick quiz,2,"On the distance–time graph, which labelled section shows where the car has stopped?",9I quick quiz 9Ic Q4 - source-style graph redraw
9I-WE-01,y9-093-9i-for-a-lever-the-pivot-is-also-called-the,9I,WE,Quick quiz,1,"In the labelled lever diagram, what is label Y also called?",9I quick quiz 9Id Q1 - source-style diagram redraw
9I-MCQ-13,y9-094-9i-which-lever-makes-it-easiest-to-move-a-heavy-rock,9I,MCQ,Quick quiz,3,Which lever arrangement would make it easiest to move the heavy rock?,9I quick quiz 9Id Q2 - source-style diagram redraw
9I-MCQ-14,y9-095-9i-you-open-a-paint-can-with-a-screwdriver-you-apply-10-n-at-0-2-m-from-t,9I,MCQ,Quick quiz,2,You open a paint can with a screwdriver. You apply 10 N at 0.2 m from the pivot. What is the moment?,9I quick quiz 9Id Q3
9I-MCQ-15,y9-096-9i-a-seesaw-is-balanced-boy-300-n-m-girl-450-n-2-m-what-is-the-distance-f,9I,MCQ,Quick quiz,3,A seesaw is balanced. Boy: 300 N × ? m. Girl: 450 N × 2 m. What is the distance from pivot to boy?,9I quick quiz 9Id Q4
9I-MCQ-16,y9-097-9i-which-of-these-is-not-a-simple-machine,9I,MCQ,Quick quiz,1,Which of these is not a simple machine?,9I quick quiz 9Ie Q1
9I-MCQ-17,y9-098-9i-which-statement-is-true,9I,MCQ,Quick quiz,2,Which statement is true?,9I quick quiz 9Ie Q2
9I-MCQ-18,y9-099-9i-a-pulley-lets-you-lift-100-n-using-50-n-how-is-energy-conserved,9I,MCQ,Quick quiz,3,A pulley lets you lift 100 N using 50 N. How is energy conserved?,9I quick quiz 9Ie Q3
9I-MCQ-19,y9-100-9i-a-girl-pushes-a-wheelbarrow-2-m-with-a-force-of-30-n-how-much-work-did,9I,MCQ,Quick quiz,2,A girl pushes a wheelbarrow 2 m with a force of 30 N. How much work did she do?,9I quick quiz 9Ie Q4
9J-MCQ-01,y9-101-9j-the-direction-of-a-magnetic-field-is-from,9J,MCQ,Quick quiz,1,The direction of a magnetic field is from:,9J quick quiz 9Ja Q1
9J-MCQ-02,y9-102-9j-an-object-s-weight,9J,MCQ,Quick quiz,1,An object’s weight:,9J quick quiz 9Ja Q2
9J-MCQ-03,y9-103-9j-gravity-is-less-on-the-moon-than-on-earth-because,9J,MCQ,Quick quiz,2,Gravitational field strength is less on the Moon than on Earth because:,9J quick quiz 9Ja Q3
9J-MCQ-04,y9-104-9j-which-object-has-the-greatest-store-of-gravitational-potential-energy,9J,MCQ,Quick quiz,2,Which object has the greatest store of gravitational potential energy?,9J quick quiz 9Ja Q4
9J-MCQ-05,y9-105-9j-which-statement-about-atoms-is-not-true,9J,MCQ,Quick quiz,1,Which statement about atoms is not true?,9J quick quiz 9Jb Q1
9J-MCQ-06,y9-106-9j-an-object-has-a-negative-charge-which-statement-is-correct,9J,MCQ,Quick quiz,1,An object has a negative charge. Which statement is correct?,9J quick quiz 9Jb Q2
9J-MCQ-07,y9-107-9j-why-can-we-not-detect-static-charge-if-we-rub-a-metal-rod,9J,MCQ,Quick quiz,2,Why can we not detect static charge if we rub a metal rod?,9J quick quiz 9Jb Q3
9J-MCQ-08,y9-108-9j-an-electric-field-is-the-space-around-a-charged-object-where-it,9J,MCQ,Quick quiz,1,An electric field is the space around a charged object where it:,9J quick quiz 9Jb Q4
9J-MCQ-09,y9-109-9j-which-is-the-best-description-of-electric-current,9J,MCQ,Quick quiz,1,Which is the best description of electric current?,9J quick quiz 9Jc Q1
9J-MCQ-10,y9-110-9j-voltage-is,9J,MCQ,Quick quiz,1,"Voltage, also called potential difference, is:",9J quick quiz 9Jc Q2
9J-MCQ-11,y9-111-9j-which-statement-is-not-true-for-a-series-circuit,9J,MCQ,Quick quiz,2,Which statement is not true for a series circuit?,9J quick quiz 9Jc Q3
9J-MCQ-12,y9-112-9j-which-statement-is-true-for-a-parallel-circuit,9J,MCQ,Quick quiz,2,Which statement is true for a parallel circuit?,9J quick quiz 9Jc Q4
9J-MCQ-13,y9-113-9j-which-statement-is-correct,9J,MCQ,Quick quiz,1,Which statement is correct?,9J quick quiz 9Jd Q1
9J-MCQ-14,y9-114-9j-which-copper-wire-has-the-highest-resistance,9J,MCQ,Quick quiz,2,Which copper wire has the highest resistance?,9J quick quiz 9Jd Q2
9J-MCQ-15,y9-115-9j-the-units-for-measuring-resistance-are,9J,MCQ,Quick quiz,1,The units for measuring resistance are:,9J quick quiz 9Jd Q3
9J-MCQ-16,y9-116-9j-what-is-the-formula-for-calculating-resistance,9J,MCQ,Quick quiz,2,What is the formula for calculating resistance?,9J quick quiz 9Jd Q4
9J-MCQ-17,y9-117-9j-which-change-will-make-an-electromagnet-stronger,9J,MCQ,Quick quiz,1,Which change will make an electromagnet stronger?,9J quick quiz 9Je Q1
9J-MCQ-18,y9-118-9j-why-are-relays-useful,9J,MCQ,Quick quiz,2,Why are relays useful?,9J quick quiz 9Je Q2
9J-MCQ-19,y9-119-9j-a-wire-carrying-a-current-in-a-magnetic-field-experiences-a-force-how-,9J,MCQ,Quick quiz,2,A wire carrying a current in a magnetic field experiences a force. How can the force be made stronger?,9J quick quiz 9Je Q3
9J-MCQ-20,y9-120-9j-which-list-shows-the-parts-of-an-electric-motor,9J,MCQ,Quick quiz,2,Which list shows the parts of an electric motor?,9J quick quiz 9Je Q4
9A-VOC-01,y9-121-9a-define-species,9A,VOC,Vocabulary,1,Explain: species,9A word sheet / summary sheet
9A-VOC-02,y9-122-9a-define-genus,9A,VOC,Vocabulary,1,Explain: genus,9A word sheet / summary sheet
9A-VOC-03,y9-123-9a-define-variation,9A,VOC,Vocabulary,1,Explain: variation,9A word sheet / summary sheet
9A-VOC-04,y9-124-9a-define-characteristic,9A,VOC,Vocabulary,1,Explain: characteristic,9A word sheet / summary sheet
9A-VOC-05,y9-125-9a-define-classification,9A,VOC,Vocabulary,1,Explain: classification,9A word sheet / summary sheet
9A-VOC-06,y9-126-9a-define-environmental-variation,9A,VOC,Vocabulary,1,Explain: environmental variation,9A word sheet / summary sheet
9A-VOC-07,y9-127-9a-define-inherited-variation,9A,VOC,Vocabulary,1,Explain: inherited variation,9A word sheet / summary sheet
9A-VOC-08,y9-128-9a-define-continuous-variation,9A,VOC,Vocabulary,1,Explain: continuous variation,9A word sheet / summary sheet
9A-VOC-09,y9-129-9a-define-discontinuous-variation,9A,VOC,Vocabulary,1,Explain: discontinuous variation,9A word sheet / summary sheet
9A-VOC-10,y9-130-9a-define-gamete,9A,VOC,Vocabulary,1,Explain: gamete,9A word sheet / summary sheet
9A-VOC-11,y9-131-9a-define-fertilisation,9A,VOC,Vocabulary,1,Explain: fertilisation,9A word sheet / summary sheet
9A-VOC-12,y9-132-9a-define-zygote,9A,VOC,Vocabulary,1,Explain: zygote,9A word sheet / summary sheet
9A-VOC-13,y9-133-9a-define-gene,9A,VOC,Vocabulary,1,Explain: gene,9A word sheet / summary sheet
9A-VOC-14,y9-134-9a-define-chromosome,9A,VOC,Vocabulary,1,Explain: chromosome,9A word sheet / summary sheet
9A-VOC-15,y9-135-9a-define-dna,9A,VOC,Vocabulary,1,Explain: DNA,9A word sheet / summary sheet
9A-VOC-16,y9-136-9a-define-normal-distribution,9A,VOC,Vocabulary,1,Explain: normal distribution,9A word sheet / summary sheet
9A-VOC-17,y9-137-9a-define-adaptation,9A,VOC,Vocabulary,1,Explain: adaptation,9A word sheet / summary sheet
9A-VOC-18,y9-138-9a-define-biodiversity,9A,VOC,Vocabulary,1,Explain: biodiversity,9A word sheet / summary sheet
9A-VOC-19,y9-139-9a-define-conservation,9A,VOC,Vocabulary,1,Explain: conservation,9A word sheet / summary sheet
9A-VOC-20,y9-140-9a-define-natural-selection,9A,VOC,Vocabulary,1,Explain: natural selection,9A word sheet / summary sheet
9A-VOC-21,y9-141-9a-define-evolution,9A,VOC,Vocabulary,1,Explain: evolution,9A word sheet / summary sheet
9B-VOC-01,y9-142-9b-define-photosynthesis,9B,VOC,Vocabulary,2,Explain: photosynthesis,9B word sheet / summary sheet
9B-VOC-02,y9-143-9b-define-chlorophyll,9B,VOC,Vocabulary,1,Explain: chlorophyll,9B word sheet / summary sheet
9B-VOC-03,y9-144-9b-define-limiting-factor,9B,VOC,Vocabulary,1,Explain: limiting factor,9B word sheet / summary sheet
9B-VOC-04,y9-145-9b-define-aerobic-respiration,9B,VOC,Vocabulary,1,Explain: aerobic respiration,9B word sheet / summary sheet
9B-VOC-05,y9-146-9b-define-phloem,9B,VOC,Vocabulary,1,Explain: phloem,9B word sheet / summary sheet
9B-VOC-06,y9-147-9b-define-xylem,9B,VOC,Vocabulary,1,Explain: xylem,9B word sheet / summary sheet
9B-VOC-07,y9-148-9b-define-root-hair-cell,9B,VOC,Vocabulary,1,Explain: root hair cell,9B word sheet / summary sheet
9B-VOC-08,y9-149-9b-define-stomata,9B,VOC,Vocabulary,1,Explain: stomata,9B word sheet / summary sheet
9B-VOC-09,y9-150-9b-define-guard-cells,9B,VOC,Vocabulary,1,Explain: guard cells,9B word sheet / summary sheet
9B-VOC-10,y9-151-9b-define-starch,9B,VOC,Vocabulary,1,Explain: starch,9B word sheet / summary sheet
9B-VOC-11,y9-152-9b-define-iodine-test,9B,VOC,Vocabulary,1,Explain: iodine test,9B word sheet / summary sheet
9B-VOC-12,y9-153-9b-define-cellulose,9B,VOC,Vocabulary,1,Explain: cellulose,9B word sheet / summary sheet
9B-VOC-13,y9-154-9b-define-nitrate,9B,VOC,Vocabulary,1,Explain: nitrate,9B word sheet / summary sheet
9B-VOC-14,y9-155-9b-define-selective-breeding,9B,VOC,Vocabulary,1,Explain: selective breeding,9B word sheet / summary sheet
9B-VOC-15,y9-156-9b-define-herbicide,9B,VOC,Vocabulary,1,Explain: herbicide,9B word sheet / summary sheet
9B-VOC-16,y9-157-9b-define-insecticide,9B,VOC,Vocabulary,1,Explain: insecticide,9B word sheet / summary sheet
