stage,path,matched,text
before_r158,YEAR9_CONTENT.cards.241.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.241.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.242.media.0.alt,question-safe,Question-safe plant transport overview diagram.
before_r158,YEAR9_CONTENT.cards.247.media.0.alt,question-safe,Question-safe seed lifecycle image without stage labels.
before_r158,YEAR9_CONTENT.cards.250.media.0.alt,question-safe,"Question-safe structure visual showing monomers, polymer chain and composite material with blank labels."
before_r158,YEAR9_CONTENT.cards.252.examSourceAction,source-style; \bv1\.\d+,split into two source-style exam prompts in v1.56.0
before_r158,YEAR9_CONTENT.cards.253.examSourceAction,\bv1\.\d+,split from broad source prompt and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.253.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.254.examSourceAction,\bv1\.\d+,split from broad source prompt and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.254.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.257.media.0.alt,question-safe,Question-safe rusting conditions and prevention image with labelled samples but no explanatory notes.
before_r158,YEAR9_CONTENT.cards.264.media.0.alt,question-safe,Question-safe electromagnet image showing comparison setups without explanatory notes.
before_r158,YEAR9_CONTENT.cards.266.media.0.alt,question-safe,Question-safe series and parallel circuit diagrams with voltmeters.
before_r158,YEAR9_CONTENT.cards.268.media.0.alt,question-safe,Question-safe wire resistance investigation setup without explanatory notes.
before_r158,YEAR9_CONTENT.cards.287.media.0.alt,question-safe,"Question-safe cell, nucleus, chromosome, DNA and gene hierarchy diagram."
before_r158,YEAR9_CONTENT.cards.297.media.0.alt,question-safe,Question-safe plant transport overview diagram.
before_r158,YEAR9_CONTENT.cards.300.media.0.alt,question-safe,Question-safe split farming scene showing crop yield methods and environmental impacts without explanatory notes.
before_r158,YEAR9_CONTENT.cards.301.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.301.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.305.media.0.alt,question-safe,Question-safe carbon cycle diagram without explanatory notes.
before_r158,YEAR9_CONTENT.cards.309.media.0.alt,question-safe,Question-safe image comparing thermal transfer through different materials without explanatory labels.
before_r158,YEAR9_CONTENT.cards.315.media.0.alt,question-safe,"Question-safe structure visual showing monomers, polymer chain and composite material with blank labels."
before_r158,YEAR9_CONTENT.cards.318.media.0.alt,question-safe,"Question-safe structure visual showing monomers, polymer chain and composite material with blank labels."
before_r158,YEAR9_CONTENT.cards.318.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.318.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.319.media.0.alt,question-safe,"Question-safe structure visual showing monomers, polymer chain and composite material with blank labels."
before_r158,YEAR9_CONTENT.cards.320.media.0.alt,question-safe,Question-safe thermal decomposition and gas test setup.
before_r158,YEAR9_CONTENT.cards.321.media.0.alt,question-safe,Question-safe recycling image showing several material recycling processes without explanatory labels.
before_r158,YEAR9_CONTENT.cards.322.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.322.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.325.media.0.alt,question-safe,Question-safe split reaction image showing warming and cooling contexts without explanatory labels.
before_r158,YEAR9_CONTENT.cards.325.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.325.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.326.media.0.alt,question-safe,Question-safe aquatic food chain with toxin dots increasing up the food chain.
before_r158,YEAR9_CONTENT.cards.327.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.327.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.328.media.0.alt,question-safe,Question-safe rusting conditions and prevention image with labelled samples but no explanatory notes.
before_r158,YEAR9_CONTENT.cards.329.media.0.alt,question-safe,Question-safe rusting conditions and prevention image with labelled samples but no explanatory notes.
before_r158,YEAR9_CONTENT.cards.330.media.0.alt,question-safe,Question-safe rusting conditions and prevention image with labelled samples but no explanatory notes.
before_r158,YEAR9_CONTENT.cards.331.media.0.alt,question-safe,Question-safe rusting conditions and prevention image with labelled samples but no explanatory notes.
before_r158,YEAR9_CONTENT.cards.336.media.0.alt,question-safe,Question-safe comparison of metal extraction methods.
before_r158,YEAR9_CONTENT.cards.338.media.0.alt,question-safe,Question-safe sacrificial protection image showing metal attached to an iron structure.
before_r158,YEAR9_CONTENT.cards.339.media.0.alt,question-safe,Question-safe sacrificial protection image showing metal attached to an iron structure.
before_r158,YEAR9_CONTENT.cards.340.media.0.alt,question-safe,Question-safe sacrificial protection image showing metal attached to an iron structure.
before_r158,YEAR9_CONTENT.cards.342.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.342.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.344.media.0.alt,question-safe,"Question-safe reactivity order diagram showing magnesium, zinc, iron, copper and silver from most reactive at the top to least reactive at the bottom."
before_r158,YEAR9_CONTENT.cards.345.media.0.alt,question-safe,"Question-safe reactivity order diagram showing magnesium, zinc, iron, copper and silver from most reactive at the top to least reactive at the bottom."
before_r158,YEAR9_CONTENT.cards.374.media.0.alt,question-safe,Question-safe seed lifecycle image without stage labels.
before_r158,YEAR9_CONTENT.cards.374.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.374.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.375.media.0.alt,question-safe,Question-safe seed lifecycle image without stage labels.
before_r158,YEAR9_CONTENT.cards.379.answer,development,"Phosphates are needed for DNA, energy transfer and root growth; potassium helps enzymes and healthy flower/fruit development."
before_r158,YEAR9_CONTENT.cards.379.explanation,development,"Phosphates are needed for DNA, energy transfer and root growth; potassium helps enzymes and healthy flower/fruit development."
before_r158,YEAR9_CONTENT.cards.380.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.380.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.381.media.0.alt,question-safe,Question-safe quadrat sampling image in a meadow.
before_r158,YEAR9_CONTENT.cards.384.media.0.alt,question-safe,Question-safe carbon cycle diagram without explanatory notes.
before_r158,YEAR9_CONTENT.cards.385.media.0.alt,question-safe,Question-safe farming image contrasting crop production and environmental impact without explanatory labels.
before_r158,YEAR9_CONTENT.cards.386.media.0.alt,question-safe,Question-safe farming image contrasting crop production and environmental impact without explanatory labels.
before_r158,YEAR9_CONTENT.cards.387.media.0.alt,question-safe,Question-safe farming image contrasting crop production and environmental impact without explanatory labels.
before_r158,YEAR9_CONTENT.cards.391.media.0.alt,question-safe,Question-safe static electricity charge-transfer diagram.
before_r158,YEAR9_CONTENT.cards.392.media.0.alt,question-safe,Question-safe static electricity charge-transfer diagram.
before_r158,YEAR9_CONTENT.cards.393.media.0.alt,question-safe,Question-safe static electricity charge-transfer diagram.
before_r158,YEAR9_CONTENT.cards.400.media.0.alt,question-safe,Question-safe current-voltage graph comparison diagram.
before_r158,YEAR9_CONTENT.cards.401.media.0.alt,question-safe,Question-safe wire resistance investigation setup without explanatory notes.
before_r158,YEAR9_CONTENT.cards.401.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.401.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.403.media.0.alt,question-safe,Question-safe series and parallel circuit diagrams with voltmeters.
before_r158,YEAR9_CONTENT.cards.404.media.0.alt,question-safe,Question-safe series and parallel circuit diagrams with voltmeters.
before_r158,YEAR9_CONTENT.cards.405.media.0.alt,question-safe,Question-safe bar magnet field-line diagram.
before_r158,YEAR9_CONTENT.cards.406.media.0.alt,question-safe,Question-safe motor effect and simple motor diagram without explanatory notes.
before_r158,YEAR9_CONTENT.cards.406.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.406.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.434.media.0.alt,question-safe,Question-safe grid of eight circuit symbols labelled A to H.
before_r158,YEAR9_CONTENT.cards.434.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.434.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.435.media.0.alt,question-safe,Question-safe grid of eight circuit symbols labelled A to H.
before_r158,YEAR9_CONTENT.cards.436.media.0.alt,question-safe,Question-safe grid of eight circuit symbols labelled A to H.
before_r158,YEAR9_CONTENT.cards.437.media.0.alt,question-safe,Question-safe circuit/meter placement diagram.
before_r158,YEAR9_CONTENT.cards.438.media.0.alt,question-safe,Question-safe circuit/meter placement diagram.
before_r158,YEAR9_CONTENT.cards.439.media.0.alt,question-safe,Question-safe circuit/meter placement diagram.
before_r158,YEAR9_CONTENT.cards.440.media.0.alt,question-safe,Question-safe grid of eight circuit symbols labelled A to H.
before_r158,YEAR9_CONTENT.cards.444.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.444.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.445.media.0.alt,question-safe,Question-safe circuit/meter placement diagram.
before_r158,YEAR9_CONTENT.cards.446.media.0.alt,question-safe,Question-safe circuit/meter placement diagram.
before_r158,YEAR9_CONTENT.cards.450.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.450.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.451.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.451.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.453.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.453.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.459.question,development,What is sustainable development?
before_r158,YEAR9_CONTENT.cards.459.sourceExcerpt,development,"Developing the things we need, without destroying habitats is called sustainable development."
before_r158,YEAR9_CONTENT.cards.459.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.460.explanation,revision-pack,This combines the revision-pack benefit and problem so students must apply both sides of the farming-methods table.
before_r158,YEAR9_CONTENT.cards.460.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.460.media.0.alt,question-safe,Question-safe farming image contrasting crop production and environmental impact without explanatory labels.
before_r158,YEAR9_CONTENT.cards.461.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.461.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.461.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.462.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.463.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.463.media.0.alt,question-safe,Question-safe split farming scene showing crop yield methods and environmental impacts without explanatory notes.
before_r158,YEAR9_CONTENT.cards.463.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.463.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.464.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.465.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.465.media.0.alt,question-safe,Question-safe farming image contrasting crop production and environmental impact without explanatory labels.
before_r158,YEAR9_CONTENT.cards.465.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.465.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.466.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.467.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.468.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.469.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.470.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.470.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.470.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.471.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.471.media.0.alt,question-safe,Question-safe split reaction image showing warming and cooling contexts without explanatory labels.
before_r158,YEAR9_CONTENT.cards.471.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.471.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.472.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.472.media.0.alt,question-safe,Question-safe split reaction image showing warming and cooling contexts without explanatory labels.
before_r158,YEAR9_CONTENT.cards.472.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.472.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.473.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.474.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.475.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.476.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.476.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.476.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.477.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.477.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.477.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.478.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.478.media.0.alt,question-safe,Question-safe recycling image showing several material recycling processes without explanatory labels.
before_r158,YEAR9_CONTENT.cards.479.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.479.media.0.alt,question-safe,Question-safe recycling image showing several material recycling processes without explanatory labels.
before_r158,YEAR9_CONTENT.cards.480.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.480.media.0.alt,question-safe,Question-safe recycling image showing several material recycling processes without explanatory labels.
before_r158,YEAR9_CONTENT.cards.481.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.482.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.482.media.0.alt,question-safe,Question-safe recycling image showing several material recycling processes without explanatory labels.
before_r158,YEAR9_CONTENT.cards.483.explanation,revision-pack,The question keeps the revision-pack meaning but tests it in a food-chain context.
before_r158,YEAR9_CONTENT.cards.483.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.483.media.0.alt,question-safe,Question-safe aquatic food chain with toxin dots increasing up the food chain.
before_r158,YEAR9_CONTENT.cards.484.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.484.media.0.alt,question-safe,Question-safe comparison image showing physical changes and chemical reaction evidence without labels.
before_r158,YEAR9_CONTENT.cards.485.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.485.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.485.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.486.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.486.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.486.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.487.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.488.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.489.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.490.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.491.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.492.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.492.media.0.alt,question-safe,Question-safe reactive metal product map.
before_r158,YEAR9_CONTENT.cards.492.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.492.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.493.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.493.media.0.alt,question-safe,Question-safe pH scale with example substances and no explanatory notes.
before_r158,YEAR9_CONTENT.cards.493.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.493.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.494.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.495.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.496.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.496.media.0.alt,question-safe,Question-safe combustion image showing a flame and fire-triangle icons without explanatory labels.
before_r158,YEAR9_CONTENT.cards.497.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.498.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.498.media.0.alt,question-safe,Question-safe combustion image showing a flame and fire-triangle icons without explanatory labels.
before_r158,YEAR9_CONTENT.cards.499.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.499.media.0.alt,question-safe,Question-safe particle collision image comparing lower and higher particle activity without explanatory labels.
before_r158,YEAR9_CONTENT.cards.500.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.501.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.501.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.501.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.502.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.502.media.0.alt,question-safe,Question-safe comparison of metal extraction methods.
before_r158,YEAR9_CONTENT.cards.503.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.503.media.0.alt,question-safe,Question-safe comparison of metal extraction methods.
before_r158,YEAR9_CONTENT.cards.504.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.505.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.505.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.505.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.506.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.507.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.508.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.508.examSourceAction,source-style; \bv1\.\d+,source-style wording polished and promoted in v1.56.0
before_r158,YEAR9_CONTENT.cards.508.examExpansionBucket,source-style,polished source-style written exam candidate
before_r158,YEAR9_CONTENT.cards.509.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.510.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.511.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.512.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.513.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.514.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.515.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.516.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.517.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.518.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.519.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.520.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.521.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.522.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.523.cue,revision-pack,Use the revision-pack wording as closely as possible.
before_r158,YEAR9_CONTENT.cards.523.media.0.alt,question-safe,Question-safe force-field comparison diagram.
before_r158,YEAR9_CONTENT.cards.524.cue,revision-pack,Use the revision-pack wording as closely as possible.
