id,unit,type,level,learningObjectiveTitle,question,answer,source,sourceRegistryIds,sourceExcerpt,sourceUrls
y9cgp-011-I-pressure-what-does-it-mean-if-an-object-floats,9I,Progress check,2,Pressure in fluids,What does it mean if an object floats?,"The upthrust on the object balances its weight, so there is no resultant vertical force.",CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-012-I-pressure-which-change-would-increase-the-pressure-made-by-the-same-fo,9I,Quick quiz,2,Pressure in fluids,Which change would increase the pressure made by the same force?,C,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-013-I-pressure-why-do-snowshoes-help-a-person-walk-on-soft-snow,9I,Apply check,2,Pressure in fluids,Why do snowshoes help a person walk on soft snow?,"Snowshoes spread the person’s weight over a larger area, so the pressure on the snow is lower.",CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-014-I-pressure-a-block-underwater-has-equal-sized-top-and-bottom-faces-expl,9I,Challenge check,4,Pressure in fluids,A block underwater has equal-sized top and bottom faces. Explain why water can produce an upward resultant force on it.,"The bottom face is deeper, so the pressure on the bottom is greater than the pressure on the top. This produces a larger upward force than downward force, giving upthrust.",CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-015-I-pressure-correct-the-misconception-liquid-pressure-at-the-bottom-depe,9I,Progress check,3,Pressure in fluids,Correct the misconception: “Liquid pressure at the bottom depends mainly on container width.”,"At the same depth in the same liquid, pressure is the same. Pressure depends mainly on depth and the liquid, not just container width.",CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-046-E-heating-cooling-define-thermal-conductor,9E,Vocabulary,1,Heating and cooling,Define: thermal conductor,A thermal conductor is a material that transfers thermal energy quickly.,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-047-E-heating-cooling-define-thermal-insulator,9E,Vocabulary,1,Heating and cooling,Define: thermal insulator,A thermal insulator is a material that transfers thermal energy slowly.,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-048-E-heating-cooling-what-happens-to-particles-in-a-solid-when-it-is-heated,9E,Progress check,2,Heating and cooling,What happens to particles in a solid when it is heated?,The particles vibrate more quickly because energy is transferred to them.,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-049-E-heating-cooling-what-happens-to-particles-in-a-hot-object-as-it-cools,9E,Progress check,2,Heating and cooling,What happens to particles in a hot object as it cools?,The particles move or vibrate less quickly as energy is transferred to the surroundings.,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-050-E-heating-cooling-which-changes-of-state-are-endothermic,9E,Quick quiz,2,Heating and cooling,Which changes of state are endothermic?,A,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-051-E-heating-cooling-which-changes-of-state-are-exothermic,9E,Quick quiz,2,Heating and cooling,Which changes of state are exothermic?,C,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-052-E-heating-cooling-describe-conduction-using-particles,9E,Progress check,3,Heating and cooling,Describe conduction using particles.,"In conduction, vibrating particles pass energy to neighbouring particles through bonds or collisions.",CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-053-E-heating-cooling-why-does-a-metal-spoon-in-hot-soup-become-hot-quickly,9E,Apply check,2,Heating and cooling,Why does a metal spoon in hot soup become hot quickly?,"Metal is a good thermal conductor, so energy is transferred quickly through the spoon by conduction.",CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-054-E-heating-cooling-why-does-a-plastic-handle-help-protect-your-hand-from-a-hot-,9E,Apply check,2,Heating and cooling,Why does a plastic handle help protect your hand from a hot pan?,"Plastic is a thermal insulator, so it transfers thermal energy slowly from the hot pan to your hand.",CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-055-E-heating-cooling-what-does-a-cooling-curve-show,9E,Progress check,1,Heating and cooling,What does a cooling curve show?,A cooling curve shows how the temperature of an object changes with time as it cools.,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-056-E-heating-cooling-why-does-a-very-hot-drink-cool-faster-at-first-than-later,9E,Apply check,3,Heating and cooling,Why does a very hot drink cool faster at first than later?,"At first the temperature difference between the drink and surroundings is larger, so energy is transferred faster.",CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-057-E-heating-cooling-correct-the-misconception-energy-disappears-when-an-object-c,9E,Progress check,2,Heating and cooling,Correct the misconception: “Energy disappears when an object cools.”,Energy is transferred from the hot object to the surroundings; it is not destroyed.,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-058-E-heating-cooling-which-material-would-usually-be-best-for-reducing-heat-loss-,9E,Quick quiz,2,Heating and cooling,Which material would usually be best for reducing heat loss from a mug?,D,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-059-E-heating-cooling-explain-why-insulation-does-not-make-heat-it-helps-keep-some,9E,Challenge check,3,Heating and cooling,Explain why insulation does not “make heat”; it helps keep something warm.,Insulation slows thermal energy transfer from the warm object to colder surroundings. It reduces energy loss but does not create energy.,CGP KS3 Science syllabus map Year 9 Topic 5 Heating and cooling; Oak heating/cooling lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-HEATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/heating-and-cooling/lessons
y9cgp-060-F-periodic-table-bridge-define-periodic-table,9F,Vocabulary,1,Periodic table bridge,Define: periodic table,Arrangement of elements in order of proton number.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,Arrangement of elements in order of proton number.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-061-F-periodic-table-bridge-what-does-an-atom-contain,9F,Progress check,2,Periodic table bridge,What does an atom contain?,Atoms contain neutrons and protons in a central nucleus and electrons around the outside of the nucleus.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,Atoms contain neutrons and protons in a central nucleus and electrons around the outside of the nucleus.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-062-F-periodic-table-bridge-what-is-the-atomic-number-or-proton-number,9F,Progress check,1,Periodic table bridge,What is the atomic number or proton number?,The number of protons is the atomic number or proton number.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,The number of protons is the atomic number or proton number.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-063-F-periodic-table-bridge-what-is-the-mass-number-of-an-atom,9F,Progress check,2,Periodic table bridge,What is the mass number of an atom?,The number of neutrons and the number of protons in an atom is its mass number.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,The number of neutrons and the number of protons in an atom is its mass number.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-064-F-periodic-table-bridge-what-are-groups-and-periods-in-the-periodic-table,9F,Progress check,1,Periodic table bridge,What are groups and periods in the periodic table?,The vertical columns in the periodic table are groups and the rows are periods.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,The vertical columns in the periodic table are groups and the rows are periods.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-065-F-periodic-table-bridge-elements-in-the-same-group-usually-have,9F,Quick quiz,2,Periodic table bridge,Elements in the same group usually have:,B,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-066-F-periodic-table-bridge-across-a-period-elements-are-arranged-mainly-by-increasing,9F,Quick quiz,1,Periodic table bridge,"Across a period, elements are arranged mainly by increasing:",C,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
