id,unit,type,level,learningObjectiveTitle,question,answer,source,sourceRegistryIds,sourceExcerpt,sourceUrls,deferredReason
y9cgp-026-I-waves-what-happens-to-the-particles-as-a-sound-wave-travels-throug,9I,Progress check,3,Wave properties,What happens to the particles as a sound wave travels through air?,The particles vibrate back and forth parallel to the direction the sound wave travels; the particles do not travel all the way with the sound.,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-027-I-waves-explain-why-sound-usually-travels-faster-in-solids-than-in-g,9I,Progress check,3,Wave properties,Explain why sound usually travels faster in solids than in gases.,"Particles in solids are closer together and strongly linked, so vibrations are passed on more quickly.",CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-028-I-waves-how-could-an-echo-method-be-used-to-estimate-the-speed-of-so,9I,Apply check,3,Wave properties,How could an echo method be used to estimate the speed of sound?,"Make a sharp sound near a wall, time how long it takes to hear the echo, then use distance travelled divided by time. The sound travels to the wall and back.",CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-029-I-waves-a-louder-sound-usually-has-a-larger,9I,Quick quiz,1,Wave properties,A louder sound usually has a larger:,D,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-030-I-waves-a-higher-pitched-sound-usually-has-a-higher,9I,Quick quiz,1,Wave properties,A higher-pitched sound usually has a higher:,A,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-031-I-waves-a-water-wave-moves-across-a-tank-explain-why-this-does-not-m,9I,Challenge check,3,Wave properties,A water wave moves across a tank. Explain why this does not mean the water itself is carried all the way across the tank.,The water particles mainly oscillate up and down while energy is transferred across the tank by the wave.,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-032-B-breathing-gas-exchange-define-breathing,9B,Vocabulary,1,Breathing and gas exchange,Define: breathing,Breathing is the movement of air into and out of the lungs.,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-033-B-breathing-gas-exchange-define-gas-exchange,9B,Vocabulary,1,Breathing and gas exchange,Define: gas exchange,Gas exchange is the movement of oxygen into the blood and carbon dioxide out of the blood at the lungs.,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-034-B-breathing-gas-exchange-where-does-gas-exchange-happen-in-the-human-lungs,9B,Quick quiz,1,Breathing and gas exchange,Where does gas exchange happen in the human lungs?,C,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-035-B-breathing-gas-exchange-describe-the-difference-between-breathing-and-cellular-respi,9B,Progress check,2,Breathing and gas exchange,Describe the difference between breathing and cellular respiration.,Breathing moves air into and out of the lungs. Cellular respiration is a chemical process in cells that releases energy from glucose.,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-036-B-breathing-gas-exchange-what-gas-moves-from-the-air-in-the-alveoli-into-the-blood,9B,Progress check,1,Breathing and gas exchange,What gas moves from the air in the alveoli into the blood?,Oxygen diffuses from the air in the alveoli into the blood.,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-037-B-breathing-gas-exchange-what-gas-moves-from-the-blood-into-the-alveoli,9B,Progress check,1,Breathing and gas exchange,What gas moves from the blood into the alveoli?,Carbon dioxide diffuses from the blood into the alveoli so it can be breathed out.,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-038-B-breathing-gas-exchange-why-are-alveoli-useful-for-gas-exchange,9B,Apply check,3,Breathing and gas exchange,Why are alveoli useful for gas exchange?,"Alveoli give the lungs a large surface area and have thin walls, so gases can diffuse quickly between air and blood.",CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-039-B-breathing-gas-exchange-which-structure-contracts-and-flattens-during-breathing-in,9B,Quick quiz,2,Breathing and gas exchange,Which structure contracts and flattens during breathing in?,B,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-040-B-breathing-gas-exchange-describe-what-happens-to-the-chest-volume-during-breathing-i,9B,Progress check,3,Breathing and gas exchange,Describe what happens to the chest volume during breathing in.,"The chest volume increases, pressure inside the lungs falls, and air moves into the lungs.",CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-041-B-breathing-gas-exchange-describe-what-happens-to-the-chest-volume-during-breathing-o,9B,Progress check,3,Breathing and gas exchange,Describe what happens to the chest volume during breathing out.,"The chest volume decreases, pressure inside the lungs rises, and air moves out of the lungs.",CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-042-B-breathing-gas-exchange-which-statement-is-correct,9B,Quick quiz,2,Breathing and gas exchange,Which statement is correct?,D,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-043-B-breathing-gas-exchange-why-do-cells-need-oxygen-from-the-air,9B,Progress check,2,Breathing and gas exchange,Why do cells need oxygen from the air?,"Cells need oxygen for aerobic respiration, which releases energy for life processes.",CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-044-B-breathing-gas-exchange-explain-why-carbon-dioxide-must-be-removed-from-the-body,9B,Apply check,3,Breathing and gas exchange,Explain why carbon dioxide must be removed from the body.,Carbon dioxide is a waste product of respiration. It diffuses into the lungs and is removed when we breathe out.,CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-045-B-breathing-gas-exchange-explain-why-exercise-increases-breathing-rate,9B,Challenge check,4,Breathing and gas exchange,Explain why exercise increases breathing rate.,"Muscle cells respire faster during exercise, so they need more oxygen and produce more carbon dioxide. Faster breathing brings in oxygen and removes carbon dioxide more quickly.",CGP KS3 Science syllabus map Year 9 Topic 13 Breathing; Oak breathing and gas exchange lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-BREATHING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/breathing-respiration-and-gas-exchange,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-086-B-anaerobic-respiration-define-anaerobic-respiration,9B,Vocabulary,1,Anaerobic respiration,Define: anaerobic respiration,Anaerobic respiration is respiration that releases energy without using oxygen.,9B photosynthesis/respiration revision content; CGP KS3 Year 9 Topic 14 Respiration; Oak anaerobic respiration lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-ANAEROBIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/anaerobic-cellular-respiration-and-fermentation-in-microorganisms;local:data/year9-content.js and data/year9-notes.js,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-087-B-anaerobic-respiration-write-the-word-summary-for-aerobic-respiration,9B,Progress check,1,Anaerobic respiration,Write the word summary for aerobic respiration.,glucose + oxygen -> carbon dioxide + water,9B quick quiz 9Ba Q2; CGP KS3 Year 9 Topic 14 Respiration; Oak anaerobic respiration lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-ANAEROBIC;LOCAL-REVISION,glucose + oxygen -> carbon dioxide + water,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/anaerobic-cellular-respiration-and-fermentation-in-microorganisms;local:data/year9-content.js and data/year9-notes.js,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-088-B-anaerobic-respiration-write-the-word-summary-for-anaerobic-respiration-in-human-mu,9B,Progress check,2,Anaerobic respiration,Write the word summary for anaerobic respiration in human muscles.,glucose -> lactic acid,9B photosynthesis/respiration revision content; CGP KS3 Year 9 Topic 14 Respiration; Oak anaerobic respiration lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-ANAEROBIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/anaerobic-cellular-respiration-and-fermentation-in-microorganisms;local:data/year9-content.js and data/year9-notes.js,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-089-B-anaerobic-respiration-write-the-word-summary-for-anaerobic-respiration-in-yeast,9B,Progress check,2,Anaerobic respiration,Write the word summary for anaerobic respiration in yeast.,glucose -> ethanol + carbon dioxide,9B photosynthesis/respiration revision content; CGP KS3 Year 9 Topic 14 Respiration; Oak anaerobic respiration lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-ANAEROBIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/anaerobic-cellular-respiration-and-fermentation-in-microorganisms;local:data/year9-content.js and data/year9-notes.js,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-090-B-anaerobic-respiration-which-process-does-not-require-oxygen,9B,Quick quiz,1,Anaerobic respiration,Which process does not require oxygen?,C,9B photosynthesis/respiration revision content; CGP KS3 Year 9 Topic 14 Respiration; Oak anaerobic respiration lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-ANAEROBIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/breathing-and-respiration/lessons/anaerobic-cellular-respiration-and-fermentation-in-microorganisms;local:data/year9-content.js and data/year9-notes.js,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
