origin,id,source_card_id,unit,domain,exam_pool,exam_command,marks,question,answer_format_hint,answer_format_steps,source
curated-visual-bank,we-chem-describe-peer-review-process,,9E,chemistry,written-visual,describe,3,Use the peer-review diagram. Describe the peer-review process in science.,Write the process in order.,Submission. | Expert checking. | Outcome.,
curated-visual-bank,we-chem-identify-exothermic-endothermic,,9E,chemistry,written-visual,identify,2,Use the two energy-transfer diagrams. Identify which change is exothermic and which is endothermic.,Use one sentence or two bullet points.,Identify exothermic. | Identify endothermic.,
curated-visual-bank,we-chem-describe-displacement-reaction,,9F,chemistry,written-visual,describe,3,Use the displacement reaction diagram. Describe what happens when magnesium is added to copper sulfate solution.,Use reactivity language and say what forms.,Compare reactivity. | State displacement. | State product/observation.,
curated-visual-bank,we-chem-explain-reactivity-extraction,,9F,chemistry,written-visual,explain,3,Use the reactivity series. Explain why aluminium is extracted by electrolysis but iron can be extracted using carbon.,Compare each metal with carbon.,Aluminium compared with carbon. | Extraction method for aluminium. | Iron compared with carbon and extraction method.,
curated-visual-bank,we-chem-explain-thermite-redox,,9F,chemistry,written-visual,explain,4,"In the thermite reaction, aluminium reacts with iron oxide to make aluminium oxide and iron. Explain which substance is oxidised and which is reduced.",Use gain/loss of oxygen.,Aluminium change. | Iron oxide change. | Name oxidation and reduction.,
curated-visual-bank,we-chem-describe-recycling-method,,9E,chemistry,written-visual,describe,3,Use the recycling diagram. Describe how one material is recycled and give one benefit of recycling.,"Name the material, describe the process, then give a benefit.",Material. | Recycling method. | Benefit.,
curated-visual-bank,we-chem-identify-physical-chemical-change,,9F,chemistry,written-visual,identify,2,Use the change diagrams. Identify one physical change and one chemical reaction.,Use two bullet points and give the reason briefly.,Physical change + reason. | Chemical reaction + reason.,
curated-visual-bank,we-phys-state-resultant-force,,9I,physics,written-visual,state,1,State what is meant by the resultant force on an object.,One short sentence.,Term is definition.,
curated-visual-bank,we-phys-describe-distance-time-graph,,9I,physics,written-visual,describe,3,Use the distance-time graph. Describe the motion shown by the graph.,Describe each section and use graph language.,Section 1. | Section 2. | Compare steepness if relevant.,
curated-visual-bank,we-phys-describe-speed-time-graph,,9I,physics,written-visual,describe,3,Use the speed-time graph. Describe the motion shown in the graph.,Use graph sections and values where possible.,First section. | Middle/constant section. | Final section.,
curated-visual-bank,we-phys-explain-terminal-velocity,,9I,physics,written-visual,explain,4,Use the falling-object sequence. Explain why a falling object reaches terminal velocity.,"Use weight, air resistance, resultant force and constant speed.",Start forces. | Change with speed. | Balanced forces. | Result.,
curated-visual-bank,we-phys-calculate-moment,,9I,physics,written-visual,calculate,2,Use the balanced lever diagram. Calculate the missing distance on the right-hand side.,"Formula, substitution, answer with unit.",Known moment. | Set equal for balance. | Divide by force.,
curated-visual-bank,we-phys-calculate-density-displacement,,9I,physics,written-visual,calculate,3,Use the measuring cylinders. Calculate the density of the object in g/cm³.,"Find volume first, then use density = mass ÷ volume.",Calculate object volume. | Write density formula. | Substitute and answer with unit.,
curated-visual-bank,we-phys-explain-pressure-contact-area,,9I,physics,written-visual,explain,3,Use the shoe diagrams. Explain which shoe produces the greater pressure on the ground.,Compare force and contact area.,Compare force. | Compare area. | Link to pressure formula.,
curated-visual-bank,we-phys-identify-circuit-meters,,9J,physics,written-visual,identify,2,Use the circuit diagram. Identify where an ammeter and a voltmeter should be connected.,Use two bullet points and the position labels.,Ammeter position and connection. | Voltmeter position and connection.,
curated-visual-bank,we-phys-explain-wire-resistance-investigation,,9J,physics,written-visual,describe,4,Use the practical setup. Describe how to investigate how wire length affects resistance.,"Method, variables, measurements and calculation.",Set up circuit. | Change independent variable. | Control variables. | Measure/calculate resistance.,
curated-visual-bank,we-phys-compare-current-voltage-resistance,,9J,physics,written-visual,explain,3,Use the current-voltage graph. Explain which component has the greater resistance.,Compare current at the same voltage.,Choose a voltage. | Compare current. | State resistance conclusion.,
curated-visual-bank,we-phys-explain-static-charge-transfer,,9J,physics,written-visual,explain,3,Use the static-charge diagram. Explain how one object becomes negatively charged after rubbing.,Use electron transfer language.,Electron transfer. | Object that gains electrons. | Object that loses electrons.,
curated-visual-bank,we-phys-describe-electromagnet-strength,,9J,physics,written-visual,describe,3,Use the electromagnet diagram. Describe two ways to make the electromagnet stronger and explain one of them.,Give two changes and one reason.,Method 1. | Method 2. | Explanation.,
open-answer-card,derived-y9-093-9i-for-a-lever-the-pivot-is-also-called-the,y9-093-9i-for-a-lever-the-pivot-is-also-called-the,9I,physics,written-main,identify,1,"In the labelled lever diagram, what is label Y also called?","Use the labels, diagram or question clue to name the correct item(s). Keep the answer concise.","Look carefully at the label, diagram or clue. | Name the correct item(s), part(s) or feature(s). | Use letters/names clearly if the diagram uses labels.",9I quick quiz 9Id Q1 - source-style diagram redraw
open-answer-card,derived-y9-229-9a-describe-what-environmental-variation-is,y9-229-9a-describe-what-environmental-variation-is,9A,biology,written-main,describe,2,Describe what environmental variation is.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A revision worksheet
open-answer-card,derived-y9-230-9a-give-three-examples-of-environmental-variation-in-plants,y9-230-9a-give-three-examples-of-environmental-variation-in-plants,9A,biology,written-recall,state,1,Give three examples of environmental variation in plants.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A revision worksheet
open-answer-card,derived-y9-231-9a-give-three-examples-of-environmental-variation-in-humans,y9-231-9a-give-three-examples-of-environmental-variation-in-humans,9A,biology,written-recall,state,1,Give three examples of environmental variation in humans.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A revision worksheet
open-answer-card,derived-y9-232-9a-define-classification,y9-232-9a-define-classification,9A,biology,written-main,explain,3,Why do scientists classify organisms using similarities and differences?,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A revision worksheet
open-answer-card,derived-y9-233-9a-define-species,y9-233-9a-define-species,9A,biology,written-main,explain,3,"Two animals can mate, but their offspring are not fertile. Why would scientists not count them as the same species?","Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A revision worksheet
open-answer-card,derived-y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,9A,biology,written-main,explain,3,Explain how environmental variation can cause problems with classification.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A revision worksheet
open-answer-card,derived-y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,9A,biology,written-main,describe,2,Describe what happens during fertilisation and what is formed.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A revision worksheet
open-answer-card,derived-y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,biology,written-main,describe,2,"Describe how chromosomes, DNA and genes are linked together.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A revision worksheet
open-answer-card,derived-y9-237-9a-state-three-ways-we-can-preserve-biodiversity,y9-237-9a-state-three-ways-we-can-preserve-biodiversity,9A,biology,written-recall,state,1,State three ways we can preserve biodiversity.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A revision worksheet
open-answer-card,derived-y9-238-9a-describe-natural-selection,y9-238-9a-describe-natural-selection,9A,biology,written-main,describe,2,Describe natural selection.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A revision worksheet
open-answer-card,derived-y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,9B,biology,written-recall,state,1,State where a plant gets the reactants it needs for photosynthesis.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B Plant Growth PPT progress check slide 14
open-answer-card,derived-y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,9B,biology,written-main,describe,2,Describe what happens to the products of photosynthesis.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B Plant Growth PPT progress check slide 14
open-answer-card,derived-y9-241-9b-describe-what-a-limiting-factor-is,y9-241-9b-describe-what-a-limiting-factor-is,9B,biology,written-main,describe,2,Describe what a limiting factor is.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B Plant Growth PPT progress check slide 14
open-answer-card,derived-y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,biology,written-main,state,2,Suggest when photosynthesis might occur in plants.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B Plant Growth PPT progress check slide 14
open-answer-card,derived-y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,9B,biology,written-main,describe,2,Describe the route water takes from soil to a leaf.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B Plant Growth PPT progress check slide 43
open-answer-card,derived-y9-244-9b-explain-the-structure-of-xylem-vessels,y9-244-9b-explain-the-structure-of-xylem-vessels,9B,biology,written-main,explain,3,Explain the structure of xylem vessels.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B Plant Growth PPT progress check slide 43
open-answer-card,derived-y9-245-9b-state-the-cells-that-control-gas-exchange-in-leaves,y9-245-9b-state-the-cells-that-control-gas-exchange-in-leaves,9B,biology,written-recall,state,1,State the cells that control gas exchange in leaves.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9B Plant Growth PPT progress check slide 48
open-answer-card,derived-y9-246-9b-suggest-why-stomata-shut-at-night,y9-246-9b-suggest-why-stomata-shut-at-night,9B,biology,written-main,explain,3,Suggest why stomata shut at night.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B Plant Growth PPT progress check slide 48
open-answer-card,derived-y9-247-9b-draw-or-describe-the-relationship-between-glucose-and-starch,y9-247-9b-draw-or-describe-the-relationship-between-glucose-and-starch,9B,biology,written-main,describe,2,Draw or describe the relationship between glucose and starch.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9B Plant Growth PPT progress check slide 62
open-answer-card,derived-y9-248-9b-suggest-why-seeds-need-starch,y9-248-9b-suggest-why-seeds-need-starch,9B,biology,written-main,explain,3,Suggest why seeds need starch.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9B Plant Growth PPT progress check slide 62
open-answer-card,derived-y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,9E,chemistry,written-recall,state,1,"Design-poster prompt: list what a Year 9 poster on ceramics, polymers and composites should include.","Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9E assess yourself
open-answer-card,derived-y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,9E,chemistry,written-main,explain,3,Explain how properties of ceramics link to bonding and structure.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9E assess yourself
open-answer-card,derived-y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,chemistry,written-main,explain,3,Explain why composites often have better properties than their separate materials.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9E assess yourself
open-answer-card,derived-y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,9E,chemistry,written-main,explain,3,Explain one environmental problem caused by making materials.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9E summary sheet / assess yourself
open-answer-card,derived-y9-253-9f-prepare-a-talk-what-should-be-included-on-extracting-iron-and-preventi,y9-253-9f-prepare-a-talk-what-should-be-included-on-extracting-iron-and-preventi,9F,chemistry,written-main,describe,5,Prepare a talk: what should be included on extracting iron and preventing rusting?,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9F assess yourself
open-answer-card,derived-y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,9F,chemistry,written-main,explain,3,Why is a metal oxide reduced when carbon extracts a metal?,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9F summary sheet / assess yourself
open-answer-card,derived-y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,9F,chemistry,written-main,explain,3,Explain why aluminium is extracted by electrolysis rather than carbon reduction.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9F quick quiz / summary sheet
open-answer-card,derived-y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,chemistry,written-main,explain,3,Explain why rusting is a problem and name two prevention methods.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9F assess yourself
open-answer-card,derived-y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,9I,physics,written-main,describe,2,"Describe how to raise a large upright stone using levers, moments and ramps.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9I assess yourself
open-answer-card,derived-y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,9I,physics,written-main,explain,3,Explain why a shallow ramp needs less force but more distance.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9I assess yourself / simple machines
open-answer-card,derived-y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,9I,physics,written-main,calculate,2,Calculate the weight of a 54 kg person on Earth where g = 10 N/kg.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation
open-answer-card,derived-y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,9I,physics,written-main,calculate,2,A 96 kg person is on a planet where g = 14 N/kg. Calculate weight.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation
open-answer-card,derived-y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,9I,physics,written-main,calculate,2,A person weighs 1220 N on Earth where g = 10 N/kg. Calculate mass.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation
open-answer-card,derived-y9-262-9j-describe-what-an-electromagnet-is-and-how-its-magnetic-field-is-shaped,y9-262-9j-describe-what-an-electromagnet-is-and-how-its-magnetic-field-is-shaped,9J,physics,written-main,describe,2,Describe what an electromagnet is and how its magnetic field is shaped.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9Je Electromagnets PPT
open-answer-card,derived-y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,physics,written-main,explain,3,How can the strength of an electromagnet be increased?,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9Je Electromagnets PPT
open-answer-card,derived-y9-264-9j-explain-how-a-relay-works,y9-264-9j-explain-how-a-relay-works,9J,physics,written-main,explain,3,Explain how a relay works.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9Je Electromagnets PPT / word sheet
open-answer-card,derived-y9-265-9j-describe-the-difference-between-current-and-voltage,y9-265-9j-describe-the-difference-between-current-and-voltage,9J,physics,written-main,describe,2,Describe the difference between current and voltage / potential difference.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9Jc Current Electricity PPT
open-answer-card,derived-y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,9J,physics,written-main,explain,3,Explain why plastic handles are safe on electrical wires.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9Jd Resistance PPT progress check
open-answer-card,derived-y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,physics,written-main,describe,2,Describe how to test whether resistance depends on wire length.,"Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9Jd Resistance PPT exam-style question
open-answer-card,derived-y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,9J,physics,written-main,calculate,2,Calculate weight: mass = 34 kg and gravitational field strength = 6.8 N/kg.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation
open-answer-card,derived-y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,9J,physics,written-main,calculate,2,A person has weight 686 N and mass 56 kg. Calculate gravitational field strength.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Ja Force Fields PPT Guardians calculation
open-answer-card,derived-y9-270-9j-a-component-has-voltage-10-v-and-current-0-5-a-calculate-resistance,y9-270-9j-a-component-has-voltage-10-v-and-current-0-5-a-calculate-resistance,9J,physics,written-main,calculate,2,A component has voltage 10 V and current 0.5 A. Calculate resistance.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Jd Resistance PPT modelled answer
open-answer-card,derived-y9-271-9j-a-resistor-has-voltage-6-v-and-current-0-2-a-calculate-resistance,y9-271-9j-a-resistor-has-voltage-6-v-and-current-0-2-a-calculate-resistance,9J,physics,written-main,calculate,2,A resistor has voltage 6 V and current 0.2 A. Calculate resistance.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9Jd Resistance formula practice
open-answer-card,derived-y9-272-9i-a-cyclist-travels-12-km-in-0-5-h-calculate-mean-speed,y9-272-9i-a-cyclist-travels-12-km-in-0-5-h-calculate-mean-speed,9I,physics,written-main,calculate,2,A cyclist travels 12 km in 0.5 h. Calculate mean speed.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9I speed summary / quick quiz style
open-answer-card,derived-y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,9I,physics,written-main,calculate,2,A force of 40 N moves a box 3 m. Calculate work done.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9I simple machines / work done
open-answer-card,derived-y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,9I,physics,written-main,calculate,2,A 5 N force acts 0.4 m from a pivot. Calculate the moment.,"Write the formula or method, substitute values, then give the answer with a unit or required rounding.",Write the equation or method. | Substitute the values and show working. | Give the final answer with the correct unit or rounding.,9I moments quick quiz style
open-answer-card,derived-y9x-001-9a-state-what-variation-is,y9x-001-9a-state-what-variation-is,9A,biology,written-recall,state,1,State what variation is.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A assess-yourself success criterion 01
open-answer-card,derived-y9x-002-9a-outline-why-dinosaurs-became-extinct,y9x-002-9a-outline-why-dinosaurs-became-extinct,9A,biology,written-main,explain,3,Outline why dinosaurs became extinct.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 02
open-answer-card,derived-y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,9A,biology,written-main,explain,3,"Use evidence to explain how scientists can infer something about Triceratops, such as whether it was prey.","Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A assess-yourself success criterion 03
open-answer-card,derived-y9x-004-9a-identify-examples-of-environmental-variation,y9x-004-9a-identify-examples-of-environmental-variation,9A,biology,written-main,identify,1,Identify examples of environmental variation.,"Use the labels, diagram or question clue to name the correct item(s). Keep the answer concise.","Look carefully at the label, diagram or clue. | Name the correct item(s), part(s) or feature(s). | Use letters/names clearly if the diagram uses labels.",9A assess-yourself success criterion 04
open-answer-card,derived-y9x-005-9a-identify-examples-of-inherited-variation,y9x-005-9a-identify-examples-of-inherited-variation,9A,biology,written-main,identify,1,Identify examples of inherited variation.,"Use the labels, diagram or question clue to name the correct item(s). Keep the answer concise.","Look carefully at the label, diagram or clue. | Name the correct item(s), part(s) or feature(s). | Use letters/names clearly if the diagram uses labels.",9A assess-yourself success criterion 05
