card_id,unit,type,asset,question,old_media
y9-107-9j-why-can-we-not-detect-static-charge-if-we-rub-a-metal-rod,9J,Quick quiz,assets/webp/9J-static-electricity-charge-transfer-blank-v3.webp,Why can we not detect static charge if we rub a metal rod?,
y9-219-9j-define-static-electricity,9J,Vocabulary,assets/webp/9J-static-electricity-charge-transfer-blank-v3.webp,Define: static electricity,
y9x-103-9j-explain-why-only-negative-charges-transfer-onto-an-insulating-material,9J,Progress check,assets/webp/9J-static-electricity-charge-transfer-blank-v3.webp,Explain why only negative charges transfer onto an insulating material.,
y9x-104-9j-explain-why-a-rubbed-polythene-rod-has-an-overall-negative-charge,9J,Progress check,assets/webp/9J-static-electricity-charge-transfer-blank-v3.webp,Explain why a rubbed polythene rod has an overall negative charge.,
y9x-105-9j-describe-how-charged-objects-attract-or-repel-each-other,9J,Progress check,assets/webp/9J-static-electricity-charge-transfer-blank-v3.webp,Describe how charged objects attract or repel each other.,
y9-117-9j-which-change-will-make-an-electromagnet-stronger,9J,Quick quiz,assets/webp/9J-electromagnet-strength-variables-blank-v3.webp,Which change will make an electromagnet stronger?,
y9-226-9j-define-electromagnet,9J,Vocabulary,assets/webp/9J-electromagnet-strength-variables-blank-v3.webp,Define: electromagnet,
y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,Progress check,assets/webp/9J-electromagnet-strength-variables-blank-v3.webp,How can the strength of an electromagnet be increased?,
y9r-079-9j-what-is-an-electromagnet,9J,Assess check,assets/webp/9J-electromagnet-strength-variables-blank-v3.webp,What is an electromagnet?,
y9r-080-9j-when-is-an-electromagnet-magnetic,9J,Assess check,assets/webp/9J-electromagnet-strength-variables-blank-v3.webp,When is an electromagnet magnetic?,
y9r-081-9j-give-three-ways-to-make-an-electromagnet-stronger,9J,Assess check,assets/webp/9J-electromagnet-strength-variables-blank-v3.webp,Give three ways to make an electromagnet stronger.,
y9-119-9j-a-wire-carrying-a-current-in-a-magnetic-field-experiences-a-force-how-,9J,Quick quiz,assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,A wire carrying a current in a magnetic field experiences a force. How can the force be made stronger?,
y9-120-9j-which-list-shows-the-parts-of-an-electric-motor,9J,Quick quiz,assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,Which list shows the parts of an electric motor?,
y9-228-9j-define-motor-effect,9J,Vocabulary,assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,Define: motor effect,
y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect,9J,Progress check,assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,"Predict how changing current, magnetic field strength or current direction affects a motor.",
y9r-082-9j-what-is-the-motor-effect,9J,Assess check,assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,What is the motor effect?,
y9r-083-9j-what-does-an-electric-motor-consist-of,9J,Assess check,assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,What does an electric motor consist of?,
y9r-084-9j-what-makes-the-coil-in-an-electric-motor-turn,9J,Assess check,assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,What makes the coil in an electric motor turn?,
y9r-085-9j-how-can-the-speed-of-the-motor-or-the-force-it-provides-be-increased,9J,Assess check,assets/webp/9J-motor-effect-simple-motor-blank-v3.webp,"How can the speed of the motor, or the force it provides, be increased?",
y9x-116-9j-describe-how-voltage-behaves-in-series-and-parallel-circuits,9J,Progress check,assets/webp/9J-potential-difference-series-parallel-blank-v2.webp,Describe how voltage / potential difference behaves in series and parallel circuits.,
y9x-115-9j-describe-how-current-behaves-in-series-and-parallel-circuits,9J,Progress check,assets/webp/9J-potential-difference-series-parallel-blank-v2.webp,Describe how current behaves in series and parallel circuits.,
y9-265-9j-describe-the-difference-between-current-and-voltage,9J,Progress check,assets/webp/9J-potential-difference-series-parallel-blank-v2.webp,Describe the difference between current and voltage / potential difference.,
y9r-035-9f-what-do-metals-that-react-with-dilute-acids-produce,9F,Assess check,assets/webp/9F-acids-alkalis-ph-scale-blank-v3.webp,What do metals that react with dilute acids produce?,
y9-065-9f-which-salt-is-formed-when-magnesium-reacts-with-dilute-nitric-acid,9F,Quick quiz,assets/webp/9F-acids-alkalis-ph-scale-blank-v3.webp,Which salt is formed when magnesium reacts with dilute nitric acid?,
