decision,reason_code,reason,id,unit,learningObjective,examCommand,examPool,examMarks,sourceFidelity,quality_score,question,answer,retained_anchor_id,retained_anchor_question
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-016-9b-name-some-common-crop-plants,9B,9B-plant-products,state,written-recall,1,success-criterion-derived,29,Name some common crop plants.,"Examples include wheat, lettuce, potatoes, maize, rice, barley, peas, beans, tomatoes and rapeseed.",y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,Give advantages and disadvantages of clearing land for farming.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-089-9b-recall-the-main-mineral-nutrients-plants-need,9B,9B-plant-products,state,written-recall,1,progress-check-derived,37,Recall the main mineral nutrients plants need.,"Important mineral nutrients include nitrates for proteins, phosphates for DNA/cell membranes/root growth, and potassium compounds for healthy growth and enzymes.",y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,Give advantages and disadvantages of clearing land for farming.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-019-9b-recall-the-resources-plants-need-to-grow-well,9B,9B-plant-products,state,written-recall,1,success-criterion-derived,37,Recall the resources plants need to grow well.,"Plants need light, carbon dioxide, oxygen for respiration, water, warmth and mineral ions such as nitrates.",y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,Give advantages and disadvantages of clearing land for farming.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-009-9b-what-is-cross-breeding,9B,9B-plant-products,state,written-recall,1,exact-source-answer,31,What is cross-breeding?,Two different varieties are bred together to try to produce offspring with characteristics from both varieties.,y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,Give advantages and disadvantages of clearing land for farming.
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9x-088-9b-describe-why-plants-are-cross-bred,9B,9B-plant-products,explain,written-main,3,progress-check-derived,70,Describe why plants are cross-bred.,"Plants are cross-bred to combine useful inherited characteristics, such as higher yield, disease resistance, better taste or drought tolerance.",y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,Explain how farming can change the carbon cycle.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-028-9b-describe-substances-made-in-plants-and-their-uses,9B,9B-plant-products,describe,written-main,2,success-criterion-derived,76,Describe substances made in plants and their uses.,"Plants make glucose for respiration, starch for storage, cellulose for cell walls, lipids for energy stores and proteins for growth/enzymes.",y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,Put the main stages of germination into a logical order.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9-247-9b-draw-or-describe-the-relationship-between-glucose-and-starch,9B,9B-plant-products,describe,written-main,2,progress-check-derived,76,Draw or describe the relationship between glucose and starch.,"Many glucose molecules join together to form starch, a storage carbohydrate. Starch can be broken back down into smaller sugars.",y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,Put the main stages of germination into a logical order.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-090-9b-explain-how-food-production-for-humans-can-be-increased,9B,9B-plant-products,explain,written-main,3,progress-check-derived,81,Explain how food production for humans can be increased.,"Food production can be increased using selective breeding, fertilisers, pest control, greenhouses, irrigation and choosing suitable crop varieties.",y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,Explain how farming can change the carbon cycle.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-100-9b-explain-why-changing-from-wheat-to-rapeseed-after-many-years-may-reduce-yield,9B,9B-plant-products,explain,written-main,3,progress-check-derived,81,Explain why changing from wheat to rapeseed after many years may reduce yield.,"The soil may be depleted of particular nutrients, pests or diseases may be present, and soil structure/biodiversity may have been affected by long-term monoculture.",y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,Explain how farming can change the carbon cycle.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-024-9b-explain-why-herbicides-or-weedkillers-are-used-on-crop-plants,9B,9B-plant-products,explain,written-main,3,success-criterion-derived,78,Explain why herbicides or weedkillers are used on crop plants.,"Herbicides kill weeds that compete with crops for light, water, mineral ions and space.",y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,Explain how farming can change the carbon cycle.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-023-9b-explain-why-insecticides-and-fungicides-are-used-on-crop-plants,9B,9B-plant-products,explain,written-main,3,success-criterion-derived,78,Explain why insecticides and fungicides are used on crop plants.,"Insecticides kill insect pests and fungicides kill fungal diseases, reducing damage and helping maintain crop yield.",y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,Explain how farming can change the carbon cycle.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-017-9b-explain-why-it-is-important-to-look-after-crop-plants,9B,9B-plant-products,explain,written-main,3,success-criterion-derived,78,Explain why it is important to look after crop plants.,"Healthy crops grow better and produce a higher yield, which provides more food and more income for the farmer.",y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,Explain how farming can change the carbon cycle.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-094-9b-explain-why-relying-on-one-crop-variety-can-be-risky,9B,9B-plant-products,explain,written-main,3,progress-check-derived,81,Explain why relying on one crop variety can be risky.,"A single variety may all be vulnerable to the same disease, pest or environmental change, so a whole crop can fail.",y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,Explain how farming can change the carbon cycle.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9-245-9b-state-the-cells-that-control-gas-exchange-in-leaves,9B,9B-plant-transport,state,written-recall,1,progress-check-derived,37,State the cells that control gas exchange in leaves.,Guard cells control the opening and closing of stomata.,y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,State where a plant gets the reactants it needs for photosynthesis.
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9-244-9b-explain-the-structure-of-xylem-vessels,9B,9B-plant-transport,explain,written-main,3,progress-check-derived,73,Explain the structure of xylem vessels.,"Xylem vessels are hollow tubes made from dead cells, strengthened to carry water and mineral ions up the plant.",y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,"Explain how leaves, roots and stems help photosynthesis."
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9-246-9b-suggest-why-stomata-shut-at-night,9B,9B-plant-transport,explain,written-main,3,progress-check-derived,73,Suggest why stomata shut at night.,"At night photosynthesis stops, so stomata can close to reduce water loss while gas exchange demand is lower.",y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,"Explain how leaves, roots and stems help photosynthesis."
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9r-011-9b-why-do-plants-need-magnesium-salts,9B,9B-plant-transport,explain,written-main,3,exact-source-answer,76,Why do plants need magnesium salts?,Magnesium salts are needed to make chlorophyll.,y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,"Explain how leaves, roots and stems help photosynthesis."
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9cgp-080-E-climate-bridge-how-can-cutting-fossil-fuel-use-help-reduce-global-warming,9E,9E-climate-bridge,explain,written-main,3,new-cgp-bridge-derived,76,How can cutting fossil fuel use help reduce global warming?,"Cutting fossil fuel use reduces carbon dioxide emissions, which can slow the increase in greenhouse gases.",y9cgp-077-E-climate-bridge-why-can-extra-greenhouse-gases-increase-global-temperature,Why can extra greenhouse gases increase global temperature?
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9cgp-083-E-climate-bridge-why-is-climate-change-more-than-just-one-hot-day,9E,9E-climate-bridge,explain,written-main,3,new-cgp-bridge-derived,76,Why is climate change more than just “one hot day”?,"Climate change means long-term changes in average conditions and patterns, not a single weather event.",y9cgp-077-E-climate-bridge-why-can-extra-greenhouse-gases-increase-global-temperature,Why can extra greenhouse gases increase global temperature?
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-041-9e-describe-problems-caused-by-disposal-of-artificial-polymers,9E,9E-environment,describe,written-main,2,success-criterion-derived,76,Describe problems caused by disposal of artificial polymers.,"Artificial polymers can take a very long time to break down, fill landfill, harm wildlife and create microplastic pollution.",y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,Describe pollution problems caused by burning fossil fuels.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-035-9e-explain-what-a-landfill-site-is-and-why-it-can-cause-problems,9E,9E-environment,explain,written-main,3,success-criterion-derived,78,Explain what a landfill site is and why it can cause problems.,"A landfill site is where waste is buried. Problems include land use, smells, pests, methane release, pollution and slow decay of plastics.",y9r-024-9e-give-two-reasons-why-recycling-materials-to-use-again-is-useful,Give two reasons why recycling materials to use again is useful.
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9cgp-052-E-heating-cooling-describe-conduction-using-particles,9E,9E-heating-cooling,describe,written-main,2,new-cgp-bridge-derived,66,Describe conduction using particles.,"In conduction, vibrating particles pass energy to neighbouring particles through bonds or collisions.",y9cgp-048-E-heating-cooling-what-happens-to-particles-in-a-solid-when-it-is-heated,What happens to particles in a solid when it is heated?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-037-9e-name-the-main-source-of-raw-materials-for-making-polymers,9E,9E-polymers,state,written-recall,1,success-criterion-derived,37,Name the main source of raw materials for making polymers.,Most synthetic polymers are made from chemicals obtained from crude oil or natural gas.,y9x-034-9e-name-common-conductors-and-insulators,Name common conductors and insulators.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-013-9f-what-is-thermal-decomposition,9F,9E-energy-thermal-peer-review,state,written-recall,1,exact-source-answer,31,What is thermal decomposition?,Breaking down a compound into simpler substances using heat.,y9r-018-9e-in-peer-review-what-do-scientists-check-in-a-paper,"In peer review, what do scientists check in a paper?"
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-015-9f-what-is-an-oxidising-agent,9F,9F-combustion-energy-rates,state,written-recall,1,exact-source-answer,31,What is an oxidising agent?,A substance that provides oxygen to oxidise another substance.,y9p-014-9f-what-energy-supply-do-thermal-decomposition-reactions-need-to-keep-going,What energy supply do thermal decomposition reactions need to keep going?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-046-9f-what-are-oxidation-reduction-and-redox,9F,9F-extraction,state,written-recall,1,exact-source-answer,42,"What are oxidation, reduction and redox?",Oxidation is the gain of oxygen. Reduction is the loss of oxygen. A redox reaction is when oxidation and reduction occur at the same time.,y9r-043-9f-where-do-most-metals-occur,Where do most metals occur?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-042-9f-what-is-a-displacement-reaction,9F,9F-extraction,state,written-recall,1,exact-source-answer,31,What is a displacement reaction?,In a displacement reaction a more reactive metal takes the place of a less reactive metal in a compound.,y9r-043-9f-where-do-most-metals-occur,Where do most metals occur?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-018-9f-what-is-a-redox-reaction,9F,9F-extraction,state,written-recall,1,exact-source-answer,31,What is a redox reaction?,A reaction in which one reactant is reduced and another is oxidised.,y9r-043-9f-where-do-most-metals-occur,Where do most metals occur?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-016-9f-what-is-a-reducing-agent,9F,9F-extraction,state,written-recall,1,exact-source-answer,31,What is a reducing agent?,A substance that removes oxygen from another substance.,y9r-043-9f-where-do-most-metals-occur,Where do most metals occur?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-020-9f-what-is-the-percentage-loss-or-gain-formula-from-the-revision-sheet,9F,9F-extraction,state,written-recall,1,exact-source-answer,42,What is the percentage loss or gain formula from the revision sheet?,actual change ÷ original amount × 100.,y9r-043-9f-where-do-most-metals-occur,Where do most metals occur?
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9x-059-9f-use-word-equations-to-describe-reactions,9F,9F-extraction,describe,written-main,2,success-criterion-derived,73,Use word equations to describe reactions.,Example: iron oxide + carbon monoxide → iron + carbon dioxide. Word equations show reactants changing into products.,y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,Describe how iron ore is obtained from mining.
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9p-017-9f-when-has-a-substance-been-reduced,9F,9F-extraction,state,written-main,1,exact-source-answer,61,When has a substance been reduced?,If a substance has lost oxygen then it has been reduced.,y9r-043-9f-where-do-most-metals-occur,Where do most metals occur?
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-060-9f-describe-the-reactivity-series-and-the-position-of-iron,9F,9F-extraction,describe,written-main,2,success-criterion-derived,73,Describe the reactivity series and the position of iron.,"The reactivity series ranks metals by reactivity. Iron is less reactive than carbon, so carbon can reduce iron oxide.",y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,Describe how iron ore is obtained from mining.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9cgp-068-F-periodic-table-bridge-give-two-general-properties-of-metals,9F,9F-periodic-table-bridge,state,written-recall,1,new-cgp-bridge-derived,27,Give two general properties of metals.,Metals are usually good electrical conductors and thermal conductors. Many are also shiny and malleable.,y9cgp-064-F-periodic-table-bridge-what-are-groups-and-periods-in-the-periodic-table,What are groups and periods in the periodic table?
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9x-068-9f-describe-the-formation-of-stainless-steel,9F,9F-rusting,describe,written-main,2,success-criterion-derived,76,Describe the formation of stainless steel.,Stainless steel is made by mixing iron with chromium and often nickel; chromium forms a protective oxide layer that resists corrosion.,y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,Describe sacrificial protection for preventing rusting.
retire_from_written_exam,project_style_prompt,"Project/talk/poster-style prompt is useful for study, but too broad for repeated written-exam selection.",y9-253-9f-prepare-a-talk-what-should-be-included-on-extracting-iron-and-preventi,9F,9F-rusting,describe,written-main,5,progress-check-derived,61,Prepare a talk: what should be included on extracting iron and preventing rusting?,"Include mining iron ore, blast furnace extraction, why carbon is used, properties/uses of iron and steel, rusting conditions, and rust-prevention methods.",y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,Describe sacrificial protection for preventing rusting.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-063-9i-what-is-work-done,9I,9I-energy-work,state,written-recall,1,exact-source-answer,31,What is work done?,Work is done when a force moves through a distance.,y9r-064-9i-what-is-the-formula-for-work-done,What is the formula for work done?
retire_from_written_exam,surplus_calculation_variant,Extra calculation variant; formula coverage and calculation practice remain represented by retained prompts.,y9x-143-9i-a-300-n-force-moves-a-load-4-m-calculate-the-work-done,9I,9I-energy-work,calculate,written-main,2,calculation-practice-derived,69,A 300 N force moves a load 4 m. Calculate the work done.,1200 J,y9x-144-9i-a-ramp-requires-1500-j-of-work-over-5-m-calculate-the-average-force,A ramp requires 1500 J of work over 5 m. Calculate the average force.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-048-9i-what-is-true-about-the-forces-on-an-object-moving-at-a-constant-speed,9I,9I-forces,state,written-recall,1,exact-source-answer,39,What is true about the forces on an object moving at a constant speed?,The forces on an object moving at a constant speed are balanced.,y9r-047-9i-what-can-forces-make-objects-do,What can forces make objects do?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-074-9i-state-what-a-moment-is-and-when-something-balances,9I,9I-moments,state,written-recall,1,success-criterion-derived,37,State what a moment is and when something balances.,A moment is the turning effect of a force. An object balances when clockwise and anticlockwise moments are equal and opposite.,y9r-062-9i-what-is-true-when-an-object-is-balanced,What is true when an object is balanced?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-059-9i-what-is-a-pivot-also-known-as,9I,9I-moments,state,written-recall,1,exact-source-answer,31,What is a pivot also known as?,A pivot is also known as a fulcrum.,y9r-062-9i-what-is-true-when-an-object-is-balanced,What is true when an object is balanced?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-060-9i-what-is-a-turning-force-called,9I,9I-moments,state,written-recall,1,exact-source-answer,31,What is a turning force called?,A turning force is called a moment.,y9r-062-9i-what-is-true-when-an-object-is-balanced,What is true when an object is balanced?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-061-9i-what-is-the-formula-for-moment,9I,9I-moments,state,written-recall,1,exact-source-answer,34,What is the formula for moment?,moment (in N m) = force (in N) × perpendicular distance from the pivot (m).,y9r-062-9i-what-is-true-when-an-object-is-balanced,What is true when an object is balanced?
retire_from_written_exam,surplus_calculation_variant,Extra calculation variant; formula coverage and calculation practice remain represented by retained prompts.,y9x-141-9i-a-force-of-200-n-acts-0-5-m-from-a-pivot-calculate-the-moment,9I,9I-moments,calculate,written-main,2,calculation-practice-derived,69,A force of 200 N acts 0.5 m from a pivot. Calculate the moment.,100 N m,y9img-005-9i-moment-balanced-missing-distance,Use the balanced lever diagram. Calculate the missing distance on the right-hand side.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9cgp-009-I-pressure-describe-how-atmospheric-pressure-changes-with-height,9I,9I-pressure,describe,written-main,2,new-cgp-bridge-derived,71,Describe how atmospheric pressure changes with height.,Atmospheric pressure decreases with height because there is less air above pushing down.,y9cgp-006-I-pressure-describe-how-liquid-pressure-changes-with-depth,Describe how liquid pressure changes with depth.
retire_from_written_exam,surplus_calculation_variant,Extra calculation variant; formula coverage and calculation practice remain represented by retained prompts.,y9cgp-005-I-pressure-a-force-of-60-n-produces-a-pressure-of-300-pa-calculate-the-,9I,9I-pressure,calculate,written-main,2,new-cgp-bridge-derived,70,A force of 60 N produces a pressure of 300 Pa. Calculate the area.,0.20 m²,y9img-001-9i-density-water-displacement-calculate-density,Use the measuring cylinders. Calculate the density of the object. Give your answer in g/cm³.
retire_from_written_exam,surplus_calculation_variant,Extra calculation variant; formula coverage and calculation practice remain represented by retained prompts.,y9cgp-004-I-pressure-calculate-the-pressure-when-a-120-n-force-acts-on-an-area-of,9I,9I-pressure,calculate,written-main,2,new-cgp-bridge-derived,67,Calculate the pressure when a 120 N force acts on an area of 0.50 m².,240 Pa,y9img-001-9i-density-water-displacement-calculate-density,Use the measuring cylinders. Calculate the density of the object. Give your answer in g/cm³.
retire_from_written_exam,surplus_calculation_variant,Extra calculation variant; formula coverage and calculation practice remain represented by retained prompts.,y9-272-9i-a-cyclist-travels-12-km-in-0-5-h-calculate-mean-speed,9I,9I-speed,calculate,written-main,2,calculation-practice-derived,69,A cyclist travels 12 km in 0.5 h. Calculate mean speed.,24 km/h,y9r-054-9i-what-is-the-relative-speed-of-a-car-travelling-at-50-km-h-compared-to-one-t,One car travels at 50 km/h and another travels at 30 km/h in the same direction. What is the relative speed?
retire_from_written_exam,surplus_calculation_variant,Extra calculation variant; formula coverage and calculation practice remain represented by retained prompts.,y9x-145-9i-a-cyclist-travels-at-6-m-s-for-20-s-calculate-the-distance-travelled,9I,9I-speed,calculate,written-main,2,calculation-practice-derived,69,A cyclist travels at 6 m/s for 20 s. Calculate the distance travelled.,120 m,y9r-054-9i-what-is-the-relative-speed-of-a-car-travelling-at-50-km-h-compared-to-one-t,One car travels at 50 km/h and another travels at 30 km/h in the same direction. What is the relative speed?
retire_from_written_exam,surplus_calculation_variant,Extra calculation variant; formula coverage and calculation practice remain represented by retained prompts.,y9x-140-9i-a-final-overland-section-is-5-km-at-1-km-h-calculate-the-time-taken,9I,9I-speed,calculate,written-main,2,calculation-practice-derived,69,A final overland section is 5 km at 1 km/h. Calculate the time taken.,5 h,y9r-054-9i-what-is-the-relative-speed-of-a-car-travelling-at-50-km-h-compared-to-one-t,One car travels at 50 km/h and another travels at 30 km/h in the same direction. What is the relative speed?
retire_from_written_exam,surplus_calculation_variant,Extra calculation variant; formula coverage and calculation practice remain represented by retained prompts.,y9x-138-9i-a-stone-is-moved-65-km-in-65-h-calculate-the-mean-speed,9I,9I-speed,calculate,written-main,2,calculation-practice-derived,69,A stone is moved 65 km in 65 h. Calculate the mean speed.,1 km/h,y9r-054-9i-what-is-the-relative-speed-of-a-car-travelling-at-50-km-h-compared-to-one-t,One car travels at 50 km/h and another travels at 30 km/h in the same direction. What is the relative speed?
