source_file,item_id,item_title_or_question,unit,media_index,media_src,exists,media_title,caption,presentation
year9-notes.js,9F-combustion-energy-rates,"Hydrocarbons, combustion, energy changes and rate",9F,0,assets/webp/9F-combustion-fire-triangle-notes.webp,yes,Combustion and the fire triangle,"Combustion needs fuel, heat and oxygen; removing one stops combustion.",media-image-base
year9-notes.js,9F-combustion-energy-rates,"Hydrocarbons, combustion, energy changes and rate",9F,1,assets/webp/9F-collision-theory-blank.webp,yes,Collision theory for reaction rate,Use this visual with the written note text: faster reactions have more successful collisions each second.,media-image-base
year9-notes.js,9F-rusting,Rusting and corrosion protection,9F,0,assets/webp/9F-rusting-protection.webp,yes,,Rusting needs water and oxygen; coatings or sacrificial metals can protect iron and steel.,
year9-notes.js,9I-forces,"Forces, drag and terminal velocity",9I,0,assets/webp/9I-forces-terminal-velocity-sequence.webp,yes,,"Terminal velocity happens when weight and air resistance are balanced, so speed becomes constant rather than zero.",
year9-notes.js,9I-forces,"Forces, drag and terminal velocity",9I,1,assets/webp/9I-falling-forces-parachutist-base.webp,yes,Forces on a falling object,,media-image-base
year9-notes.js,9I-energy-work,"Energy, work and simple machines",9I,0,assets/webp/9I-sankey-efficiency-notes.webp,yes,Sankey diagrams and efficiency,Sankey diagrams show where energy is transferred and how much is useful or wasted.,media-diagram-base
year9-notes.js,9I-speed,Speed and distance-time graphs,9I,0,assets/webp/9I-distance-time-graph-notes.webp,yes,Distance-time graphs,Use the slope of a distance-time graph to describe motion.,media-diagram-base
year9-notes.js,9I-speed-time-graphs,Speed-time graphs,9I,0,assets/webp/9I-speed-time-graph-notes.webp,yes,Speed-time graphs,Use line shape and speed value together when interpreting a speed-time graph.,media-diagram-base
year9-notes.js,9I-moments,"Levers, pivots and moments",9I,0,assets/webp/9I-lever-moment-context.webp,yes,,A longer distance from the pivot gives a larger moment for the same force. Moment = force × distance from the pivot.,
year9-notes.js,9I-moments,"Levers, pivots and moments",9I,1,assets/webp/9I-lever-comparison-three-setups.webp,yes,,Moving the pivot closer to the load makes the lever easier to use because the effort arm becomes longer.,media-image-base
year9-notes.js,9J-fields,"Force fields, gravity and magnetism",9J,0,assets/webp/9J-magnetic-field-pattern.webp,yes,,Field lines show the shape and direction of a magnetic field.,
year9-notes.js,9J-static,Static electricity and charge,9J,0,assets/webp/9J-static-electricity-charge-transfer.webp,yes,,Static electricity comes from charge transfer. Electrons move; like charges repel and opposite charges attract.,
year9-notes.js,9J-circuits,"Current, voltage and circuits",9J,0,assets/webp/9J-real-components-vs-symbols.webp,yes,,Use this chart to connect physical circuit equipment with the symbols used in circuit diagrams.,
year9-notes.js,9J-circuits,"Current, voltage and circuits",9J,1,assets/webp/9J-series-parallel-current-voltage.webp,yes,,Series circuits have the same current everywhere and share voltage. Parallel circuits split current between branches and have the same voltage across each branc,
year9-notes.js,9J-circuits,"Current, voltage and circuits",9J,2,assets/webp/9J-circuit-symbols-notes.webp,yes,Common circuit symbols,Use this to connect real components with standard circuit-symbol drawings.,media-diagram-base
year9-notes.js,9J-circuits,"Current, voltage and circuits",9J,3,assets/webp/9J-meter-placement-notes.webp,yes,Ammeter and voltmeter placement,This targets the most common meter-placement confusion.,media-diagram-base
year9-notes.js,9J-resistance,Resistance and Ohm’s law,9J,0,assets/webp/9E-conductors-insulators-materials.webp,yes,,"Copper is a good conductor; plastic, wood and rubber are high-resistance insulators.",
year9-notes.js,9J-resistance,Resistance and Ohm’s law,9J,1,assets/webp/9J-current-voltage-graphs-notes.webp,yes,Current-voltage graphs,Different components have different current-voltage graph shapes.,media-diagram-base
year9-notes.js,9J-wire-resistance-investigation,Wire resistance investigation,9J,0,assets/webp/9J-wire-resistance-investigation-notes.webp,yes,Wire resistance investigation,This supports method-writing questions about measuring wire resistance.,media-diagram-base
year9-notes.js,9J-rounding-numbers,Rounding numbers and significant figures,9J,0,assets/webp/science-formula-rearrange-guide-notes.webp,yes,Formula and calculation support,Use this as calculation support alongside significant figures and rounding.,media-diagram-base
year9-notes.js,9J-electromagnets,"Electromagnets, relays and motors",9J,0,assets/webp/9J-electromagnet-relay-motor-overview-base.webp,yes,"Electromagnets, relays and motors",Current in a coil makes an electromagnet; relays use electromagnets to switch circuits; the motor effect is a force on a current-carrying wire in a magnetic fie,media-image-base
year9-notes.js,9J-electromagnets,"Electromagnets, relays and motors",9J,1,assets/webp/9J-motor-effect-concept-labeled.webp,yes,Motor effect,"In the motor effect, a current-carrying wire in a magnetic field experiences a force.",media-image-base
year9-notes.js,9I-pressure,Pressure in fluids,9I,0,assets/webp/9I-pressure-fluids-notes.webp,yes,Pressure in fluids,This replaces the weak SVG with a stronger class-note concept visual.,media-image-base
year9-notes.js,9E-heating-cooling,Heating and cooling,9E,0,assets/webp/9E-heating-cooling-notes.webp,yes,Heating and cooling,"This links energy transfer, particles and changes of state.",media-image-base
year9-notes.js,9E-heating-cooling,Heating and cooling,9E,1,assets/webp/9E-thermal-conductors-insulators-notes.webp,yes,Thermal conductors and insulators,Use this to distinguish conductors and insulators in heating questions.,media-image-base
year9-notes.js,9F-periodic-table-bridge,Periodic table bridge,9F,0,assets/webp/9F-periodic-table-navigator-notes.webp,yes,Periodic table navigator,This supports periodic-table structure questions.,media-diagram-base
year9-notes.js,9E-climate-bridge,Climate and greenhouse gases,9E,0,assets/webp/9E-greenhouse-effect-notes.webp,yes,The greenhouse effect,This image-first visual replaces the weak greenhouse SVG.,media-image-base
year9-notes.js,9F-chemical-energy-bridge,Chemical energy bridge,9F,0,assets/webp/9F-exothermic-endothermic-notes.webp,yes,Exothermic vs endothermic,This supports energy-transfer wording for chemical reactions.,media-image-base
year9-content.js,y9-004-9a-what-sort-of-variation-is-shown-when-measurements-can-take-any-value-o,What sort of variation is shown when measurements can take any value over a rang,9A,0,assets/diagrams/9A-continuous-variation-question.svg,yes,,Use the shape and axes of the chart to answer the question.,
year9-content.js,y9-008-9a-the-overall-bell-shape-on-a-continuous-variation-chart-is-called,The overall bell shape on a continuous variation chart is called:,9A,0,assets/diagrams/9A-continuous-variation-question.svg,yes,,Use the shape and axes of the chart to answer the question.,
year9-content.js,y9-015-9a-which-feature-of-an-animal-suggests-that-it-is-prey-for-larger-animals,"Using the feature options, which feature suggests that an animal is prey for lar",9A,0,assets/webp/9A-prey-adaptation-base.webp,yes,,Compare the visible animal features.,media-image-base
year9-content.js,y9-021-9b-where-does-photosynthesis-occur-in-a-plant,"Using the labelled plant diagram, where does photosynthesis occur?",9B,0,assets/webp/9B-photosynthesis-plant-base.webp,yes,,Use the labelled plant parts to decide where photosynthesis occurs.,media-image-base
year9-content.js,y9-023-9b-what-does-a-photosynthesis-rate-graph-usually-show-as-light-intensity-,What does a photosynthesis-rate graph usually show as light intensity increases?,9B,0,assets/diagrams/9B-photosynthesis-light-graph-question.svg,yes,,Use the trend shown by the graph.,
year9-content.js,y9-028-9b-the-specialised-cell-with-a-long-projection-for-absorbing-water-from-s,The specialised cell with a long projection for absorbing water from soil is a:,9B,0,assets/webp/9B-root-hair-cell-base.webp,yes,,The long projection increases the surface area for absorbing water from soil.,media-image-base
year9-content.js,y9-037-9b-if-insecticide-is-sprayed-in-a-food-web-with-insects-eaten-by-wrens-wh,"If insecticide is sprayed in a food web with insects eaten by wrens, what is a l",9B,0,assets/diagrams/9B-food-web-question.svg,yes,,Use the food web to predict the effect of a change.,
year9-content.js,y9-044-9e-a-substance-with-a-high-melting-point-but-brittle-structure-is-best-re,Which particle diagram best represents a substance with a high melting point but,9E,0,assets/diagrams/9E-lattice-options-source-style-question.svg,yes,,Compare the particle arrangements.,
year9-content.js,y9-048-9e-vulcanisation-adds-cross-links-in-rubber-how-does-this-change-natural-,Vulcanisation adds cross-links in rubber. How does this change natural rubber?,9E,0,assets/webp/9E-vulcanisation-crosslinks-base.webp,yes,,Compare the structure before and after vulcanisation.,media-image-base
year9-content.js,y9-081-9i-for-a-falling-object-which-labels-best-match-the-forces-weight-downwar,"For a falling object, which labels best match the forces: weight downward and ai",9I,0,assets/webp/9I-falling-forces-base.webp,yes,,Match the upward and downward arrows to the force names.,media-image-base
year9-content.js,y9-088-9i-which-machine-is-more-efficient-in-a-sankey-diagram,Which machine is more efficient in a Sankey diagram?,9I,0,assets/webp/9I-sankey-efficiency-base.webp,yes,,Compare the size of the wasted-energy branch for each machine.,media-image-base
year9-content.js,y9-092-9i-on-a-distance-time-graph-which-section-shows-where-a-car-has-stopped,"On the distance–time graph, which labelled section shows where the car has stopp",9I,0,assets/diagrams/9I-distance-time-VWXYZ-question.svg,yes,,Use the labelled sections of the distance-time graph.,
year9-content.js,y9-093-9i-for-a-lever-the-pivot-is-also-called-the,"In the labelled lever diagram, what is label Y also called?",9I,0,assets/diagrams/9I-lever-XYZ-source-style-question.svg,yes,,Use the labels on the lever diagram.,
year9-content.js,y9-094-9i-which-lever-makes-it-easiest-to-move-a-heavy-rock,Which lever arrangement would make it easiest to move the heavy rock?,9I,0,assets/diagrams/9I-rock-lever-options-source-style-question.svg,yes,,Compare the lever arrangements.,
year9-content.js,y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,Identify adaptations of Triceratops that could be labelled on a model.,9A,0,assets/webp/9A-triceratops-model-base.webp,yes,,"Use the visible horns, frill, beak, tail, body and legs to identify adaptations.",media-image-base
year9-content.js,y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,Identify and explain Triceratops adaptations beyond the obvious labels.,9A,0,assets/webp/9A-triceratops-model-base.webp,yes,,"Use the visible horns, frill, beak, tail, body and legs to identify adaptations.",media-image-base
year9-content.js,y9x-069-9f-use-the-reactivity-series-which-metal-is-most-reactive,Use the reactivity series diagram. Which metal shown is the most reactive?,9F,0,assets/webp/9F-reactivity-series-question-safe-v2.webp,yes,,Use the order of the metals in the ladder to answer the question.,media-image-base
year9-content.js,y9x-070-9f-use-the-reactivity-series-which-metal-is-least-reactive,Use the reactivity series diagram. Which metal shown is the least reactive?,9F,0,assets/webp/9F-reactivity-series-question-safe-v2.webp,yes,,Use the order of the metals in the ladder to answer the question.,media-image-base
year9-content.js,y9x-071-9f-use-the-displacement-test-which-tube-is-most-likely-to-show-a-reaction,Use the displacement test diagram. Which labelled tube is most likely to show a ,9F,0,assets/diagrams/9F-displacement-reaction-question.svg,yes,,Use the metal and solution labels to decide whether displacement can happen.,
year9-content.js,y9x-072-9f-use-the-extraction-diagram-which-process-is-needed-for-a-metal-above-carbon,Use the extraction diagram. A metal above carbon usually needs which extraction ,9F,0,assets/webp/9F-extraction-methods-2panel.webp,yes,,Compare Process A and Process B.,media-image-base
year9-content.js,y9x-073-9f-use-the-extraction-diagram-which-process-can-often-extract-a-metal-below-carbon,Use the extraction diagram. A metal below carbon can often be extracted by:,9F,0,assets/webp/9F-extraction-methods-2panel.webp,yes,,Compare Process A and Process B.,media-image-base
year9-content.js,y9x-074-9f-use-the-blast-furnace-diagram-which-label-shows-the-hot-air-blast,Use the blast furnace diagram. Which label shows hot air being blown into the fu,9F,0,assets/webp/9F-blast-furnace-process-v2.webp,yes,,Use the labelled arrows to identify blast furnace inputs and outputs.,media-image-base
year9-content.js,y9x-075-9f-use-the-blast-furnace-diagram-which-label-shows-molten-material-being-tapped-out,Use the blast furnace diagram. Which label shows molten material being tapped ou,9F,0,assets/webp/9F-blast-furnace-process-v2.webp,yes,,Use the labelled arrows to identify blast furnace inputs and outputs.,media-image-base
year9-content.js,y9x-076-9f-use-the-process-diagram-which-process-uses-electricity,Use the extraction process diagram. Which process uses electricity?,9F,0,assets/webp/9F-extraction-methods-2panel.webp,yes,,Compare Process A and Process B.,media-image-base
year9-content.js,y9x-077-9f-use-the-process-diagram-in-carbon-reduction-what-is-removed-from-the-metal-oxide,"Use the extraction process diagram. In carbon reduction, what is removed from th",9F,0,assets/webp/9F-extraction-methods-2panel.webp,yes,,Compare Process A and Process B.,media-image-base
year9-content.js,y9x-078-9f-use-the-mass-gain-diagram-calculate-the-percentage-mass-gain,Use the mass gain diagram. Magnesium changes from 24 g to 40 g. What is the perc,9F,0,assets/diagrams/9F-percentage-mass-gain-question.svg,yes,,"Use actual change divided by original mass, then multiply by 100.",
year9-content.js,y9x-079-9f-use-the-mass-loss-diagram-calculate-the-percentage-mass-loss,Use the mass loss diagram. Copper oxide changes from 80 g to 64 g of copper. Wha,9F,0,assets/diagrams/9F-percentage-mass-loss-question.svg,yes,,"Use actual change divided by original mass, then multiply by 100.",
year9-content.js,y9x-080-9f-use-the-rusting-diagram-which-tube-will-rust-fastest,Use the rusting conditions diagram. Which tube should rust fastest?,9F,0,assets/diagrams/9F-rusting-conditions-question.svg,yes,,Compare the conditions needed for rusting.,
year9-content.js,y9x-081-9f-use-the-sacrificial-protection-diagram-which-pair-protects-iron-better,"Use the sacrificial protection diagram. Which pair should protect iron better, a",9F,0,assets/diagrams/9F-sacrificial-protection-question.svg,yes,,Use reactivity to decide which metal can act sacrificially.,
year9-content.js,y9x-076-9i-represent-part-of-a-journey-on-a-distance-time-graph,Represent part of a journey on a distance-time graph.,9I,0,assets/diagrams/9I-distance-time-graph-question.svg,yes,,Use the graph shape to represent the journey.,
year9-content.js,y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,Label the main processes in the carbon cycle.,9B,0,assets/diagrams/9B-carbon-cycle-source-style-question.svg,yes,,Use the labelled arrows to identify carbon-cycle processes.,
year9-content.js,y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,Explain how a current–voltage graph shows which resistor has the higher resistan,9J,0,assets/diagrams/9J-current-voltage-graph-question.svg,yes,,Use the slopes of the two current-voltage lines.,
year9-content.js,y9x-138-9j-match-common-circuit-symbols-to-their-component-names,"Use the circuit symbol grid. Match labels A–H to these components: cell, open sw",9J,0,assets/diagrams/9J-circuit-symbols-question.svg,yes,,Use the letter labels to identify the circuit components.,
year9-content.js,y9x-139-9j-which-label-shows-an-open-switch,Use the circuit symbol grid. Which label shows an open switch?,9J,0,assets/diagrams/9J-circuit-symbols-question.svg,yes,,Use the letter labels to identify the circuit components.,
year9-content.js,y9x-140-9j-which-label-shows-a-closed-switch,Use the circuit symbol grid. Which label shows a closed switch?,9J,0,assets/diagrams/9J-circuit-symbols-question.svg,yes,,Use the letter labels to identify the circuit components.,
year9-content.js,y9x-141-9j-which-label-shows-a-resistor,Use the circuit symbol grid. Which label shows a resistor?,9J,0,assets/diagrams/9J-circuit-symbols-question.svg,yes,,Use the letter labels to identify the circuit components.,
year9-content.js,y9x-142-9j-which-label-shows-a-voltmeter,Use the circuit symbol grid. Which label shows a voltmeter?,9J,0,assets/diagrams/9J-circuit-symbols-question.svg,yes,,Use the letter labels to identify the circuit components.,
year9-content.js,y9x-143-9j-which-label-shows-an-ammeter,Use the circuit symbol grid. Which label shows an ammeter?,9J,0,assets/diagrams/9J-circuit-symbols-question.svg,yes,,Use the letter labels to identify the circuit components.,
year9-content.js,y9x-144-9j-which-label-shows-a-motor,Use the circuit symbol grid. Which label shows a motor?,9J,0,assets/diagrams/9J-circuit-symbols-question.svg,yes,,Use the letter labels to identify the circuit components.,
year9-content.js,y9x-145-9j-which-circuit-is-parallel,Use the circuit diagrams. Which circuit is parallel?,9J,0,assets/webp/9J-series-parallel-circuits-symbols-base.webp,yes,,Compare the number of paths available for current in each circuit.,media-image-base
year9-content.js,y9x-146-9j-in-which-circuit-is-current-the-same-everywhere,Use the circuit diagrams. In which circuit is the current the same everywhere?,9J,0,assets/webp/9J-series-parallel-circuits-symbols-base.webp,yes,,Compare the number of paths available for current in each circuit.,media-image-base
year9-content.js,y9x-147-9j-in-which-circuit-does-current-split-between-branches,Use the circuit diagrams. In which circuit does current split between branches?,9J,0,assets/webp/9J-series-parallel-circuits-symbols-base.webp,yes,,Compare the number of paths available for current in each circuit.,media-image-base
year9-content.js,y9x-148-9j-compare-current-and-voltage-in-the-two-circuits,Use the circuit diagrams. Compare how current and voltage behave in Circuit A an,9J,0,assets/webp/9J-series-parallel-circuits-symbols-base.webp,yes,,Compare the number of paths available for current in each circuit.,media-image-base
year9-content.js,y9x-149-9j-where-should-an-ammeter-go-to-measure-current-through-the-lamp,Use the meter-placement diagram. Where should an ammeter go to measure the curre,9J,0,assets/diagrams/9J-meter-placement-question.svg,yes,,Decide whether the meter should be in the main loop or connected across the lamp.,
year9-content.js,y9x-150-9j-where-should-a-voltmeter-go-to-measure-potential-difference-across-the-lamp,Use the meter-placement diagram. Where should a voltmeter go to measure the pote,9J,0,assets/diagrams/9J-meter-placement-question.svg,yes,,Decide whether the meter should be in the main loop or connected across the lamp.,
year9-content.js,y9x-151-9j-use-the-magnet-diagram-which-arrow-shows-the-field-direction-on-the-top-field-line,Use the magnet diagram. Which labelled arrow shows the magnetic field direction ,9J,0,assets/diagrams/9J-magnetic-field-direction-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-152-9j-use-the-magnet-diagram-where-is-the-magnetic-field-strongest,Use the magnet diagram. At which labelled point is the magnetic field strongest?,9J,0,assets/diagrams/9J-magnetic-field-strength-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-153-9j-use-the-charge-pair-diagram-identify-which-pairs-repel-and-which-attract,Use the charge-pair diagram. Identify which labelled pairs repel and which label,9J,0,assets/diagrams/9J-static-charge-pairs-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-154-9j-use-the-charge-transfer-diagram-what-particle-has-moved-and-what-charge-does-the-rod-gain,"Use the charge-transfer diagram. What particle has moved, and what overall charg",9J,0,assets/diagrams/9J-charge-transfer-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-155-9j-use-the-electromagnet-diagram-match-labels-a-to-d-to-the-coil-core-cell-and-switch,"Use the electromagnet diagram. Match labels A–D to the coil of wire, iron core, ",9J,0,assets/diagrams/9J-electromagnet-parts-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-156-9j-which-change-would-make-the-electromagnet-in-the-diagram-stronger,Which change would make the electromagnet in the diagram stronger?,9J,0,assets/diagrams/9J-electromagnet-parts-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-157-9j-use-the-relay-diagram-match-labels-a-to-d-to-control-circuit-electromagnet-switch-and-load,"Use the relay diagram. Match labels A–D to the control circuit, electromagnet, s",9J,0,assets/webp/9J-relay-base.webp,yes,,Use the labelled relay diagram to answer the question.,media-image-base
year9-content.js,y9x-158-9j-use-the-relay-diagram-explain-why-a-relay-is-useful,Use the relay diagram. Explain why a relay is useful in an electrical system.,9J,0,assets/webp/9J-relay-base.webp,yes,,Use the labelled relay diagram to answer the question.,media-image-base
year9-content.js,y9x-159-9j-use-the-motor-effect-diagram-which-arrow-shows-the-force-on-the-wire,Use the motor-effect diagram. Which labelled arrow shows the force on the curren,9J,0,assets/diagrams/9J-motor-effect-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-160-9j-which-change-would-increase-the-force-in-the-motor-effect-diagram,Which change would increase the force in the motor-effect diagram?,9J,0,assets/diagrams/9J-motor-effect-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-161-9j-use-the-static-charge-diagram-which-labelled-pair-shows-two-negative-charges,Use the charge-pair diagram. Which labelled pair shows two negative charges?,9J,0,assets/diagrams/9J-static-charge-pairs-question.svg,yes,,Use the labelled diagram to answer the question.,
year9-content.js,y9x-162-9j-use-the-electromagnet-diagram-which-labelled-part-is-the-iron-core,Use the electromagnet diagram. Which labelled part is the iron core?,9J,0,assets/diagrams/9J-electromagnet-parts-question.svg,yes,,Use the labelled diagram to answer the question.,
