id,unit,domain,type,examCommand,examMarks,examPool,question,answer,source,sourceFidelity,mediaCount
y9x-002-9a-outline-why-dinosaurs-became-extinct,9A,biology,Assess check,explain,3,written-main,Outline why dinosaurs became extinct.,"Dinosaurs became extinct after major environmental change, probably linked to an asteroid impact and climate change, which disrupted food chains and habitats.",9A assess-yourself success criterion 02,success-criterion-derived,0
y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,9A,biology,Assess check,explain,3,written-main,"Use evidence to explain how scientists can infer something about Triceratops, such as whether it was prey.","Scientists use fossil evidence such as bones, bite marks, fossil position, skull shape and defensive structures to infer how Triceratops lived and interacted with predators.",9A assess-yourself success criterion 03,success-criterion-derived,0
y9x-004-9a-identify-examples-of-environmental-variation,9A,biology,Assess check,identify,1,written-main,Identify examples of environmental variation.,"Examples include suntan, scars, language spoken, fitness after training, plant height affected by light, and leaf size affected by water supply.",9A assess-yourself success criterion 04,success-criterion-derived,0
y9x-005-9a-identify-examples-of-inherited-variation,9A,biology,Assess check,identify,1,written-main,Identify examples of inherited variation.,"Examples include blood group, natural eye colour, natural hair colour, earlobe type and inherited body features controlled by genes.",9A assess-yourself success criterion 05,success-criterion-derived,0
y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,9A,biology,Assess check,explain,3,written-main,Explain how changes in an ecosystem can cause extinction.,"If food, habitat, climate, predators, competitors or disease pressures change too much, a species may fail to survive and reproduce, causing extinction.",9A assess-yourself success criterion 06,success-criterion-derived,0
y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,9A,biology,Assess check,identify,1,written-main,Identify adaptations of Triceratops that could be labelled on a model.,"Likely adaptations include horns for defence, a frill for protection or display, a strong beak for tough plants, grinding teeth, and powerful legs.",9A assess-yourself success criterion 07,success-criterion-derived,1
y9x-008-9a-explain-how-environmental-variation-is-caused,9A,biology,Assess check,explain,3,written-main,Explain how environmental variation is caused.,"Environmental variation is caused by surroundings and experiences, such as diet, climate, light, water, exercise, disease or injury.",9A assess-yourself success criterion 08,success-criterion-derived,0
y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,9A,biology,Assess check,describe,2,written-main,Outline how some variation is inherited from parents.,Inherited variation is caused by genetic information passed from parents to offspring in gametes during reproduction.,9A assess-yourself success criterion 09,success-criterion-derived,0
y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,9A,biology,Assess check,explain,3,written-main,Explain how Triceratops adaptations helped survival.,"Horns and frill could reduce predation risk, a beak and teeth helped feeding on tough plants, and strong legs supported a large body.",9A assess-yourself success criterion 10,success-criterion-derived,0
y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,9A,biology,Assess check,explain,3,written-main,Identify and explain Triceratops adaptations beyond the obvious labels.,"A large body could deter predators, eyes placed for awareness could help detect danger, and a strong neck could support the heavy skull and frill.",9A assess-yourself success criterion 11,success-criterion-derived,1
y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,9A,biology,Assess check,describe,2,written-main,"Describe the relationship between cells, nuclei, chromosomes, genes, DNA and genetic information.",Cells contain nuclei. Nuclei contain chromosomes. Chromosomes are made of DNA. Genes are sections of DNA that carry genetic information.,9A assess-yourself success criterion 12,success-criterion-derived,1
y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,9A,biology,Assess check,describe,2,written-main,Describe how variation in adaptations affects survival within a species.,"Individuals with better-suited adaptations are more likely to survive, reproduce and pass on their genes than less well-adapted individuals.",9A assess-yourself success criterion 13,success-criterion-derived,0
y9x-014-9a-state-what-evolution-is,9A,biology,Assess check,state,1,written-recall,State what evolution is.,Evolution is the gradual change in inherited characteristics of a population over many generations.,9A assess-yourself success criterion 14,success-criterion-derived,0
y9x-015-9a-explain-how-natural-selection-works,9A,biology,Assess check,explain,3,written-main,Explain how natural selection works.,Individuals vary; some inherited variations give an advantage; those individuals survive and reproduce more; useful genes become more common over generations.,9A assess-yourself success criterion 15,success-criterion-derived,0
y9x-016-9b-name-some-common-crop-plants,9B,biology,Assess check,state,1,written-recall,Name some common crop plants.,"Examples include wheat, lettuce, potatoes, maize, rice, barley, peas, beans, tomatoes and rapeseed.",9B assess-yourself success criterion 01,success-criterion-derived,0
y9x-017-9b-explain-why-it-is-important-to-look-after-crop-plants,9B,biology,Assess check,explain,3,written-main,Explain why it is important to look after crop plants.,"Healthy crops grow better and produce a higher yield, which provides more food and more income for the farmer.",9B assess-yourself success criterion 02,success-criterion-derived,0
y9x-018-9b-state-that-plants-make-their-own-food,9B,biology,Assess check,state,1,written-recall,State that plants make their own food.,"Plants make their own food by photosynthesis, producing glucose from carbon dioxide and water using light energy.",9B assess-yourself success criterion 03,success-criterion-derived,0
y9x-019-9b-recall-the-resources-plants-need-to-grow-well,9B,biology,Assess check,state,1,written-recall,Recall the resources plants need to grow well.,"Plants need light, carbon dioxide, oxygen for respiration, water, warmth and mineral ions such as nitrates.",9B assess-yourself success criterion 04,success-criterion-derived,0
y9x-020-9b-list-chemical-substances-farmers-may-apply-to-crops,9B,biology,Assess check,state,1,written-recall,List chemical substances farmers may apply to crops.,"Farmers may apply fertilisers, herbicides, insecticides, fungicides and other pesticides.",9B assess-yourself success criterion 05,success-criterion-derived,0
y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,9B,biology,Assess check,describe,2,written-main,"Describe photosynthesis in terms of reactants, products and energy source.",Photosynthesis uses carbon dioxide and water to make glucose and oxygen. Light energy powers the reaction and chlorophyll absorbs the light.,9B assess-yourself success criterion 06,success-criterion-derived,0
y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,9B,biology,Assess check,explain,3,written-main,"Explain how leaves, roots and stems help photosynthesis.","Leaves absorb light and exchange gases, roots absorb water and mineral ions, and stems/xylem transport water to the leaves.",9B assess-yourself success criterion 07,success-criterion-derived,1
y9x-023-9b-explain-why-insecticides-and-fungicides-are-used-on-crop-plants,9B,biology,Assess check,explain,3,written-main,Explain why insecticides and fungicides are used on crop plants.,"Insecticides kill insect pests and fungicides kill fungal diseases, reducing damage and helping maintain crop yield.",9B assess-yourself success criterion 08,success-criterion-derived,0
y9x-024-9b-explain-why-herbicides-or-weedkillers-are-used-on-crop-plants,9B,biology,Assess check,explain,3,written-main,Explain why herbicides or weedkillers are used on crop plants.,"Herbicides kill weeds that compete with crops for light, water, mineral ions and space.",9B assess-yourself success criterion 09,success-criterion-derived,0
y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,9B,biology,Assess check,explain,3,written-main,Explain how fertilisers help crop plants grow well.,"Fertilisers add mineral ions such as nitrates, phosphates and potassium compounds, which plants need for growth and making useful substances.",9B assess-yourself success criterion 10,success-criterion-derived,1
y9x-026-9b-use-word-equations-for-photosynthesis-and-aerobic-respiration,9B,biology,Assess check,state,2,written-main,Use word equations for photosynthesis and aerobic respiration.,Photosynthesis: carbon dioxide + water → glucose + oxygen. Aerobic respiration: glucose + oxygen → carbon dioxide + water.,9B assess-yourself success criterion 11,success-criterion-derived,0
y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,9B,biology,Assess check,explain,3,written-main,Explain what happens when plants lack water or mineral salts.,"Lack of water causes wilting and poor transport. Lack of mineral ions causes poor growth, yellow leaves or weak plants depending on the missing ion.",9B assess-yourself success criterion 12,success-criterion-derived,0
y9x-028-9b-describe-substances-made-in-plants-and-their-uses,9B,biology,Assess check,describe,2,written-main,Describe substances made in plants and their uses.,"Plants make glucose for respiration, starch for storage, cellulose for cell walls, lipids for energy stores and proteins for growth/enzymes.",9B assess-yourself success criterion 13,success-criterion-derived,0
y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,9B,biology,Assess check,explain,3,written-main,Explain that chlorophyll traps energy transferred by light.,"Chlorophyll absorbs light energy, which is transferred to the chemical reactions of photosynthesis.",9B assess-yourself success criterion 14,success-criterion-derived,0
y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,9B,biology,Assess check,explain,3,written-main,Explain how farming can change the carbon cycle.,"Clearing land, burning fuels, livestock, soil disturbance and harvesting can release carbon dioxide or reduce carbon stored in plants and soils.",9B assess-yourself success criterion 15,success-criterion-derived,1
y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,9B,biology,Assess check,explain,3,written-main,"Explain problems caused by fertilisers, including effects on fish in lakes.","Fertilisers can wash into lakes, causing algal blooms. Decomposition uses oxygen, so fish and other animals may suffocate.",9B assess-yourself success criterion 16,success-criterion-derived,0
y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,9B,biology,Assess check,explain,3,written-main,"Explain problems caused by pesticides, including persistent insecticides.",Pesticides can kill non-target organisms. Persistent insecticides may remain in food chains and build up in predators.,9B assess-yourself success criterion 17,success-criterion-derived,0
y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,9B,biology,Assess check,describe,2,written-main,Describe how limiting factors stop photosynthesis rate increasing.,"When light, carbon dioxide, water, temperature or chlorophyll becomes limiting, increasing other factors no longer increases photosynthesis rate.",9B assess-yourself success criterion 18,success-criterion-derived,1
y9x-034-9e-name-common-conductors-and-insulators,9E,chemistry,Assess check,state,1,written-recall,Name common conductors and insulators.,"Common conductors include metals such as copper and aluminium. Common insulators include plastic, rubber, glass, ceramics and dry wood.",9E assess-yourself success criterion 01,success-criterion-derived,1
y9x-035-9e-explain-what-a-landfill-site-is-and-why-it-can-cause-problems,9E,chemistry,Assess check,explain,3,written-main,Explain what a landfill site is and why it can cause problems.,"A landfill site is where waste is buried. Problems include land use, smells, pests, methane release, pollution and slow decay of plastics.",9E assess-yourself success criterion 02,success-criterion-derived,0
y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,9E,chemistry,Assess check,state,1,written-recall,"Name examples of ceramic, polymer and composite materials.","Ceramics: glass, brick, porcelain. Polymers: polythene, PVC, nylon. Composites: concrete, fibreglass, carbon fibre composite.",9E assess-yourself success criterion 03,success-criterion-derived,0
y9x-037-9e-name-the-main-source-of-raw-materials-for-making-polymers,9E,chemistry,Assess check,state,1,written-recall,Name the main source of raw materials for making polymers.,Most synthetic polymers are made from chemicals obtained from crude oil or natural gas.,9E assess-yourself success criterion 04,success-criterion-derived,0
y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,9E,chemistry,Assess check,describe,2,written-main,Describe the difference between biodegradable and non-biodegradable polymers.,Biodegradable polymers can be broken down by microorganisms; non-biodegradable polymers do not break down easily and persist in the environment.,9E assess-yourself success criterion 05,success-criterion-derived,0
y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,9E,chemistry,Assess check,describe,2,written-main,Describe pollution problems caused by burning fossil fuels.,"Burning fossil fuels releases carbon dioxide, sulfur dioxide, nitrogen oxides and particulates, contributing to climate change, acid rain and poor air quality.",9E assess-yourself success criterion 06,success-criterion-derived,0
y9x-040-9e-describe-what-a-composite-material-is,9E,chemistry,Assess check,describe,2,written-main,Describe what a composite material is.,A composite is made from two or more materials combined so the final material has useful properties from both.,9E assess-yourself success criterion 07,success-criterion-derived,1
y9x-041-9e-describe-problems-caused-by-disposal-of-artificial-polymers,9E,chemistry,Assess check,describe,2,written-main,Describe problems caused by disposal of artificial polymers.,"Artificial polymers can take a very long time to break down, fill landfill, harm wildlife and create microplastic pollution.",9E assess-yourself success criterion 08,success-criterion-derived,0
y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,9E,chemistry,Assess check,explain,3,written-main,Explain the causes and problems of acid rain and the greenhouse effect.,Acid rain is caused by acidic gases such as sulfur dioxide and nitrogen oxides; it damages ecosystems and buildings. The greenhouse effect is increased by greenhouse gases and can cause global warming.,9E assess-yourself success criterion 09,success-criterion-derived,1
y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,chemistry,Assess check,describe,3,written-main,"Link uses of ceramics, polymers and composites to their properties.","Materials are chosen because their properties fit the job: ceramics are hard/heat resistant, polymers are light/flexible, and composites can be strong and light.",9E assess-yourself success criterion 10,success-criterion-derived,1
y9x-044-9e-describe-how-polymers-are-formed-from-monomers,9E,chemistry,Assess check,describe,2,written-main,Describe how polymers are formed from monomers.,Many small monomer molecules join together in polymerisation to form long-chain polymer molecules.,9E assess-yourself success criterion 11,success-criterion-derived,1
y9x-045-9e-identify-thermal-decomposition-reactions,9E,chemistry,Assess check,identify,1,written-main,Identify thermal decomposition reactions.,Thermal decomposition is when a compound breaks down into simpler substances when heated.,9E assess-yourself success criterion 12,success-criterion-derived,1
y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,9E,chemistry,Assess check,explain,3,written-main,Explain advantages of recycling with specific examples.,"Recycling saves raw materials and energy, reduces landfill and can reduce pollution; for example, recycling aluminium uses less energy than extracting new aluminium.",9E assess-yourself success criterion 13,success-criterion-derived,1
y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,9E,chemistry,Assess check,explain,2,written-main,"Justify using a ceramic, polymer or composite for a particular use.","Choose the material by matching properties to the use, such as using concrete for compressive strength or fibreglass for light, corrosion-resistant panels.",9E assess-yourself success criterion 14,success-criterion-derived,0
y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,9E,chemistry,Assess check,explain,3,written-main,Explain how crystal size depends on cooling speed.,Slow cooling gives particles more time to form larger crystals; fast cooling produces smaller crystals.,9E assess-yourself success criterion 15,success-criterion-derived,0
y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,9E,chemistry,Assess check,explain,3,written-main,Explain how properties of a material depend on bonding and structure.,"Strong bonds and rigid structures often give hardness and high melting point; chain length, cross-linking, fibres and layers affect strength and flexibility.",9E assess-yourself success criterion 16,success-criterion-derived,0
y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,chemistry,Assess check,identify,2,written-main,Classify exothermic and endothermic reactions by temperature change and energy transfer.,Exothermic reactions transfer energy to the surroundings and temperature rises. Endothermic reactions take energy from surroundings and temperature falls.,9E assess-yourself success criterion 17,success-criterion-derived,1
y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,9E,chemistry,Assess check,explain,3,written-main,Explain biomagnification of toxins through food chains.,"Persistent toxins can accumulate in organisms and become more concentrated at higher trophic levels, harming top predators most.",9E assess-yourself success criterion 18,success-criterion-derived,1
y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,chemistry,Assess check,explain,3,written-main,Suggest ways to reduce global warming and acid rain impacts.,"Use less fossil fuel, use renewable energy, remove sulfur from fuels, fit scrubbers to chimneys, improve efficiency, recycle and protect forests.",9E assess-yourself success criterion 19,success-criterion-derived,1
y9x-053-9f-describe-what-causes-rusting,9F,chemistry,Assess check,describe,2,written-main,Describe what causes rusting.,Rusting happens when iron or steel reacts with oxygen and water to form hydrated iron oxide.,9F assess-yourself success criterion 01,success-criterion-derived,1
