id,unit,noteId,type,level,question,answer,source,sourceFidelity,sourceExcerpt
y9r-011-9b-why-do-plants-need-magnesium-salts,9B,9B-plant-transport,Assess check,1,Why do plants need magnesium salts?,Magnesium salts are needed to make chlorophyll.,9B Summary sheet p1 Getting water,exact-source-answer,magnesium salts are needed to make chlorophyll.
y9r-012-9b-where-does-most-photosynthesis-happen-in-leaves,9B,9B-photosynthesis,Assess check,2,Where does most photosynthesis happen in leaves?,"Most photosynthesis happens in the palisade cells, which are found near the upper surface of leaves.",9B Summary sheet p1 Getting light,exact-source-answer,"Most photosynthesis happens in the palisade cells, which are found near the upper surface of leaves."
y9r-013-9e-what-do-exothermic-reactions-do-to-the-surroundings,9E,9E-energy-thermal-peer-review,Assess check,2,What do exothermic reactions do to the surroundings?,Exothermic reactions transfer energy into the surroundings and so increase the temperature around them.,9E Summary sheet p2 Endothermic and exothermic reactions,exact-source-answer,Exothermic reactions transfer energy into the surroundings and so increase the temperature around them.
y9r-014-9e-what-do-endothermic-reactions-do-to-the-surroundings,9E,9E-energy-thermal-peer-review,Assess check,2,What do endothermic reactions do to the surroundings?,Endothermic reactions transfer energy from the surroundings and so decrease the temperature around them.,9E Summary sheet p2 Endothermic and exothermic reactions,exact-source-answer,Endothermic reactions transfer energy from the surroundings and so decrease the temperature around them.
y9r-015-9e-give-an-example-of-an-endothermic-reaction-from-the-revision-sheet,9E,9E-energy-thermal-peer-review,Assess check,2,Give an example of an endothermic reaction from the revision sheet.,Thermal decomposition reactions.,9E Summary sheet p2 Endothermic and exothermic reactions,exact-source-answer,"Endothermic reactions transfer energy from the surroundings and so decrease the temperature around them, e.g. thermal decomposition reactions."
y9r-016-9e-what-do-the-state-symbols-s-l-g-and-aq-mean,9E,9E-energy-thermal-peer-review,Assess check,2,"What do the state symbols s, l, g and aq mean?","s = solid, l = liquid, g = gas, aq = dissolved in water.",9E Summary sheet p2 Endothermic and exothermic reactions,exact-source-answer,"state symbols: s = solid, l = liquid, g = gas, aq = dissolved in water"
y9r-017-9e-what-is-made-when-calcium-carbonate-thermally-decomposes,9E,9E-energy-thermal-peer-review,Assess check,2,What is made when calcium carbonate thermally decomposes?,Calcium oxide and carbon dioxide.,9E Summary sheet p2 Thermal decomposition equation,exact-source-answer,calcium carbonate → calcium oxide + carbon dioxide
y9r-018-9e-in-peer-review-what-do-scientists-check-in-a-paper,9E,9E-energy-thermal-peer-review,Assess check,2,"In peer review, what do scientists check in a paper?","They check that the paper has valid conclusions, that it is original and that the experiments work.",9E Summary sheet p2 Peer review,exact-source-answer,"The scientists evaluate the paper; they check that the paper has valid conclusions, that it is original and that the experiments work."
y9r-019-9e-after-peer-review-what-can-a-paper-be-recommended-for,9E,9E-energy-thermal-peer-review,Assess check,2,"After peer review, what can a paper be recommended for?","Publication, amendment or rejection.",9E Summary sheet p2 Peer review,exact-source-answer,"Depending on the review, the paper is recommended for publication, amendment or rejection."
y9r-020-9e-how-are-metals-recycled-according-to-the-revision-sheet,9E,9E-recycling-methods,Assess check,1,"How are metals recycled, according to the revision sheet?",By separating and melting.,9E Summary sheet p2 Recycling materials,exact-source-answer,Metals – by separating and melting.
y9r-021-9e-how-is-glass-recycled-according-to-the-revision-sheet,9E,9E-recycling-methods,Assess check,1,"How is glass recycled, according to the revision sheet?",By separating colours and melting.,9E Summary sheet p2 Recycling materials,exact-source-answer,Glass – by separating colours and melting.
y9r-022-9e-how-is-paper-recycled-according-to-the-revision-sheet,9E,9E-recycling-methods,Assess check,1,"How is paper recycled, according to the revision sheet?",By removing ink and adding water to make a pulp.,9E Summary sheet p2 Recycling materials,exact-source-answer,Paper – by removing ink and adding water to make a pulp.
y9r-023-9e-how-is-concrete-recycled-according-to-the-revision-sheet,9E,9E-recycling-methods,Assess check,1,"How is concrete recycled, according to the revision sheet?",By crushing and grading.,9E Summary sheet p2 Recycling materials,exact-source-answer,Concrete – by crushing and grading.
y9r-024-9e-give-two-reasons-why-recycling-materials-to-use-again-is-useful,9E,9E-environment,Assess check,2,Give two reasons why recycling materials to use again is useful.,It reduces our use of landfill sites and reduces the need to burn fossil fuels. It can also reduce pollution and save raw materials.,9E Summary sheet p2 Recycling materials,exact-source-answer,Recycling materials to use again … reduces our use of landfill sites; reduces the need to burn fossil fuels; reduces pollution from manufacturing process; saves our resources of raw materials.
y9r-025-9e-what-is-biomagnification,9E,9E-environment,Assess check,2,What is biomagnification?,"As large animals eat lots of smaller animals, toxin levels increase and can reach harmful levels in humans.",9E Summary sheet p2 Problems with materials,exact-source-answer,"As large animals eat lots of smaller animals, toxin levels increase (biomagnification) and can reach harmful levels in humans."
y9r-026-9f-in-reactions-and-physical-changes-what-happens-to-the-number-of-atoms,9F,9F-changes,Assess check,2,"In reactions and physical changes, what happens to the number of atoms?",The number of atoms does not change and so there is no overall change in mass.,9F Summary sheet p1 Reactions and equations,exact-source-answer,"In both cases, the number of atoms does not change and so there is no overall change in mass."
y9r-027-9f-what-do-the-large-numbers-in-an-equation-show,9F,9F-changes,Assess check,2,What do the large numbers in an equation show?,The large numbers show the number of molecules.,9F Summary sheet p1 Reactions and equations,exact-source-answer,The large numbers show the number of molecules.
y9r-028-9f-what-do-the-letters-in-brackets-in-an-equation-show,9F,9F-changes,Assess check,2,What do the letters in brackets in an equation show?,"The letters in brackets are state symbols (g = gas, l = liquid, s = solid, aq = dissolved in water).",9F Summary sheet p1 Reactions and equations,exact-source-answer,"The letters in brackets are state symbols (g = gas, l = liquid, s = solid, aq = dissolved in water)."
y9r-029-9f-what-does-an-atom-contain,9F,9F-atomic-structure-periodic-table,Assess check,2,What does an atom contain?,Atoms contain neutrons and protons in a central nucleus and electrons around the outside of the nucleus.,9F Summary sheet p2 Atomic structure,exact-source-answer,Atoms contain neutrons and protons (in a central nucleus) and electrons around the outside of the nucleus.
y9r-030-9f-what-is-the-atomic-number-or-proton-number,9F,9F-atomic-structure-periodic-table,Assess check,1,What is the atomic number or proton number?,The number of protons is the atomic number or proton number.,9F Summary sheet p2 Atomic structure,exact-source-answer,The number of protons is the atomic number or proton number.
y9r-031-9f-how-are-elements-arranged-in-the-periodic-table,9F,9F-atomic-structure-periodic-table,Assess check,2,How are elements arranged in the periodic table?,Elements are arranged in order of atomic number in the periodic table.,9F Summary sheet p2 Atomic structure,exact-source-answer,Elements are arranged in order of atomic number in the periodic table.
y9r-032-9f-what-is-the-mass-number-of-an-atom,9F,9F-atomic-structure-periodic-table,Assess check,2,What is the mass number of an atom?,The number of neutrons and the number of protons in an atom is its mass number.,9F Summary sheet p2 Atomic structure,exact-source-answer,The number of neutrons and the number of protons in an atom is its mass number.
y9r-033-9f-what-are-groups-and-periods-in-the-periodic-table,9F,9F-atomic-structure-periodic-table,Assess check,1,What are groups and periods in the periodic table?,The vertical columns in the periodic table are groups and the rows are periods.,9F Summary sheet p2 Atomic structure,exact-source-answer,The vertical columns in the periodic table are groups and the rows are periods.
y9r-034-9f-what-do-metals-that-react-with-water-produce,9F,9F-reactivity,Assess check,2,What do metals that react with water produce?,The metals that react with water produce a metal hydroxide and hydrogen.,9F Summary sheet p1 The reactivity series,exact-source-answer,The metals that react with water produce a metal hydroxide and hydrogen.
y9r-035-9f-what-do-metals-that-react-with-dilute-acids-produce,9F,9F-reactivity,Assess check,2,What do metals that react with dilute acids produce?,The metals that react with dilute acids produce a salt and hydrogen.,9F Summary sheet p1 The reactivity series,exact-source-answer,The metals that react with dilute acids produce a salt and hydrogen.
y9r-036-9f-what-is-an-oxidation-reaction-in-the-reactivity-series-section,9F,9F-reactivity,Assess check,2,What is an oxidation reaction in the reactivity-series section?,Most metals react with oxygen from the air to form metal oxides. This is an oxidation reaction.,9F Summary sheet p1 The reactivity series,exact-source-answer,Most metals react with oxygen from the air to form metal oxides. This is an oxidation reaction.
y9r-037-9f-what-is-a-hydrocarbon,9F,9F-combustion-energy-rates,Assess check,1,What is a hydrocarbon?,A hydrocarbon contains hydrogen and carbon only.,9F Summary sheet p3 Hydrocarbons,exact-source-answer,These substances contain hydrogen and carbon only.
y9r-038-9f-what-is-the-word-equation-for-complete-combustion-of-a-hydrocarbon,9F,9F-combustion-energy-rates,Assess check,2,What is the word equation for complete combustion of a hydrocarbon?,hydrocarbon + oxygen → carbon dioxide + water,9F Summary sheet p3 Hydrocarbons,exact-source-answer,hydrocarbon + oxygen → carbon dioxide + water
y9r-039-9f-what-is-the-test-for-oxygen,9F,9F-combustion-energy-rates,Assess check,1,What is the test for oxygen?,The test for oxygen is that it relights a glowing splint.,9F Summary sheet p3 Hydrocarbons,exact-source-answer,The test for oxygen is that it relights a glowing splint.
y9r-040-9f-why-is-an-input-of-energy-from-a-flame-or-spark-needed-to-start-combustion,9F,9F-combustion-energy-rates,Assess check,2,Why is an input of energy from a flame or spark needed to start combustion?,It is needed to start the combustion reaction by breaking some bonds in the reactants.,9F Summary sheet p3 Hydrocarbons,exact-source-answer,An input of energy from a flame or spark is needed to start the combustion reaction by breaking some bonds in the reactants.
y9r-041-9f-what-increases-the-rate-of-reaction-according-to-the-revision-sheet,9F,9F-combustion-energy-rates,Assess check,2,"What increases the rate of reaction, according to the revision sheet?","Increased temperature, increased concentration of a reactant and increased surface area of a reactant.",9F Summary sheet p3 Rates of reaction,exact-source-answer,"The rate is also often increased by increased temperature, increased concentration of a reactant and increased surface area of a reactant."
y9r-042-9f-what-is-a-displacement-reaction,9F,9F-extraction,Assess check,1,What is a displacement reaction?,In a displacement reaction a more reactive metal takes the place of a less reactive metal in a compound.,9F Summary sheet p3 Displacement reactions,exact-source-answer,In a displacement reaction a more reactive metal takes the place of a less reactive metal in a compound.
y9r-043-9f-where-do-most-metals-occur,9F,9F-extraction,Assess check,2,Where do most metals occur?,"Most metals occur as compounds called minerals, which are found in rocks called ores in the Earth’s crust.",9F Summary sheet p3 Extracting metals,exact-source-answer,"Most metals occur as compounds called minerals, which are found in rocks called ores (in the Earth’s crust)."
y9r-044-9f-which-metals-can-be-extracted-from-their-ores-by-heating-with-carbon,9F,9F-extraction,Assess check,2,Which metals can be extracted from their ores by heating with carbon?,Metals from zinc downwards in the reactivity series can be extracted from their ores by heating with carbon.,9F Summary sheet p3 Extracting metals,exact-source-answer,Metals from zinc downwards in the reactivity series can be extracted from their ores by heating with carbon.
y9r-045-9f-which-metals-need-electrolysis-to-extract-them-from-their-ores,9F,9F-extraction,Assess check,2,Which metals need electrolysis to extract them from their ores?,Metals above zinc in the reactivity series need electrolysis to extract them from their ores.,9F Summary sheet p3 Extracting metals,exact-source-answer,Metals above zinc in the reactivity series need electrolysis to extract them from their ores.
y9r-046-9f-what-are-oxidation-reduction-and-redox,9F,9F-extraction,Assess check,3,"What are oxidation, reduction and redox?",Oxidation is the gain of oxygen. Reduction is the loss of oxygen. A redox reaction is when oxidation and reduction occur at the same time.,9F Summary sheet p3 Extracting metals,exact-source-answer,Oxidation is the gain of oxygen. Reduction is the loss of oxygen. A redox reaction is when oxidation and reduction occur at the same time.
y9r-047-9i-what-can-forces-make-objects-do,9I,9I-forces,Assess check,1,What can forces make objects do?,"Forces can make objects speed up, slow down or change direction.",9I Summary sheet p1 Forces and motion,exact-source-answer,"Forces can make objects speed up, slow down or change direction."
y9r-048-9i-what-is-true-about-the-forces-on-an-object-moving-at-a-constant-speed,9I,9I-forces,Assess check,1,What is true about the forces on an object moving at a constant speed?,The forces on an object moving at a constant speed are balanced.,9I Summary sheet p1 Forces and motion,exact-source-answer,The forces on an object moving at a constant speed are balanced.
y9r-049-9i-what-happens-to-air-resistance-as-a-falling-object-gets-faster,9I,9I-forces,Assess check,1,What happens to air resistance as a falling object gets faster?,As it gets faster the air resistance increases.,9I Summary sheet p1 Forces and motion,exact-source-answer,As it gets faster the air resistance increases.
y9r-050-9i-what-has-happened-when-a-falling-object-reaches-terminal-velocity,9I,9I-forces,Assess check,2,What has happened when a falling object reaches terminal velocity?,"The air resistance balances the weight, so the object cannot fall any faster.",9I Summary sheet p1 Forces and motion,exact-source-answer,Eventually the air resistance increases so much that it balances the weight. When this happens the object cannot fall any faster. It has reached its terminal velocity.
y9r-051-9i-how-do-you-convert-a-speed-in-m-s-to-km-h,9I,9I-speed,Assess check,2,How do you convert a speed in m/s to km/h?,Divide by 1000 then multiply by 3600.,9I Summary sheet p1 Speed,exact-source-answer,You can convert a speed in m/s to km/h by dividing by 1000 then multiplying by 3600.
y9r-052-9i-how-do-you-convert-a-speed-in-km-h-to-m-s,9I,9I-speed,Assess check,2,How do you convert a speed in km/h to m/s?,Multiply by 1000 then divide by 3600.,9I Summary sheet p1 Speed,exact-source-answer,"To convert a speed in km/h to m/s, multiply by 1000 then divide by 3600."
y9r-053-9i-what-is-mean-speed,9I,9I-speed,Assess check,1,What is mean speed?,The mean (average) speed is the total distance travelled divided by the total time taken.,9I Summary sheet p1 Speed,exact-source-answer,The mean (average) speed is the total distance travelled divided by the total time taken.
y9r-054-9i-what-is-the-relative-speed-of-a-car-travelling-at-50-km-h-compared-to-one-t,9I,9I-speed,Assess check,2,What is the relative speed of a car travelling at 50 km/h compared to one travelling at 30 km/h?,20 km/h.,9I Summary sheet p1 Speed,exact-source-answer,A car travelling at 50 km/h overtakes one travelling at 30 km/h. The relative speed of the faster car compared to the slower car is 20 km/h.
y9r-055-9i-what-does-a-speed-time-graph-show,9I,9I-speed-time-graphs,Assess check,1,What does a speed-time graph show?,A speed-time graph shows how fast something is travelling at different times during a journey.,9I Summary sheet p1 Speed-time graphs,exact-source-answer,A speed–time graph shows how fast something is travelling at different times during a journey.
y9r-056-9i-what-do-horizontal-lines-show-on-a-speed-time-graph,9I,9I-speed-time-graphs,Assess check,1,What do horizontal lines show on a speed-time graph?,Horizontal lines show a constant speed.,9I Summary sheet p1 Speed-time graphs,exact-source-answer,Horizontal lines show a constant speed.
y9r-057-9i-what-do-sloping-lines-show-on-a-speed-time-graph,9I,9I-speed-time-graphs,Assess check,2,What do sloping lines show on a speed-time graph?,Sloping lines show changes in speed (acceleration or deceleration).,9I Summary sheet p1 Speed-time graphs,exact-source-answer,Sloping lines show changes in speed (acceleration or deceleration).
y9r-058-9i-on-a-distance-time-graph-what-does-the-gradient-of-a-line-give,9I,9I-speed,Assess check,2,"On a distance-time graph, what does the gradient of a line give?",The gradient of a line gives the speed that the object is moving.,9I Summary sheet p2 Gradients,exact-source-answer,"On a distance–time graph, the gradient of a line gives the speed that the object is moving."
y9r-059-9i-what-is-a-pivot-also-known-as,9I,9I-moments,Assess check,1,What is a pivot also known as?,A pivot is also known as a fulcrum.,9I Summary sheet p2 Levers and moments,exact-source-answer,A pivot is also known as a fulcrum.
y9r-060-9i-what-is-a-turning-force-called,9I,9I-moments,Assess check,1,What is a turning force called?,A turning force is called a moment.,9I Summary sheet p2 Levers and moments,exact-source-answer,A turning force is called a moment.
y9r-061-9i-what-is-the-formula-for-moment,9I,9I-moments,Assess check,2,What is the formula for moment?,moment (in N m) = force (in N) × perpendicular distance from the pivot (m).,9I Summary sheet p2 Levers and moments,exact-source-answer,moment (in N m) = force (in N) × perpendicular distance from the pivot (m).
y9r-062-9i-what-is-true-when-an-object-is-balanced,9I,9I-moments,Assess check,2,What is true when an object is balanced?,The anticlockwise moment is equal to the clockwise moment.,9I Summary sheet p3 Levers and moments,exact-source-answer,"When an object is balanced, the anticlockwise moment is equal to the clockwise moment."
y9r-063-9i-what-is-work-done,9I,9I-energy-work,Assess check,1,What is work done?,Work is done when a force moves through a distance.,9I Summary sheet p3 Simple machines,exact-source-answer,Work is done when a force moves through a distance.
y9r-064-9i-what-is-the-formula-for-work-done,9I,9I-energy-work,Assess check,2,What is the formula for work done?,work = force × distance moved in the direction of the force.,9I Summary sheet p3 Simple machines,exact-source-answer,work = force × distance moved in the direction of the force.
y9r-065-9j-what-is-a-force-field,9J,9J-fields,Assess check,1,What is a force field?,A force field is a space where a non-contact force has an effect.,9J Summary sheet p1 Force fields,exact-source-answer,A force field is a space where a non-contact force has an effect.
y9r-066-9j-what-is-the-earths-gravitational-field-strength-according-to-the-revision-s,9J,9J-fields,Assess check,1,"What is the Earth’s gravitational field strength, according to the revision sheet?",The Earth’s gravitational field strength (g) is 10 N/kg.,9J Summary sheet p1 Gravitational fields,exact-source-answer,We say the Earth’s gravitational field strength (g) is 10 N/kg.
y9r-067-9j-what-formula-is-used-to-calculate-weight,9J,9J-fields,Assess check,2,What formula is used to calculate weight?,weight (N) = mass (kg) × g (N/kg),9J Summary sheet p1 Gravitational fields,exact-source-answer,weight (N) = mass (kg) × g (N/kg)
y9r-068-9j-in-an-electric-field-diagram-what-do-the-arrows-show,9J,9J-static,Assess check,2,"In an electric field diagram, what do the arrows show?",The arrows show the direction a positive charge would move.,9J Summary sheet p1 Static electricity,exact-source-answer,The arrows on the diagram show the direction a positive charge would move.
y9r-069-9j-what-is-current,9J,9J-circuits,Assess check,1,What is current?,Current is a flow of electrons.,9J Summary sheet p1 Electric circuits,exact-source-answer,Current is a flow of electrons.
y9r-070-9j-how-do-we-measure-current,9J,9J-circuits,Assess check,1,How do we measure current?,We measure current using an ammeter connected in series.,9J Summary sheet p1 Electric circuits,exact-source-answer,We measure current using an ammeter connected in series.
y9r-071-9j-how-do-we-measure-voltage,9J,9J-circuits,Assess check,2,How do we measure voltage?,We measure the voltage using a voltmeter connected in parallel across a cell or component.,9J Summary sheet p1 Electric circuits,exact-source-answer,We measure the voltage using a voltmeter connected in parallel across a cell or component.
y9r-072-9j-what-is-resistance,9J,9J-resistance,Assess check,1,What is resistance?,The resistance of a component is a way of saying how easy or difficult it is for an electric current to flow through it.,9J Summary sheet p2 Resistance,exact-source-answer,The resistance of a component is a way of saying how easy or difficult it is for an electric current to flow through it.
y9r-073-9j-if-resistance-stays-the-same-what-happens-when-voltage-is-higher,9J,9J-resistance,Assess check,2,"If resistance stays the same, what happens when voltage is higher?","The higher the voltage, the higher the current.",9J Summary sheet p2 Resistance,exact-source-answer,"the higher the voltage, the higher the current (if the resistance stays the same)"
y9r-074-9j-if-voltage-stays-the-same-what-happens-when-resistance-is-higher,9J,9J-resistance,Assess check,2,"If voltage stays the same, what happens when resistance is higher?","The higher the resistance, the lower the current.",9J Summary sheet p2 Resistance,exact-source-answer,"the higher the resistance, the lower the current (if the voltage stays the same)."
y9r-075-9j-what-three-things-does-the-resistance-of-a-wire-depend-on,9J,9J-wire-resistance-investigation,Assess check,2,What three things does the resistance of a wire depend on?,"The material from which it is made, its length and its thickness.",9J Summary sheet p2 Resistance,exact-source-answer,The resistance of a wire depends on: the material from which it is made; its length; its thickness.
y9r-076-9j-how-does-wire-length-affect-resistance,9J,9J-wire-resistance-investigation,Assess check,2,How does wire length affect resistance?,Shorter wires have lower resistances.,9J Summary sheet p2 Resistance,exact-source-answer,its length (shorter wires have lower resistances)
y9r-077-9j-how-does-wire-thickness-affect-resistance,9J,9J-wire-resistance-investigation,Assess check,2,How does wire thickness affect resistance?,Thicker wires have lower resistances.,9J Summary sheet p2 Resistance,exact-source-answer,its thickness (thicker wires have lower resistances).
y9r-078-9j-what-is-the-formula-for-calculating-resistance-from-voltage-and-current,9J,9J-resistance,Assess check,2,What is the formula for calculating resistance from voltage and current?,resistance = voltage ÷ current,9J Summary sheet p2 Calculating resistance,exact-source-answer,resistance = voltage / current
y9r-079-9j-what-is-an-electromagnet,9J,9J-electromagnets,Assess check,1,What is an electromagnet?,An electromagnet is a coil of wire with an electric current flowing through it.,9J Summary sheet p2 Electromagnets,exact-source-answer,An electromagnet is a coil of wire with an electric current flowing through it.
y9r-080-9j-when-is-an-electromagnet-magnetic,9J,9J-electromagnets,Assess check,1,When is an electromagnet magnetic?,It is only magnetic while the current is flowing.,9J Summary sheet p2 Electromagnets,exact-source-answer,It is only magnetic while the current is flowing.
y9r-081-9j-give-three-ways-to-make-an-electromagnet-stronger,9J,9J-electromagnets,Assess check,2,Give three ways to make an electromagnet stronger.,"Increase the number of coils of wire, increase the size of the current, and use an iron core.",9J Summary sheet p2 Electromagnets,exact-source-answer,You can make an electromagnet stronger by: increasing the number of coils of wire; increasing the size of the current; using an iron core.
y9r-082-9j-what-is-the-motor-effect,9J,9J-electromagnets,Assess check,2,What is the motor effect?,"If a wire carrying a current crosses a magnetic field, the wire will experience a force. This is the motor effect.",9J Summary sheet p3 Motors,exact-source-answer,"If a wire carrying a current crosses a magnetic field, the wire will experience a force. This is the motor effect."
y9r-083-9j-what-does-an-electric-motor-consist-of,9J,9J-electromagnets,Assess check,1,What does an electric motor consist of?,An electric motor consists of a coil of wire in a magnetic field.,9J Summary sheet p3 Motors,exact-source-answer,An electric motor consists of a coil of wire in a magnetic field.
y9r-084-9j-what-makes-the-coil-in-an-electric-motor-turn,9J,9J-electromagnets,Assess check,2,What makes the coil in an electric motor turn?,"When there is a current in the coil, there is a force on each side of the coil that makes it turn.",9J Summary sheet p3 Motors,exact-source-answer,"When there is a current in the coil, there is a force on each side of the coil that makes it turn."
y9r-085-9j-how-can-the-speed-of-the-motor-or-the-force-it-provides-be-increased,9J,9J-electromagnets,Assess check,2,"How can the speed of the motor, or the force it provides, be increased?","By increasing the size of the current, increasing the strength of the magnetic field, or increasing the number of turns of wire on the coil.",9J Summary sheet p3 Motors,exact-source-answer,The speed of the motor (or the force it provides) can be increased by: increasing the size of the current; increasing the strength of the magnetic field; increasing the number of turns of wire on the coil.
