path,ext,size_bytes,referenced_by_v1_32_data
assets/diagrams/9I-rock-lever-options-source-style.svg,.svg,3263,no
assets/diagrams/9I-sankey-efficiency-question.svg,.svg,3327,no
assets/diagrams/9I-sankey-efficiency.svg,.svg,1753,no
assets/diagrams/9J-charge-transfer-question.svg,.svg,2578,yes
assets/diagrams/9J-circuit-symbols-question.svg,.svg,3782,yes
assets/diagrams/9J-circuit-symbols-reveal.svg,.svg,4248,no
assets/diagrams/9J-current-voltage-graph-question.svg,.svg,3046,yes
assets/diagrams/9J-current-voltage-graph.svg,.svg,1798,yes
assets/diagrams/9J-electromagnet-parts-question.svg,.svg,3110,yes
assets/diagrams/9J-electromagnet-relay-motor-clean-note.svg,.svg,3096,no
assets/diagrams/9J-electromagnet.svg,.svg,2597,no
assets/diagrams/9J-magnetic-field-direction-question.svg,.svg,2957,yes
assets/diagrams/9J-magnetic-field-lines.svg,.svg,1708,no
assets/diagrams/9J-magnetic-field-strength-question.svg,.svg,2748,yes
assets/diagrams/9J-meter-placement-question.svg,.svg,1667,yes
assets/diagrams/9J-motor-effect-question.svg,.svg,2927,yes
assets/diagrams/9J-motor-effect.svg,.svg,2835,no
assets/diagrams/9J-relay-question.svg,.svg,3388,no
assets/diagrams/9J-relay.svg,.svg,2429,no
assets/diagrams/9J-series-parallel-question.svg,.svg,2065,no
assets/diagrams/9J-series-parallel.svg,.svg,2409,no
assets/diagrams/9J-static-charge-pairs-question.svg,.svg,3434,yes
assets/diagrams/9J-static-charges.svg,.svg,2388,no
assets/favicon.svg,.svg,847,no
assets/webp/9A-natural-selection-giraffes.webp,.webp,251892,yes
assets/webp/9A-prey-adaptation-base.webp,.webp,104424,yes
assets/webp/9A-seed-bank-conservation.webp,.webp,161894,yes
assets/webp/9A-triceratops-evidence.webp,.webp,156600,no
assets/webp/9A-triceratops-model-base.webp,.webp,125224,yes
assets/webp/9B-carbon-cycle-context.webp,.webp,62980,yes
assets/webp/9B-food-production-methods-4panel.webp,.webp,370244,yes
assets/webp/9B-food-web-ecosystem.webp,.webp,135874,yes
assets/webp/9B-leaf-vein-bundle.webp,.webp,240500,yes
assets/webp/9B-photosynthesis-plant-base.webp,.webp,74258,yes
assets/webp/9B-plant-transport-process.webp,.webp,87398,yes
assets/webp/9B-root-hair-cell-base.webp,.webp,53128,yes
assets/webp/9B-root-hair-micrograph.webp,.webp,175814,no
assets/webp/9B-stomata-micrograph.webp,.webp,287042,yes
assets/webp/9E-brittle-lattice-crack.webp,.webp,89044,yes
assets/webp/9E-conductors-insulators-materials.webp,.webp,64512,yes
assets/webp/9E-crystal-cooling-comparison.webp,.webp,133930,yes
assets/webp/9E-environmental-impacts-recycling.webp,.webp,76518,yes
assets/webp/9E-material-textures.webp,.webp,152332,no
assets/webp/9E-sustainable-living-solutions.webp,.webp,151036,no
assets/webp/9E-vulcanisation-crosslinks-base.webp,.webp,83054,yes
assets/webp/9F-blast-furnace-base.webp,.webp,51402,no
assets/webp/9F-blast-furnace-process-v2.webp,.webp,124932,yes
assets/webp/9F-blast-furnace-process.webp,.webp,162590,no
assets/webp/9F-displacement-reaction-clean-v2.webp,.webp,128352,yes
assets/webp/9F-displacement-reaction-photo.webp,.webp,116604,no
assets/webp/9F-extraction-apparatus.webp,.webp,141264,no
assets/webp/9F-extraction-carbon-vs-electrolysis.webp,.webp,126638,no
assets/webp/9F-extraction-methods-2panel.webp,.webp,234570,yes
assets/webp/9F-heating-metal-oxide.webp,.webp,59778,yes
assets/webp/9F-reactivity-series-ladder-simple.webp,.webp,136562,no
assets/webp/9F-reactivity-series-notes-medium-v2.webp,.webp,115576,yes
assets/webp/9F-reactivity-series-question-safe-v2.webp,.webp,38082,yes
assets/webp/9F-rusting-protection.webp,.webp,180822,yes
assets/webp/9I-falling-forces-base.webp,.webp,12734,yes
assets/webp/9I-falling-forces-parachutist-base.webp,.webp,27858,yes
assets/webp/9I-forces-parachutist.webp,.webp,91264,no
assets/webp/9I-forces-terminal-velocity-sequence.webp,.webp,49318,yes
assets/webp/9I-lever-comparison-three-setups.webp,.webp,50782,yes
assets/webp/9I-lever-moment-context.webp,.webp,75396,yes
assets/webp/9I-sankey-efficiency-base.webp,.webp,14120,yes
assets/webp/9I-sankey-lightbulb-efficiency-base.webp,.webp,23916,yes
assets/webp/9J-circuit-components-photo.webp,.webp,65572,no
assets/webp/9J-electromagnet-relay-motor-overview-base.webp,.webp,97270,yes
assets/webp/9J-electromagnet-relay-motor.webp,.webp,71174,no
assets/webp/9J-magnetic-field-pattern.webp,.webp,360756,yes
assets/webp/9J-motor-effect-concept-labeled.webp,.webp,61364,yes
assets/webp/9J-real-components-vs-symbols.webp,.webp,48420,yes
assets/webp/9J-relay-base.webp,.webp,66916,yes
assets/webp/9J-series-parallel-circuits-photo.webp,.webp,50262,no
assets/webp/9J-series-parallel-circuits-symbols-base.webp,.webp,34176,yes
assets/webp/9J-series-parallel-current-voltage.webp,.webp,45506,yes
assets/webp/9J-static-electricity-charge-transfer.webp,.webp,49908,yes
assets/webp/9J-static-electricity-demo.webp,.webp,88402,no
